0	Index      	 *	Score 	Summary	Detail	
1	54363 21113	 * 	291.66	橙4易伤2矿等3攻速	169攻速2赏金塔3a矿等489a易伤569掉矿69a序列升级7核
2	24312 26623	 * 	281.83	橙3易伤2等级1矿等1技能1攻速	1烈焰减费2矿等346易伤5技能7核8攻速9a等级
3	33255 41232	 * 	280.13	橙橙2易伤1等级	1敌人爆炸2立即金币3a易伤4时间5毒液对冰69核7等级8掉矿
4	33345 41232	   	280.13	橙橙2易伤1等级	1敌人爆炸2立即金币3时间4a易伤5毒液对冰69核7等级8掉矿
5	21345 14233	 * 	279.76	橙橙2易伤1伤害2暴击	1烈焰减费2技能点35易伤49暴击6a核7伤害8最后敌人
6	21462 52231	 * 	274.11	橙橙1易伤1等级1矿等	1烈焰减费245技能点3激光对愈6矿等79核8易伤a等级
7	33215 41232	   	271.82	橙橙2易伤1等级	1敌人爆炸2立即金币3a易伤4最后敌人5毒液对冰69核7等级8掉矿
8	35315 41232	   	271.82	橙橙2易伤1等级	13敌人爆炸2a易伤4最后敌人5毒液对冰69核7等级8掉矿
9	36215 41232	   	271.82	橙橙2易伤1等级	12敌人爆炸3a易伤4最后敌人5毒液对冰69核7等级8掉矿
10	33235 41232	   	271.72	橙橙2易伤1等级	1敌人爆炸2立即金币3a易伤4挖尘5毒液对冰69核7等级8掉矿
11	35335 41232	   	271.72	橙橙2易伤1等级	13敌人爆炸2a易伤4挖尘5毒液对冰69核7等级8掉矿
12	36235 41232	   	271.72	橙橙2易伤1等级	12敌人爆炸3a易伤4挖尘5毒液对冰69核7等级8掉矿
13	65213 41232	   	271.72	橙橙2易伤1等级	1最后敌人2a易伤3双倍矿4低血量敌人5导弹对绿69核7等级8掉矿
14	31435 41232	   	271.62	橙橙2易伤1等级	1敌人爆炸2基地爆炸3a易伤4风暴减费5毒液对冰69核7等级8掉矿
15	35235 41232	   	271.62	橙橙2易伤1等级	1敌人爆炸2a易伤3挖青4风暴减费5毒液对冰69核7等级8掉矿
16	61413 41232	   	271.62	橙橙2易伤1等级	14最后敌人2基地爆炸3a易伤5导弹对绿69核7等级8掉矿
17	65233 41232	   	271.62	橙橙2易伤1等级	1最后敌人2a易伤3双倍矿4挖尘5导弹对绿69核7等级8掉矿
18	43235 42332	   	271.52	橙橙2易伤1等级	1掉矿2a易伤3等级4挖尘57多重对愈69核8低血量敌人
19	21345 15123	   	268.24	橙橙2易伤2时间1暴击	1烈焰减费2技能点35易伤4暴击6a核78时间9策反
20	21462 52232	 * 	268.22	橙橙2易伤1矿等	1烈焰减费245技能点3激光对愈6矿等79核8a易伤
21	34552 22231	 * 	268.19	橙2易伤2矿等1等级1攻速1暴击	1敌人爆炸2金币生成3暴击4等级58易伤69矿等7核a攻速
22	24312 26521	   	267.66	橙3易伤1等级1矿等1技能1攻速	1烈焰减费2矿等346易伤5技能7核8平台9等级a攻速
23	24312 26621	   	267.66	橙3易伤1等级1矿等1技能1攻速	1烈焰减费2矿等346易伤5技能7核8攻速9等级a随机矿
24	24312 26622	   	267.56	橙3易伤1等级1矿等1技能1攻速	1烈焰减费2矿等346易伤5技能7核8攻速9等级a基地爆炸
25	51114 32325	 * 	265.19	橙2矿等1易伤1等级1伤害1技能1攻速	1攻速2爆破对冰3技能4低血量敌人5等级6易伤7a矿等8伤害9核
26	51134 32325	   	265.19	橙2矿等1易伤1等级1伤害1技能1攻速	1攻速2爆破对冰3技能4最后敌人5等级6易伤7a矿等8伤害9核
27	24312 26533	   	265.06	橙3易伤1等级1矿等1技能1暴击	1烈焰减费2矿等346易伤5技能7核8平台9暴击a等级
28	33515 13412	 * 	264.40	橙3易伤2等级1伤害1技能	159敌人爆炸2立即金币3技能459易伤59序列升级6随机技能7伤害89等级a核
29	41332 21633	 * 	263.93	紫橙2易伤2矿等	1a掉矿2导弹对黄39核4a矿等5随机技能6激光对冰7a易伤8立即金币a序列升级
30	41332 21533	   	263.83	紫橙2易伤2矿等	18a掉矿2导弹对黄39核4a矿等5随机技能6激光对冰7a易伤a序列升级
31	51144 32323	 * 	262.27	橙1易伤1等级2攻速1矿等1伤害1技能	1a攻速2爆破对冰3技能4时间5等级6易伤7矿等8伤害9核
32	65413 32232	 * 	261.67	橙橙3易伤	1最后敌人26a易伤38火球减费4低血量敌人5导弹对绿79核
