0	Index      	 *	Score 	Summary	Detail	
1	52212 33633	 * 	316.74	橙橙2矿等1易伤1伤害1暴击1卖塔	1伤害2易伤3随机技能4时间5卖塔67矿等8a核9暴击
2	24212 63512	 * 	308.72	橙橙2易伤1等级1矿等	1赏金邻近2矿等3时间4毒气减费59易伤6a核7金币生成8等级
3	24212 66332	 * 	302.34	橙橙2易伤2矿等	1赏金邻近27矿等3时间4毒气减费59易伤6a核8挖尘
4	24216 62332	   	302.34	橙橙2易伤2矿等	1赏金邻近28矿等3时间4毒气减费5挖尘6a核79易伤
5	13212 65332	 * 	302.27	橙橙3易伤1等级	1最后敌人2双倍秒伤3低血量敌人4等级589易伤6a核7时间
6	13216 64332	   	302.27	橙橙3易伤1等级	1最后敌人2双倍秒伤3低血量敌人4等级5时间6a核789易伤
7	34513 62332	   	302.17	橙橙3易伤1等级	13基地爆炸2等级4时间5赏金邻近6a核789易伤
8	51313 25132	 * 	299.58	橙3矿等2易伤2伤害1等级	1a伤害2暴雪减费34a矿等5低血量敌人6平台7等级8a易伤9核a序列升级
9	24212 61332	 * 	298.77	橙橙3易伤1矿等	1赏金邻近2矿等3时间4毒气减费589易伤6a核7敌人爆炸
10	24212 62332	   	298.77	橙橙3易伤1矿等	1赏金邻近2矿等3时间4毒气减费589易伤6a核7低血量敌人
11	24214 62332	   	298.77	橙橙3易伤1矿等	1赏金邻近2矿等3时间4毒气减费5敌人爆炸6a核789易伤
12	24212 64332	   	298.67	橙橙3易伤1矿等	1赏金邻近2矿等3时间4毒气减费579易伤6a核8挖尘
13	13212 64632	   	293.86	橙橙3易伤1等级	1最后敌人2双倍秒伤3低血量敌人4等级579易伤6a核8基地爆炸
14	14513 62332	   	293.86	橙橙3易伤1等级	1最后敌人2等级34基地爆炸5赏金邻近6a核789易伤
15	34613 62332	   	293.86	橙橙3易伤1等级	14基地爆炸2等级3低血量敌人5赏金邻近6a核789易伤
16	52134 16112	 * 	291.59	橙2易伤2矿等3伤害1等级	19a伤害2a易伤3激光对冰4等级5赏金邻近6双倍秒伤7核8a矿等a序列升级
17	51311 32532	 * 	287.79	橙橙2矿等1等级1伤害	1伤害2暴雪减费34矿等5烈焰减费6a核7等级8爆破对壮9随机矿
18	51311 32542	   	287.79	橙橙2矿等1等级1伤害	1伤害2暴雪减费34矿等5烈焰减费6a核7等级8爆破对壮9金币生成
19	21312 63512	   	286.78	橙橙2易伤1等级2时间	1赏金邻近23时间3序列升级4技能点59易伤6a核7金币生成8等级
