0	Index      	 *	Score 	Summary	Detail	
1	31483 81741	 * 	330.44	橙橙3易伤1矿等1伤害1攻速	1加一2金币生成35a易伤4伤害6矿等7攻速89核
2	33513 31741	 * 	324.39	橙橙4易伤1伤害1攻速	1加一2最后敌人345a易伤6伤害7攻速89核
3	32514 31741	   	324.29	橙橙4易伤1伤害1攻速	1加一2挖尘345a易伤6伤害7攻速89核
4	33513 31747	 * 	321.83	橙橙3易伤2伤害1攻速	1加一2最后敌人345易伤6a伤害7攻速89核
5	32514 31747	   	321.73	橙橙3易伤2伤害1攻速	1加一2挖尘345易伤6a伤害7攻速89核
6	33513 31748	   	317.89	橙橙3易伤1伤害1攻速1暴击	1加一2最后敌人345易伤6伤害7攻速89核a暴击
7	32514 31748	   	317.79	橙橙3易伤1伤害1攻速1暴击	1加一2挖尘345易伤6伤害7攻速89核a暴击
8	31135 46741	 * 	312.87	橙橙2易伤1等级1伤害1攻速	1加一26金币生成3等级4a易伤5攻速7伤害89核
9	31135 36741	   	312.77	橙橙2易伤1等级1伤害1攻速	1加一2金币生成3等级4a易伤5攻速6风暴减费7伤害89核
10	32514 31742	   	312.44	橙橙3易伤1伤害1攻速	1加一2挖尘345易伤6伤害7攻速89核a时间
11	31113 16741	 * 	310.89	橙橙2易伤2等级1伤害	1加一24金币生成34等级4序列升级5策反6a易伤7伤害89核
12	34553 14741	 * 	308.32	橙橙2易伤2伤害1矿等	1加一2随机矿34伤害4序列升级5策反6a易伤7矿等89核
13	31234 86741	   	306.98	橙橙2易伤1矿等1伤害1攻速	1加一2金币生成3双倍矿4a易伤5攻速6矿等7伤害89核
14	31486 41741	   	306.98	橙橙2易伤1矿等1伤害1攻速	1加一26金币生成3a易伤4伤害5矿等7攻速89核
15	31483 81742	   	306.98	橙橙2易伤1矿等1伤害1攻速	1加一2金币生成35易伤4伤害6矿等7攻速89核a立即金币
16	31483 81743	   	306.98	橙橙2易伤1矿等1伤害1攻速	1加一2金币生成35易伤4伤害6矿等7攻速89核a双倍矿
17	31486 31741	   	306.88	橙橙2易伤1矿等1伤害1攻速	1加一2金币生成3a易伤4伤害5矿等6风暴减费7攻速89核
18	31483 81744	   	306.88	橙橙2易伤1矿等1伤害1攻速	1加一2金币生成35易伤4伤害6矿等7攻速89核a暴雪减费
19	33483 45741	   	304.88	橙橙3易伤1伤害1技能	1加一26最后敌人3技能4伤害57a易伤89核
20	31481 15741	   	304.78	橙橙3易伤1伤害1技能	1加一2金币生成37a易伤4伤害5掉矿6技能89核
21	33513 31742	   	304.24	橙橙3易伤1伤害1攻速	1加一2最后敌人345易伤6伤害7攻速89核a立即金币
22	33513 31743	   	304.24	橙橙3易伤1伤害1攻速	1加一2最后敌人345易伤6伤害7攻速89核a双倍矿
23	33513 31746	   	304.24	橙橙3易伤1伤害1攻速	1加一2最后敌人345易伤6伤害7攻速89核a雷电
24	31483 41741	   	304.24	橙橙3易伤1伤害1攻速	1加一2金币生成35a易伤4伤害6技能点7攻速89核
25	32513 31741	   	304.14	橙橙3易伤1伤害1攻速	1加一2挖尘34a易伤5双倍矿6伤害7攻速89核
26	32514 31743	   	304.14	橙橙3易伤1伤害1攻速	1加一2挖尘345易伤6伤害7攻速89核a策反
27	32514 31744	   	304.14	橙橙3易伤1伤害1攻速	1加一2挖尘345易伤6伤害7攻速89核a雷电
28	33513 31744	   	304.14	橙橙3易伤1伤害1攻速	1加一2最后敌人345易伤6伤害7攻速89核a暴雪减费
29	33533 31741	   	304.14	橙橙3易伤1伤害1攻速	1加一2最后敌人35a易伤4火球减费6伤害7攻速89核
30	34153 24741	   	304.14	橙橙2易伤1矿等1伤害1暴击1卖塔	1加一2随机矿3暴击4伤害5a易伤6卖塔7矿等89核
31	32512 31741	   	304.04	橙橙3易伤1伤害1攻速	1加一25挖尘34a易伤6伤害7攻速89核
32	32534 31741	   	304.04	橙橙3易伤1伤害1攻速	1加一2挖尘35a易伤4火球减费6伤害7攻速89核
