0	Index      	 *	Score 	Summary	Detail	
1	14652 31221	 * 	309.54	橙橙1易伤1矿等1伤害1技能1攻速1暴击	1技能2赏金塔3赏金邻近4伤害5矿等6a核7攻速8暴击9易伤
2	23343 11442	 * 	293.45	橙橙2易伤1等级1技能	1立即金币2a易伤3赏金邻近4加一5等级6双倍矿79核8技能
3	23433 11442	   	293.45	橙橙2易伤1等级1技能	1立即金币2a易伤3加一4赏金塔5等级6双倍矿79核8技能
4	62343 11442	   	293.35	橙橙2易伤1等级1技能	1烈焰减费2a易伤3赏金邻近4加一5等级6双倍矿79核8技能
5	62433 11442	   	293.35	橙橙2易伤1等级1技能	1烈焰减费2a易伤3加一4赏金塔5等级6双倍矿79核8技能
6	14652 33221	   	293.29	橙橙1易伤1矿等1伤害1技能1暴击	1技能2赏金塔3赏金邻近4伤害5矿等6a核7策反8暴击9易伤
7	21671 61442	 * 	291.57	橙橙1易伤1等级1矿等1技能	1立即金币2等级3加一4技能点5矿等6赏金邻近79核8技能a易伤
8	35324 31221	   	289.48	橙橙1易伤1矿等1技能1攻速1暴击	1策反2技能3赏金邻近4矿等5赏金塔6a核7攻速8暴击9易伤
9	23343 11445	   	285.43	橙橙1易伤1等级1伤害1技能	1立即金币2易伤3赏金邻近4加一5等级6双倍矿79核8技能a伤害
10	23433 11445	   	285.43	橙橙1易伤1等级1伤害1技能	1立即金币2易伤3加一4赏金塔5等级6双倍矿79核8技能a伤害
11	62343 11445	   	285.33	橙橙1易伤1等级1伤害1技能	1烈焰减费2易伤3赏金邻近4加一5等级6双倍矿79核8技能a伤害
12	62433 11445	   	285.33	橙橙1易伤1等级1伤害1技能	1烈焰减费2易伤3加一4赏金塔5等级6双倍矿79核8技能a伤害
13	23425 11442	 * 	284.82	橙橙3易伤1技能	1立即金币24a易伤3加一4序列升级5赏金邻近6技能点79核8技能
14	23425 21142	   	284.82	橙橙3易伤1技能	1立即金币24a易伤3加一4序列升级5赏金邻近6技能79核8金币生成
15	62425 11442	   	284.72	橙橙3易伤1技能	14烈焰减费24a易伤3加一4序列升级5赏金邻近6技能点79核8技能
16	62425 21142	   	284.72	橙橙3易伤1技能	14烈焰减费24a易伤3加一4序列升级5赏金邻近6技能79核8金币生成
17	23324 24132	 * 	284.16	橙4易伤2等级2伤害	1立即金币289a易伤3赏金邻近4基础对甲59等级69伤害7核9序列升级
18	21351 44332	 * 	283.63	橙2易伤2矿等1等级1伤害1攻速	1立即金币2等级3时间45矿等6核7伤害8攻速9a易伤
19	23425 11445	   	281.42	橙橙2易伤1伤害1技能	1立即金币24易伤3加一4序列升级5赏金邻近6技能点79核8技能a伤害
20	23425 21145	   	281.42	橙橙2易伤1伤害1技能	1立即金币24易伤3加一4序列升级5赏金邻近6技能79核8金币生成a伤害
