0	Index      	 *	Score 	Summary	Detail	
1	21312 12666	 * 	319.16	橙橙3易伤1等级1技能	1毒气减费2敌人爆炸3技能468易伤5时间79核a等级
2	32114 61263	 * 	308.42	橙橙2矿等1易伤1等级	18低血量敌人23矿等4易伤5策反69核7等级a时间
3	32114 61261	   	307.06	橙橙2矿等1易伤1等级	18低血量敌人23矿等4易伤5策反69核7等级a随机技能
4	21312 22666	   	303.57	橙橙2易伤1等级1技能2时间	1毒气减费2敌人爆炸3技能48易伤56时间79核a等级
5	32114 61262	   	300.12	橙橙2矿等1易伤1等级	18低血量敌人23矿等4易伤5策反69核7等级a双倍矿
6	21311 22666	   	297.02	橙橙2易伤1等级1技能	1毒气减费25敌人爆炸3技能48易伤6时间79核a等级
7	21312 12466	   	297.02	橙橙2易伤1等级1技能	1毒气减费2敌人爆炸3技能46易伤5时间79核8立即金币a等级
8	21312 12566	   	297.02	橙橙2易伤1等级1技能	1毒气减费28敌人爆炸3技能46易伤5时间79核a等级
9	21312 13666	   	297.02	橙橙2易伤1等级1技能	1毒气减费27敌人爆炸3技能46易伤5时间89核a等级
10	21312 32666	   	297.02	橙橙2易伤1等级1技能	1毒气减费26敌人爆炸3技能48易伤5时间79核a等级
11	21313 22666	   	297.02	橙橙2易伤1等级1技能	1毒气减费2敌人爆炸3技能48易伤5立即金币6时间79核a等级
12	21316 22661	   	294.11	橙橙3易伤1技能	1毒气减费25敌人爆炸3技能458易伤5序列升级6时间79核a随机技能
13	21312 12661	   	294.01	橙橙3易伤1技能	1毒气减费2敌人爆炸3技能468易伤5时间79核a随机技能
14	21312 15661	   	294.01	橙橙3易伤1技能	1毒气减费2敌人爆炸3技能467易伤5时间89核a随机技能
15	25311 12661	   	294.01	橙橙3易伤1技能	1毒气减费2时间3技能468易伤5敌人爆炸79核a随机技能
16	52663 21123	   	290.29	橙橙1易伤1伤害1技能1攻速	1全技能2技能3基础对甲4攻速5随机技能6伤害7易伤89核a时间
17	32115 54212	 * 	289.85	橙3矿等2易伤2等级1暴击	18低血量敌人238矿等4a易伤5暴击6双倍矿78等级8序列升级9核
