0	Index      	 *	Score 	Summary	Detail	
1	42316 11216	 * 	296.49	橙4易伤2矿等2伤害	19掉矿2459易伤3时间6核7a矿等89伤害9序列升级
2	42316 11212	   	285.95	橙4易伤2伤害1矿等1暴击	19掉矿2459易伤3时间6核7矿等89伤害9序列升级a暴击
3	42316 21216	   	282.28	橙4易伤2矿等1技能2时间	1掉矿2456易伤36时间6序列升级7技能8a矿等9核
4	23151 33215	 * 	281.62	橙橙1易伤1等级1矿等	1毒气减费2额外掉落3随机技能4等级5雷电6易伤79核8最后敌人a矿等
5	23151 33415	   	281.62	橙橙1易伤1等级1矿等	1毒气减费2额外掉落3随机技能4等级5雷电6易伤79核8敌人爆炸a矿等
6	23152 33215	   	281.62	橙橙1易伤1等级1矿等	1毒气减费2额外掉落3随机技能4等级5易伤6雷电79核8最后敌人a矿等
7	23152 33415	   	281.62	橙橙1易伤1等级1矿等	1毒气减费2额外掉落3随机技能4等级5易伤6雷电79核8敌人爆炸a矿等
8	23642 33215	   	281.62	橙橙1易伤1等级1矿等	1毒气减费2额外掉落3等级4随机技能5易伤6雷电79核8最后敌人a矿等
9	23641 33215	   	281.62	橙橙1易伤1等级1矿等	1毒气减费2额外掉落3等级4随机技能5雷电6易伤79核8最后敌人a矿等
10	42316 11215	   	280.61	橙4易伤2伤害1矿等	19掉矿2459易伤3时间6核7矿等89伤害9序列升级a全技能
11	42323 12315	 * 	279.67	橙橙2易伤1伤害	1掉矿25易伤3时间4随机技能6平台7a核8伤害9激光对冰
12	23513 63442	   	278.92	橙橙1易伤1等级1技能1暴击	1毒气减费2额外掉落3低血量敌人4易伤5加一6暴击7a核8技能9等级
13	42216 11212	   	277.64	橙4易伤2伤害1矿等1暴击	19掉矿2459易伤3最后敌人6核7矿等89伤害9序列升级a暴击
14	42616 11212	   	277.64	橙4易伤2伤害1矿等1暴击	19掉矿2459易伤3敌人爆炸6核7矿等89伤害9序列升级a暴击
15	42416 11212	   	277.54	橙4易伤2伤害1矿等1暴击	19掉矿2459易伤3挖尘6核7矿等89伤害9序列升级a暴击
16	32123 66532	 * 	276.92	紫橙2易伤2伤害1等级1卖塔	1卖塔2敌人爆炸3挖尘4a核59易伤67伤害8等级
17	42323 12415	   	276.50	橙橙2易伤1技能	1掉矿25易伤3时间4随机技能6平台7a核8技能9激光对冰
18	23142 33215	 * 	273.71	橙橙2矿等1易伤	1毒气减费2额外掉落3随机技能4易伤5a矿等6雷电79核8最后敌人
19	23142 33415	   	273.71	橙橙2矿等1易伤	1毒气减费2额外掉落3随机技能4易伤5a矿等6雷电79核8敌人爆炸
20	23513 63542	   	272.39	橙橙1易伤1矿等1攻速1暴击	1毒气减费2额外掉落3低血量敌人4易伤5加一6暴击7a核8矿等9攻速
21	42216 11215	   	272.30	橙4易伤2伤害1矿等	19掉矿2459易伤3最后敌人6核7矿等89伤害9序列升级a时间
22	42316 11211	   	272.30	橙4易伤2伤害1矿等	19掉矿2459易伤3时间6核7矿等89伤害9序列升级a金币生成
23	42316 13216	   	272.30	橙4易伤2伤害1矿等	19掉矿2459易伤3时间6核7金币生成89伤害9序列升级a矿等
24	42316 11213	   	272.20	橙4易伤2伤害1矿等	19掉矿2459易伤3时间6核7矿等89伤害9序列升级a毒气减费
25	42316 11214	   	272.20	橙4易伤2伤害1矿等	19a掉矿2459易伤3时间6核7矿等89伤害9序列升级
26	42316 21212	   	271.74	橙4易伤1矿等1技能2时间1暴击	1掉矿2456易伤36时间6序列升级7技能8矿等9核a暴击
27	16223 12315	   	271.56	橙橙2易伤1伤害	1随机矿2随机技能35最后敌人45易伤5序列升级6平台7a核8伤害9导弹对绿
28	16533 12315	   	271.56	橙橙2易伤1伤害	1随机矿2随机技能35易伤45最后敌人5序列升级6平台7a核8伤害9导弹对绿
29	16623 12315	   	271.56	橙橙2易伤1伤害	1随机矿2随机技能35低血量敌人45易伤5序列升级6平台7a核8伤害9导弹对绿
30	42623 12315	   	271.36	橙橙2易伤1伤害	1掉矿25易伤3敌人爆炸4随机技能6平台7a核8伤害9激光对冰
31	42423 12315	   	271.26	橙橙2易伤1伤害	1掉矿25易伤3挖尘4随机技能6平台7a核8伤害9激光对冰
32	12116 43622	 * 	269.92	橙3易伤1等级2攻速3时间	1随机矿28攻速368时间4等级5随机技能78a易伤8序列升级9核
33	13116 43621	 * 	268.93	橙2易伤3伤害1等级3时间	1随机矿268时间38a伤害4等级5随机技能78易伤8序列升级9核
34	42534 11132	 * 	268.71	橙2易伤2矿等1等级1攻速1暴击	13掉矿29易伤4等级57矿等6核8暴击a攻速
35	16223 12415	   	268.39	橙橙2易伤1技能	1随机矿2随机技能35最后敌人45易伤5序列升级6平台7a核8技能9导弹对绿
36	42223 12415	   	268.19	橙橙2易伤1技能	1掉矿25易伤3最后敌人4随机技能6平台7a核8技能9激光对冰
37	12116 43621	 * 	266.52	橙2易伤1等级2攻速1伤害3时间	1随机矿28攻速368时间4等级5随机技能78易伤8序列升级9核a伤害
