0	Index      	 *	Score 	Summary	Detail	
1	12211 62161	 * 	387.28	橙3易伤1双倍秒伤2时间	1暴雪减费278易伤36时间4赏金塔5平台9核a双倍秒伤
2	22211 62161	   	387.28	橙3易伤1双倍秒伤2时间	1风暴减费278易伤36时间4赏金塔5平台9核a双倍秒伤
3	13142 23551	 * 	374.14	橙2易伤1双倍秒伤2等级1时间	17暴雪减费27等级3金币生成4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a额外掉落
4	13142 23552	   	374.14	橙2易伤1双倍秒伤2等级1时间	17暴雪减费27等级3金币生成4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a双倍矿
5	13142 23553	   	374.14	橙2易伤1双倍秒伤2等级1时间	17暴雪减费27等级3金币生成4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a技能点
6	23142 23551	   	374.14	橙2易伤1双倍秒伤2等级1时间	17风暴减费27等级3金币生成4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a额外掉落
7	23142 23552	   	374.14	橙2易伤1双倍秒伤2等级1时间	17风暴减费27等级3金币生成4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a双倍矿
8	23142 23553	   	374.14	橙2易伤1双倍秒伤2等级1时间	17风暴减费27等级3金币生成4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a技能点
9	13242 23551	   	374.04	橙2易伤1双倍秒伤2等级1时间	17暴雪减费27等级3掉矿4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a额外掉落
10	13242 23552	   	374.04	橙2易伤1双倍秒伤2等级1时间	17暴雪减费27等级3掉矿4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a双倍矿
11	13242 23553	   	374.04	橙2易伤1双倍秒伤2等级1时间	17暴雪减费27等级3掉矿4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a技能点
12	23242 23551	   	374.04	橙2易伤1双倍秒伤2等级1时间	17风暴减费27等级3掉矿4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a额外掉落
13	23242 23552	   	374.04	橙2易伤1双倍秒伤2等级1时间	17风暴减费27等级3掉矿4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a双倍矿
14	23242 23553	   	374.04	橙2易伤1双倍秒伤2等级1时间	17风暴减费27等级3掉矿4时间57易伤6赏金邻近7序列升级8核9双倍秒伤a技能点
15	22261 21313	   	370.90	橙2易伤1双倍秒伤1等级1时间1全技能	1风暴减费29易伤3时间4暴雪减费5等级6核7全技能8双倍矿a双倍秒伤
16	22261 21513	   	370.90	橙2易伤1双倍秒伤1等级1时间1全技能	1风暴减费29易伤3时间4暴雪减费5等级6核7全技能8立即金币a双倍秒伤
17	53151 25123	 * 	369.90	橙2易伤1双倍秒伤2时间1等级	12时间2序列升级34低血量敌人5等级6核79易伤8立即金币a双倍秒伤
18	12523 11144	 * 	357.81	橙2双倍秒伤1易伤1时间	1暴雪减费2易伤3掉矿4立即金币5攻速6核7时间8a双倍秒伤9敌人爆炸
19	12523 11164	   	357.81	橙2双倍秒伤1易伤1时间	1暴雪减费2易伤3掉矿4立即金币5攻速6核7时间8a双倍秒伤9雷电减费
20	22523 11144	   	357.81	橙2双倍秒伤1易伤1时间	1风暴减费2易伤3掉矿4立即金币5攻速6核7时间8a双倍秒伤9敌人爆炸
21	22523 11164	   	357.81	橙2双倍秒伤1易伤1时间	1风暴减费2易伤3掉矿4立即金币5攻速6核7时间8a双倍秒伤9雷电减费
22	51151 25123	   	357.35	橙2易伤1双倍秒伤1等级1时间	1时间2风暴减费34低血量敌人5等级6核79易伤8立即金币a双倍秒伤
