0	Index      	 *	Score 	Summary	Detail	
1	46115 23132	 * 	213.98	DCR|3VULN|1SPLARM|2DMG|2ZMB	13ZMB|2RCVC|46DMG|568VULN|6BPWR|7SPLARM|9ERES|aRCR
2	14431 32413	 * 	197.84	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1MLV|2ZMB|3MDPS|4BASFIG|5ASPD|6RCR|78VULN|9DMG|aAART
3	44152 12223	 * 	196.47	DCR|3DMG|3ZMB|1AART|2DUR	123ZMB|45aDMG|6RCR|7aDUR|8aLIT|9AART|aBPWR
4	26524 32416	 * 	193.68	DCR|3VULN|1AART|1DMG|1DUR	1LIT|2RCVC|3MBVNT|459VULN|6RCR|7DMG|8DUR|aAART
5	26524 32436	 * 	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2RCVC|3MBVNT|45VULN|6RCR|79DMG|8DUR|aAART
6	53532 22723	 * 	192.26	DCR|3DMG|1VULN|1AART|1ASPD	1ERES|2DUST|3ASPD|4MBVNT|589DMG|6VULN|7AART|aRCR
7	23331 14421	 * 	191.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1LIT|2RPLT|3ZMB|4FEWX|5VULN|6ASPD|7RCR|89AART|aDMG
8	23331 14425	 * 	191.73	DCR|2AART|1VULN|1ASPD|1NUKE|1ZMB	1LIT|2RPLT|3ZMB|4FEWX|5VULN|6ASPD|7RCR|89AART|aNUKE
9	23351 14421	   	191.63	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1LIT|2RPLT|3ZMB|4DUST|5VULN|6ASPD|7RCR|89AART|aDMG
10	42431 32613	 * 	191.57	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1ZMB	1ZMB|2ERES|3MDPS|4BASFIG|58ASPD|6RCR|7VULN|9DMG|aAART
11	14431 32412	 * 	190.31	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2ZMB|3MDPS|4BASFIG|5ASPD|6RCR|78VULN|9DMG|aCDMG
12	51613 22413	 * 	190.09	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1ERES|2RMIN|3DMG|4BEXP|5CDMG|6RCR|7VULN|8ASPD|9ZMB|aNUKE
13	62613 22413	   	190.09	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1AME|2ERES|3DMG|4BEXP|5CDMG|6RCR|7VULN|8ASPD|9ZMB|aNUKE
14	44214 31123	   	189.50	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	12ZMB|34BEXP|5DUR|6RCR|7aVULN|8AART|9DMG
15	44214 31122	 * 	189.18	DCR|1VULN|1AART|1DMG|1NUKE|2ZMB|1DUR	12ZMB|34BEXP|5DUR|6RCR|7VULN|8AART|9DMG|aNUKE
16	23313 51335	 * 	187.96	DCR|2VULN|2DMG|3ZMB|1DUR	19LIT|2RPLT|369ZMB|45DMG|7DUR|89VULN|9BPWR|aRCR
17	44152 11121	 * 	186.89	DCR|2DMG|3ZMB|1AART|1ASPD|1SELL	123ZMB|45DMG|6RCR|7SELL|8FEWX|9AART|aASPD
18	41624 31111	   	186.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4RCVC|5DUR|6RCR|79VULN|8AART|aCGEN
19	41624 31112	   	186.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4RCVC|5DUR|6RCR|79VULN|8AART|aBEXP
20	41624 31133	   	186.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4RCVC|5DUR|6RCR|7aVULN|8AART|9CGEN
21	41634 31111	   	186.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4AELBLL|5DUR|6RCR|79VULN|8AART|aCGEN
22	41634 31112	   	186.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4AELBLL|5DUR|6RCR|79VULN|8AART|aBEXP
23	41634 31133	   	186.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4AELBLL|5DUR|6RCR|7aVULN|8AART|9CGEN
24	46214 31123	   	186.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RCVC|34BEXP|5DUR|6RCR|7aVULN|8AART|9DMG
25	26524 32464	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCVC|3MBVNT|45VULN|6RCR|7DMG|8DUR|9ZMB|aAART
26	26524 32714	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCVC|3MBVNT|45VULN|6RCR|7DMG|8ZMB|9DUR|aAART
27	41624 31113	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4RCVC|5DUR|6RCR|79VULN|8AART|aDUST
28	41634 31113	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4AELBLL|5DUR|6RCR|79VULN|8AART|aDUST
29	43125 31123	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|45RCVC|6RCR|7aVULN|8AART|9DMG
30	43135 31123	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4AELBLL|5RCVC|6RCR|7aVULN|8AART|9DMG
31	43115 31123	   	186.08	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|24DUST|3DUR|5RCVC|6RCR|7aVULN|8AART|9DMG
32	42612 22633	   	186.04	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	18ZMB|2ERES|38DMG|4BEXP|5MLV|6AART|78DUR|8BPWR|9RCR|aVULN
33	41624 31132	   	185.96	DCR|1AART|1VULN|1DMG|1NUKE|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4RCVC|5DUR|6RCR|7VULN|8AART|9CGEN|aNUKE
34	41634 31132	   	185.96	DCR|1VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4AELBLL|5DUR|6RCR|7VULN|8AART|9CGEN|aNUKE
35	46214 31122	   	185.96	DCR|1VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	1ZMB|2RCVC|34BEXP|5DUR|6RCR|7VULN|8AART|9DMG|aNUKE
36	42632 22633	   	185.94	DCR|2DMG|1AART|1VULN|2DUR|2ZMB	18ZMB|2ERES|38DMG|4TLV|5LWND|6AART|78DUR|8BPWR|9RCR|aVULN
37	14624 32113	   	185.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1MLV|2ZMB|3DMG|4RCVC|5DUR|6RCR|7DUST|8AART|9VULN|aASPD
38	14634 32113	   	185.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1MLV|2ZMB|3DMG|4AELBLL|5DUR|6RCR|7DUST|8AART|9VULN|aASPD
39	41624 32113	   	185.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4RCVC|5DUR|6RCR|7DUST|8AART|9VULN|aASPD
40	41634 32113	   	185.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2RMIN|3DMG|4AELBLL|5DUR|6RCR|7DUST|8AART|9VULN|aASPD
41	43125 31122	   	185.86	DCR|1VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	1ZMB|2DUST|3DUR|45RCVC|6RCR|7VULN|8AART|9DMG|aNUKE
42	43125 31125	   	185.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|45RCVC|6RCR|7VULN|8AART|9DMG|aASPD
43	43135 31122	   	185.86	DCR|1VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	1ZMB|2DUST|3DUR|4AELBLL|5RCVC|6RCR|7VULN|8AART|9DMG|aNUKE
44	43135 31125	   	185.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4AELBLL|5RCVC|6RCR|7VULN|8AART|9DMG|aASPD
45	43115 31122	   	185.76	DCR|1VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	1ZMB|24DUST|3DUR|5RCVC|6RCR|7VULN|8AART|9DMG|aNUKE
46	43115 31125	   	185.76	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|24DUST|3DUR|5RCVC|6RCR|7VULN|8AART|9DMG|aASPD
47	23313 24441	 * 	185.44	DCR|2AART|1MDPS|2DMG|1ASPD|1ZMB	1LIT|2RPLT|3ZMB|45DMG|6MDPS|7RCR|89AART|aASPD
48	26524 32116	   	185.37	DCR|3VULN|1AART|1DMG	1LIT|2RCVC|3MBVNT|459VULN|6RCR|7DMG|8LHND|aAART
49	26524 32316	   	185.37	DCR|3VULN|1AART|1DMG	1LIT|2RCVC|3MBVNT|459VULN|6RCR|7DMG|8BEXP|aAART
50	26524 33374	   	185.37	DCR|3VULN|1AART|1DMG	1LIT|2RCVC|3MBVNT|457VULN|6RCR|8LHND|9AART|aDMG
51	26524 32136	   	185.13	DCR|2VULN|2DMG|1AART	1LIT|2RCVC|3MBVNT|45VULN|6RCR|79DMG|8LHND|aAART
52	26524 32336	   	185.13	DCR|2VULN|2DMG|1AART	1LIT|2RCVC|3MBVNT|45VULN|6RCR|79DMG|8BEXP|aAART
53	11312 25113	   	184.91	DCR|2DMG|1AART|1VULN|1ASPD	1MLV|2RMIN|3LHND|4LWND|58DMG|6RCR|7AART|9VULN|aASPD
54	61312 25113	   	184.91	DCR|2DMG|1AART|1VULN|1ASPD	1AME|2RMIN|3LHND|4LWND|58DMG|6RCR|7AART|9VULN|aASPD
55	42431 32612	 * 	184.04	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3MDPS|4BASFIG|58ASPD|6RCR|7VULN|9DMG|aCDMG
