0	Index      	 *	Score 	Summary	Detail	
1	43123 31332	 * 	211.61	ACR|3VULN|3DMG|1ASPD|3DUR	1RCR|278DUR|3LEGI|4LHND|578VULN|678DMG|78BPWR|9FEWX|aASPD
2	43123 31311	 * 	211.51	ACR|3VULN|3DMG|1NUKE|3DUR	1RCR|278DUR|3LEGI|4LHND|578VULN|678DMG|78BPWR|9NUKE|aFEWX
3	43123 31312	   	211.51	ACR|3VULN|3DMG|1NUKE|3DUR	1RCR|278DUR|3LEGI|4LHND|578VULN|678DMG|78BPWR|9NUKE|aRMIN
4	43123 31313	   	211.51	ACR|3VULN|3DMG|1NUKE|3DUR	1RCR|278DUR|3LEGI|4LHND|578VULN|678DMG|78BPWR|9NUKE|aTSLARM
5	43123 31314	   	211.51	ACR|3VULN|3DMG|1NUKE|3DUR	1RCR|278DUR|3LEGI|4aLHND|578VULN|678DMG|78BPWR|9NUKE
6	43123 31315	   	211.51	ACR|3VULN|3DMG|1NUKE|3DUR	1RCR|278DUR|3LEGI|4LHND|578VULN|678DMG|78BPWR|9NUKE|aERES
7	43123 31316	   	211.51	ACR|3VULN|3DMG|1NUKE|3DUR	1RCR|278DUR|3LEGI|4LHND|578VULN|678DMG|78BPWR|9NUKE|aRCVC
8	11511 53213	 * 	210.07	DCR|3ASPD|2DMG|1AART|1CDMG|2DUR|1AAC	1AAC|289ASPD|38DUR|4CDMG|5DUST|6AART|78DMG|8BPWR|aRCR
9	43123 31321	 * 	207.39	ACR|4VULN|3DMG|3DUR	1RCR|278DUR|3LEGI|4LHND|578aVULN|678DMG|78BPWR|9RPLT
10	43123 31335	   	207.39	ACR|4VULN|3DMG|3DUR	1RCR|278DUR|3LEGI|4LHND|578aVULN|678DMG|78BPWR|9FEWX
11	43252 25332	 * 	206.98	ACR|2VULN|2DMG|1AART|1ASPD|2DUR|1ZMB	1RCR|28DUR|3ZMB|48VULN|5TLV|6FEWX|78DMG|8BPWR|9ASPD|aAART
12	41631 23253	 * 	206.37	ACR|4VULN|3ASPD|2DUR|1ZMB	1RCR|247ERES|379ASPD|5679VULN|79BPWR|89DUR|aZMB
13	14223 23136	 * 	204.08	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|2TSLARM|3DUR|48ASPD|59aVULN|6RCR|7DMG
14	14413 23136	   	204.08	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|2TSLARM|38ASPD|4DUR|59aVULN|6RCR|7DMG
15	45513 31313	 * 	203.34	ACR|3VULN|3DMG|1MDPS|1ASPD|1ZMB	1RCR|2RCVC|3MDPS|478LHND|578VULN|678DMG|78BPWR|9ASPD|aZMB
16	46223 31312	   	203.04	ACR|3VULN|3DMG|1MDPS|1ASPD|1ZMB	1RCR|278TLV|3MDPS|4RMIN|578VULN|678DMG|78BPWR|9ZMB|aASPD
17	43622 11132	 * 	202.84	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|3DUR	1RCR|235DUR|4DMG|68VULN|7ASPD|9AART|aMDPS
18	43623 51132	   	202.84	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|3DUR	1RCR|236DUR|4DMG|58VULN|7ASPD|9AART|aMDPS
19	14421 23532	 * 	201.27	DCR|2VULN|2DMG|1ASPD|1NUKE|1AAC	1AAC|2TSLARM|3ASPD|49VULN|5DUST|6RCR|78DMG|aNUKE
20	43622 11133	 * 	200.26	ACR|2VULN|1AART|1ASPD|1DMG|3DUR|1CDMG	1RCR|235DUR|4DMG|68VULN|7ASPD|9AART|aCDMG
21	43623 51133	   	200.26	ACR|2VULN|1AART|1ASPD|1DMG|3DUR|1CDMG	1RCR|236DUR|4DMG|58VULN|7ASPD|9AART|aCDMG
22	43622 11632	 * 	200.04	ACR|2DMG|1MDPS|1VULN|1AART|1ASPD|3DUR	1RCR|235DUR|48DMG|6VULN|7ASPD|9AART|aMDPS
23	43252 25331	   	198.85	ACR|3DMG|2VULN|1ASPD|2DUR|1ZMB	1RCR|28DUR|3ZMB|48VULN|5TLV|6FEWX|78aDMG|8BPWR|9ASPD
24	46223 31315	 * 	198.82	ACR|4VULN|3DMG|1MDPS|1ZMB	1RCR|278TLV|3MDPS|4RMIN|578aVULN|678DMG|78BPWR|9ZMB
25	14623 23132	 * 	198.01	DCR|2VULN|2ASPD|1DMG|1NUKE|1AAC	1AAC|2TSLARM|3BEXP|48ASPD|59VULN|6RCR|7DMG|aNUKE
26	14421 23132	   	197.91	DCR|2VULN|2ASPD|1DMG|1NUKE|1AAC	1AAC|2TSLARM|38ASPD|49VULN|5DUST|6RCR|7DMG|aNUKE
27	43622 11633	 * 	197.47	ACR|2DMG|1VULN|1AART|1ASPD|3DUR|1CDMG	1RCR|235DUR|48DMG|6VULN|7ASPD|9AART|aCDMG
28	11523 25325	 * 	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1AAC|2ASPD|3aDUR|4DMG|57VULN|6LHND|8RCR|9AART
29	43123 55322	 * 	196.65	ACR|2VULN|2DMG|1AART|1NUKE|2DUR	1RCR|28DUR|3LEGI|4LHND|58VULN|6RCVC|78DMG|8BPWR|9AART|aNUKE
30	14223 23113	 * 	196.38	DCR|3ASPD|2DMG|1VULN|1AAC|1DUR	1AAC|2TSLARM|3DUR|489ASPD|5VULN|6RCR|7aDMG
31	14413 23113	   	196.38	DCR|3ASPD|2DMG|1VULN|1AAC|1DUR	1AAC|2TSLARM|389ASPD|4DUR|5VULN|6RCR|7aDMG
32	14424 23113	   	196.38	DCR|3ASPD|2DMG|1VULN|1AAC|1DUR	1AAC|2TSLARM|389ASPD|4VULN|5DUR|6RCR|7aDMG
33	41631 23251	   	196.04	ACR|4VULN|3ASPD|2DUR	1RCR|247ERES|379ASPD|5679VULN|79BPWR|89DUR|aRPLT
34	41631 23252	   	195.94	ACR|4VULN|3ASPD|2DUR|1MSE	1RCR|247ERES|379ASPD|5679VULN|79BPWR|89DUR|aMSE
35	11344 33412	 * 	195.69	DCR|2ASPD|1AART|1VULN|1NUKE|1CDMG|1AAC	1AAC|29ASPD|36CGEN|4VULN|5AART|7RCR|8CDMG|aNUKE
36	14421 23136	   	195.67	DCR|3VULN|2ASPD|1DMG|1AAC	1AAC|2TSLARM|38ASPD|49aVULN|5DUST|6RCR|7DMG
37	41221 31314	 * 	195.57	ACR|4VULN|1MDPS|2ASPD|3ZMB	1RCR|278ERES|3MDPS|4RMIN|578ZMB|678aVULN|78aBPWR|9aASPD
38	14421 23512	 * 	195.11	DCR|2DMG|2ASPD|1VULN|1NUKE|1AAC	1AAC|2TSLARM|39ASPD|4VULN|5DUST|6RCR|78DMG|aNUKE
39	14623 22122	 * 	194.58	DCR|3ASPD|2VULN|1AART|1AAC	1AAC|2TSLARM|3BEXP|478ASPD|5aVULN|6RCR|9AART
40	14421 22122	   	194.48	DCR|3ASPD|2VULN|1AART|1AAC	1AAC|2TSLARM|378ASPD|4aVULN|5DUST|6RCR|9AART
41	13453 43333	 * 	194.21	DCR|2VULN|2ASPD|1CDMG|2DUR|1AAC|1ZMB	1AAC|2FEWX|35DUR|45VULN|5BPWR|6ZMB|79ASPD|8RCR|aCDMG
42	11524 42233	 * 	193.93	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1AAC|2ASPD|3DUR|4DMG|57AART|6BELT|8VULN|9ZMB|aRCR
43	32623 16313	 * 	193.72	DCR|2VULN|2ASPD|1AART|1DMG	1TLV|2DUST|38ASPD|4DMG|57VULN|6AART|9BEXP|aRCR
44	11561 22153	   	193.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1AAC|2ASPD|34DUR|56VULN|7DMG|8RPLT|9AART|aRCR
45	41631 23316	 * 	193.03	ACR|3VULN|3ASPD|1CDMG|1ZMB	1RCR|247ERES|378ASPD|567VULN|7BPWR|9ZMB|aCDMG
46	44123 31332	   	193.00	ACR|3VULN|3DMG|1MDPS|1ASPD	1RCR|278LWND|3DMSP|478DMG|5MDPS|678VULN|78BPWR|9FEWX|aASPD
47	45513 31312	   	193.00	ACR|3VULN|3DMG|1MDPS|1ASPD	1RCR|2RCVC|3MDPS|478LHND|578VULN|678DMG|78BPWR|9ASPD|aBEXP
48	44123 31311	 * 	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE	1RCR|278LWND|3DMSP|478DMG|5MDPS|678VULN|78BPWR|9NUKE|aBELT
49	44123 31312	   	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE|1MSE	1RCR|278LWND|3DMSP|478DMG|5MDPS|678VULN|78BPWR|9NUKE|aMSE
50	44123 31313	   	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE	1RCR|278LWND|3DMSP|478DMG|5MDPS|678VULN|78BPWR|9NUKE|aLIT
51	44123 31314	   	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE	1RCR|278LWND|3aDMSP|478DMG|5MDPS|678VULN|78BPWR|9NUKE
52	44123 31315	   	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE	1RCR|278LWND|3DMSP|478DMG|5MDPS|678VULN|78BPWR|9NUKE|aERES
53	45423 31311	   	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE|1DUR	1RCR|2RCVC|378FEWX|478DMG|5MDPS|678VULN|78BPWR|9NUKE|aDUR
54	45423 31312	   	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE	1RCR|2RCVC|378FEWX|478DMG|5MDPS|678VULN|78BPWR|9NUKE|aDUST
55	45423 31313	   	192.90	ACR|3VULN|3DMG|1MDPS|1NUKE	1RCR|2RCVC|378FEWX|478DMG|5MDPS|678VULN|78BPWR|9NUKE|aLHND
56	45513 31311	   	192.90	ACR|3VULN|3DMG|1MDPS|1ASPD	1RCR|2RCVC|3MDPS|478LHND|578VULN|678DMG|78BPWR|9ASPD|aDUST
57	41631 23311	   	192.62	ACR|4VULN|3ASPD|1ZMB	1RCR|247ERES|378ASPD|567aVULN|7BPWR|9ZMB
58	21152 11232	 * 	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2LWND|3AART|4MULARM|59VULN|6RCR|7DUR|8DMG|aCDMG
