0	Index      	 *	Score 	Summary	Detail	
1	51122 33443	 * 	223.54	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG|1DUR	1aAART|2DUR|3CDMG|4VULN|5ASPD|6FEWX|7RCR|89DMG
2	34338 72143	 * 	219.27	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|2DUR|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUR|7RCR|8BPWR|9DMG|aNUKE
3	34338 72123	 * 	219.00	DCR|2AART|2ASPD|1VULN|1CDMG|2DUR|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUR|7RCR|8BPWR|9aAART
4	34334 31424	 * 	218.56	DCR|3VULN|3ZMB|1ASPD|1DMG|3DUR	178ZMB|2ASPD|378VULN|4MBVNT|578DUR|6LEGI|78BPWR|9DMG|aRCR
5	31215 52122	 * 	217.52	DCR|2VULN|3ZMB|1AART|2CDMG|1ASPD	12aZMB|2aBPWR|3VENFST|4aCDMG|5ASPD|6RCR|7LHND|8AART|9aVULN
6	31215 54122	   	217.52	DCR|2VULN|3ZMB|1AART|2CDMG|1ASPD	12aZMB|2aBPWR|3VENFST|4aCDMG|5ASPD|6RCR|7LWND|8AART|9aVULN
7	52162 52323	 * 	217.51	DCR|2VULN|2DMG|2ASPD|1AART|1AAC	1AART|2aASPD|3aVULN|4RPLT|5LWND|6DUST|7RCR|8aDMG|9AAC|aBPWR
8	35151 42123	 * 	217.50	DCR|2VULN|2AART|2ASPD|2ZMB|1DUR|2SELL	18ZMB|2DUR|36SELL|48VULN|58ASPD|7RCR|8BPWR|9aAART
9	51125 33336	 * 	216.97	DCR|2ASPD|1VULN|2CDMG|1AART|1DMG|2DUR	1AART|28DUR|38CDMG|4VULN|5LHND|68ASPD|7RCR|8BPWR|9LIT|aDMG
10	51122 24363	 * 	216.49	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4aVULN|5ASPD|6DMG|7MSLREG|8ZMB|9RCR
11	31226 62233	 * 	215.96	DCR|2VULN|2DMG|3ZMB|1ASPD|1CDMG	129ZMB|29BPWR|3VENFST|49DMG|5ASPD|6CDMG|7RMIN|89VULN|aRCR
12	53121 33443	   	213.81	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	1aAART|2CDMG|3VULN|4ZMB|5DUR|6FEWX|7RCR|89DMG
13	53112 33443	 * 	213.28	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1AART|2CDMG|3VULN|4LEGI|5aASPD|6FEWX|7RCR|89DMG
14	53322 33443	   	213.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1AART|2CDMG|3DUST|4VULN|5aASPD|6FEWX|7RCR|89DMG
15	35622 12421	 * 	213.10	DCR|3DMG|1VULN|2CDMG|1ASPD|1ZMB|1DUR	1ZMB|2DUR|34aDMG|5VULN|6ASPD|78CDMG|9RCR
16	51122 33442	   	212.71	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR	1AART|2aDUR|3CDMG|4VULN|5ASPD|6FEWX|7RCR|89DMG
17	34338 72141	 * 	211.66	DCR|2ASPD|3ZMB|1VULN|1DMG|1CDMG|2DUR	18aZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUR|7RCR|8BPWR|9DMG
18	31215 51532	 * 	211.66	DCR|2VULN|2ASPD|1AART|1CDMG|2ZMB	12ZMB|2BPWR|3VENFST|4CDMG|57ASPD|6RCR|8AART|9aVULN
19	34622 33226	 * 	210.74	DCR|2VULN|2DMG|2CDMG|1ASPD|2ZMB	19ZMB|2ASPD|3LEGI|49DMG|58CDMG|6DUST|79VULN|9BPWR|aRCR
20	31215 53162	   	210.69	DCR|3ZMB|1VULN|1AART|2CDMG|1ASPD|2DUR	12aZMB|2aBPWR|3VENFST|4aCDMG|5ASPD|6RCR|7VULN|8AART|9aDUR
21	51122 33433	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4aVULN|5ASPD|6FEWX|7RCR|8DMG|9RPLT
22	51122 33453	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4aVULN|5ASPD|6FEWX|7RCR|8DMG|9LWND
23	51125 33413	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4aVULN|5LHND|6ASPD|7RCR|8DMG|9FEWX
24	51122 53413	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4aVULN|5ASPD|6DUST|7RCR|8DMG|9FEWX
25	51124 33413	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4aVULN|5DUST|6ASPD|7RCR|8DMG|9FEWX
26	51125 33321	 * 	209.83	DCR|3ASPD|1VULN|1AART|2CDMG|2DUR	1AART|28DUR|38CDMG|4VULN|5LHND|68aASPD|7RCR|8BPWR|9BEXP
27	51125 33334	   	209.83	DCR|3ASPD|1VULN|2CDMG|1AART|2DUR	1AART|28DUR|38CDMG|4VULN|5LHND|68aASPD|7RCR|8BPWR|9LIT
28	51125 33341	   	209.73	DCR|3ASPD|1VULN|1AART|2CDMG|2DUR	1AART|28DUR|38CDMG|4VULN|5LHND|68aASPD|7RCR|8BPWR|9DUST
29	34322 43421	   	209.52	DCR|2VULN|2DMG|2CDMG|1ASPD|1ZMB	1ZMB|2ASPD|37VULN|4aDMG|58CDMG|6LHND|9RCR
30	34322 33421	   	209.42	DCR|2VULN|2DMG|2CDMG|1ASPD|1ZMB	1ZMB|2ASPD|37VULN|4aDMG|58CDMG|6DUST|9RCR
31	53123 33443	   	209.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2CDMG|3VULN|4ZMB|5DUST|6FEWX|7RCR|89DMG|aASPD
32	26334 52232	 * 	209.17	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2SPLREG|35VULN|45DMG|5BPWR|6RCR|7DUST|8CDMG|9RCVC|aAART
33	53222 24363	   	208.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2CDMG|3FEWX|4aVULN|5ASPD|6DMG|7MSLREG|8ZMB|9RCR
34	53112 24363	   	208.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2CDMG|3aVULN|4LEGI|5ASPD|6DMG|7MSLREG|8ZMB|9RCR
35	53322 24363	   	208.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2CDMG|3DUST|4aVULN|5ASPD|6DMG|7MSLREG|8ZMB|9RCR
36	34338 72122	 * 	207.98	DCR|2ASPD|1VULN|1AART|3DUR|1CDMG|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68aDUR|7RCR|8BPWR|9AART
37	35622 12326	   	207.68	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR|1ZMB	1ZMB|29DUR|34DMG|5VULN|69ASPD|7CDMG|89BEXP|9BPWR|aRCR
38	52132 61225	 * 	207.66	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE|1DUR	16AART|2ASPD|3VULN|4LIT|5DUST|7DMG|8RCR|9DUR|aNUKE
39	51122 33441	   	207.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1AART|2DUR|3CDMG|4VULN|5ASPD|6FEWX|7RCR|89DMG|aCGEN
40	53112 33442	   	207.36	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1AART|2CDMG|3VULN|4LEGI|5ASPD|6FEWX|7RCR|89DMG|aDUR
41	53322 33442	   	207.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2CDMG|3DUST|4VULN|5ASPD|6FEWX|7RCR|89DMG|aDUR
42	35151 42122	   	206.67	DCR|2VULN|2ASPD|1AART|2DUR|2ZMB|2SELL	18ZMB|2aDUR|36SELL|48VULN|58ASPD|7RCR|8BPWR|9AART
43	51122 24263	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4aVULN|5ASPD|6DMG|7MSLREG|8AME|9RCR
44	61215 52122	 * 	206.04	DCR|1SPLARM|2VULN|1AART|2CDMG|1ASPD	12aMLV|2aBPWR|3SPLARM|4aCDMG|5ASPD|6RCR|7LHND|8AART|9aVULN
45	51122 33413	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1aAART|2DUR|3CDMG|4VULN|5ASPD|69FEWX|7RCR|8DMG
46	51125 33236	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	18AART|2DUR|3CDMG|4VULN|5LHND|6ASPD|7RCR|9LIT|aDMG
47	31215 22233	 * 	205.81	DCR|2VULN|3ZMB|2CDMG|1ASPD|1DMG	129ZMB|29BPWR|3VENFST|49CDMG|5ASPD|6DMG|7RMIN|89VULN|aRCR
48	34338 12143	   	205.52	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUST|7RCR|8BPWR|9DMG|aNUKE
49	34324 22216	 * 	205.21	DCR|3AART|2ASPD|1VULN|1DMG|1ZMB	1ZMB|25ASPD|3VULN|4DMG|6CGEN|789AART|aRCR
50	52131 45233	 * 	204.80	DCR|3ASPD|1VULN|1AART|1DMG|1ZMB	1AART|278ASPD|3VULN|4LIT|5LWND|6RCR|9ZMB|aDMG
51	32622 12421	   	204.80	DCR|3DMG|1VULN|2CDMG|1ASPD|1ZMB	1ZMB|2LHND|34aDMG|5VULN|6ASPD|78CDMG|9RCR
52	26334 52212	   	204.70	DCR|2VULN|2DMG|1ASPD|1CDMG	1RMIN|2SPLREG|35VULN|45DMG|5BPWR|6RCR|7DUST|8CDMG|9CGEN|aASPD
53	53661 13333	 * 	204.70	ACR|3DMG|2VULN|2CDMG|1AART|1ZMB	1AART|2aCDMG|3ERES|47aDMG|5RCR|6LHND|8ZMB|9aVULN|aBPWR
