0	Index      	 *	Score 	Summary	Detail	
1	11544 31332	 * 	232.76	DCR|3VULN|3ASPD|1MDPS|1DMG	1RPLT|256VULN|358ASPD|4RMIN|5BPWR|7RCR|9DMG|aMDPS
2	21334 44113	 * 	230.98	DCR|3VULN|3ASPD|2CDMG|1DMG	138BEXP|289ASPD|4LWND|59CDMG|689VULN|7RCR|89BPWR|aDMG
3	21324 44113	   	230.88	DCR|3VULN|3ASPD|2CDMG|1DMG	138BEXP|289ASPD|4DUST|59CDMG|689VULN|7RCR|89BPWR|aDMG
4	11344 31341	 * 	224.12	DCR|3VULN|1AART|1ASPD|1DMG|2ZMB	1RPLT|256VULN|35ZMB|4RMIN|5BPWR|7RCR|8ASPD|9AART|aDMG
5	43153 11111	 * 	223.31	DCR|4VULN|2DMG|1AART|2RMIN	12RMIN|3aDMG|4AART|579aVULN|6aLWND|8RCR|aBPWR
6	43153 41111	   	223.31	DCR|4VULN|2DMG|1AART|2RMIN	12RMIN|3aDMG|4AART|579aVULN|6aBEXP|8RCR|aBPWR
7	43153 51111	   	223.31	DCR|4VULN|2DMG|1AART|2RMIN	12RMIN|3aDMG|4AART|579aVULN|6aFEWX|8RCR|aBPWR
8	11544 31122	 * 	221.33	DCR|4VULN|2ASPD|1AART	1RPLT|256aVULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9RCVC
9	11543 31334	   	213.84	DCR|3VULN|3ASPD|1DMG	1RPLT|26aVULN|358ASPD|4RMIN|7RCR|9DMG
10	11544 31331	   	213.84	DCR|3VULN|3ASPD|1DMG	1RPLT|256VULN|358ASPD|4RMIN|5BPWR|7RCR|9DMG|aDUST
11	11544 31333	   	213.84	DCR|3VULN|3ASPD|1DMG	1RPLT|256VULN|358ASPD|4RMIN|5BPWR|7RCR|9DMG|aERES
12	11544 31133	   	213.04	DCR|3VULN|2ASPD|1AART|1DUR	1RPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9BELT|aDUR
13	11224 51214	 * 	212.97	DCR|3VULN|1ASPD|1DMG|3DUR|1CDMG	1RPLT|245VULN|345DUR|45BPWR|6ASPD|7CDMG|8DMG|9RMIN|aRCR
