0	Index      	 *	Score 	Summary	Detail	
1	11632 53224	 * 	243.50	DCR|2SPLARM|2DMG|1MDPS|1VULN|1AART|1NUKE|1AAC	1MDPS|2VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8AAC|9BEXP|aNUKE
2	11633 53125	 * 	241.33	DCR|2SPLARM|3VULN|2DMG|1MDPS|1AART	1MDPS|25aVULN|3aSPLARM|4aDMG|6AART|7RCR|8RPLT|9RMIN|aBPWR
3	11634 13125	   	241.33	DCR|2SPLARM|3VULN|2DMG|1MDPS|1AART	1MDPS|26aVULN|3aSPLARM|4aDMG|5AART|7RCR|8RPLT|9RMIN|aBPWR
4	11632 53125	 * 	241.18	DCR|3SPLARM|3DMG|2VULN|1MDPS|1AART	1MDPS|2aVULN|35aSPLARM|45aDMG|5aBPWR|6AART|7RCR|8RPLT|9RMIN
5	11632 53343	   	238.95	DCR|2SPLARM|3DMG|2VULN|1MDPS|1AART	1MDPS|2aVULN|35SPLARM|45aDMG|5aBPWR|6AART|7RCR|8aERES|9MBVNT
6	11614 13125	 * 	237.96	DCR|2SPLARM|3VULN|1MDPS|2ASPD|1AART	1MDPS|26aVULN|3aSPLARM|4aASPD|5AART|7RCR|8RPLT|9RMIN|aBPWR
7	11614 13224	 * 	235.18	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1NUKE|1AAC	1MDPS|26VULN|3SPLARM|4ASPD|5AART|7RCR|8AAC|9BEXP|aNUKE
8	11633 53224	 * 	235.18	DCR|1SPLARM|2VULN|1MDPS|1AART|1DMG|1NUKE|1AAC	1MDPS|25VULN|3SPLARM|4DMG|6AART|7RCR|8AAC|9BEXP|aNUKE
9	11634 13224	   	235.18	DCR|1SPLARM|2VULN|1MDPS|1AART|1DMG|1NUKE|1AAC	1MDPS|26VULN|3SPLARM|4DMG|5AART|7RCR|8AAC|9BEXP|aNUKE
10	11632 53522	 * 	233.41	DCR|2SPLARM|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB	1MDPS|2VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8BEXP|9ZMB|aASPD
11	11632 53632	   	233.31	DCR|2SPLARM|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB	1MDPS|2VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8MBVNT|9ZMB|aASPD
