0	Index      	 *	Score 	Summary	Detail	
1	32321 61355	 * 	226.03	DCR|5VULN|1ASPD|1CDMG|2DUR|1ZMB	13DUR|23468VULN|3BPWR|5ZMB|7ASPD|9RCR|aCDMG
2	21187 36142	 * 	223.43	DCR|3DMG|2AART|2ASPD|1CDMG	1aAART|29ASPD|3MBVNT|4CDMG|589DMG|6RCR|79BEXP|9BPWR
3	21187 33142	 * 	222.99	DCR|3DMG|2ASPD|1AART|2CDMG|1DUR	1AART|29ASPD|3MBVNT|49CDMG|589DMG|6RCR|7LEGI|9BPWR|aDUR
4	21611 53136	 * 	222.43	DCR|2DMG|2ASPD|1AART|1VULN|2DUR|2ZMB	1AART|27ASPD|37ZMB|4LIT|5aDUR|67DMG|7BPWR|8RCR|9VULN
5	21611 53135	 * 	221.82	DCR|2DMG|1MDPS|2ASPD|1AART|1VULN|2ZMB|1DUR	1AART|27ASPD|37ZMB|4LIT|5DUR|67DMG|7BPWR|8RCR|9VULN|aMDPS
6	32322 21453	 * 	221.50	DCR|4VULN|1ASPD|1DMG|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7LHND|8DMG|9RCR|aASPD
7	21187 34633	 * 	221.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|59DMG|6RCR|7LIT|8aVULN
8	21187 33542	 * 	220.26	DCR|3ASPD|2DMG|1AART|2CDMG|1DUR	1AART|289ASPD|3MBVNT|49CDMG|59DMG|6RCR|7LEGI|9BPWR|aDUR
9	21353 66212	 * 	219.51	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29ASPD|3FEWX|4aVULN|57DMG|6RCR|8LHND
10	21353 66112	   	219.41	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29ASPD|3FEWX|4aVULN|57DMG|6RCR|8DUST
11	21353 61612	 * 	218.00	DCR|2VULN|2AART|2ASPD|1DMG	18AART|29ASPD|3FEWX|4aVULN|5DMG|6RCR|7LHND
