0	Index      	 *	Score 	Summary	Detail	
1	13533 64133	 * 	234.26	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1CDMG	1ASPD|2CDMG|35VULN|4ERES|68DMG|7AART|9RCR|aMDPS
2	23653 31353	 * 	231.23	DCR|3DMG|2VULN|1ASPD|1CDMG|2ZMB	1RCVC|23aDMG|4DUST|5aZMB|6RCR|7CDMG|8ASPD|9aVULN|aBPWR
3	22122 21233	 * 	221.57	DCR|2VULN|2DMG|2ASPD|1CDMG	15RCVC|2RMIN|3aVULN|4aASPD|6DUST|7CDMG|8RCR|9aDMG|aBPWR
4	25123 21163	 * 	221.34	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	1RCVC|278ASPD|37VULN|4DMG|5ZMB|67DUST|7BPWR|9AART|aRCR
5	23126 21243	 * 	221.01	DCR|3DMG|2VULN|2CDMG|1ASPD|1NUKE	1RCVC|25aDMG|3aVULN|4ASPD|6DUST|7aCDMG|8RCR|9NUKE|aBPWR
6	22121 21233	   	220.45	DCR|2VULN|2DMG|2ASPD|1CDMG|2RMIN	1RCVC|25RMIN|3aVULN|4aASPD|6DUST|7CDMG|8RCR|9aDMG|aBPWR
7	25126 21243	 * 	219.57	DCR|2VULN|2DMG|2ASPD|2CDMG|1NUKE	1RCVC|2aASPD|3aVULN|45DMG|6DUST|7aCDMG|8RCR|9NUKE|aBPWR
8	33643 33353	 * 	219.48	DCR|3DMG|2VULN|1AART|3DUR	138DUR|239DMG|39BPWR|4ERES|59DUST|6RCR|79VULN|aAART
9	23453 31353	   	218.79	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB	13RCVC|2aDMG|4DUST|5aZMB|6RCR|7CDMG|8ASPD|9aVULN|aBPWR
10	16123 21163	   	217.18	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	178ASPD|2AELBLL|37VULN|4DMG|5ZMB|67DUST|7BPWR|9AART|aRCR
11	23126 31234	 * 	216.98	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1RCVC|259DMG|3VULN|4ASPD|6FEWX|7CDMG|8RCR|aAART
12	25126 31234	   	216.98	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1RCVC|2ASPD|3VULN|459DMG|6FEWX|7CDMG|8RCR|aAART
13	23126 21234	   	216.88	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1RCVC|259DMG|3VULN|4ASPD|6DUST|7CDMG|8RCR|aAART
14	25126 21234	   	216.88	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1RCVC|2ASPD|3VULN|459DMG|6DUST|7CDMG|8RCR|aAART
15	13533 64131	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1ASPD|2CDMG|35VULN|4ERES|68DMG|7AART|9RCR|aCGEN
16	16126 21243	   	215.41	DCR|2VULN|2DMG|2ASPD|2CDMG|1NUKE	1aASPD|2AELBLL|3aVULN|45DMG|6DUST|7aCDMG|8RCR|9NUKE|aBPWR
17	13533 64132	   	215.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1SELL	1ASPD|2CDMG|35VULN|4ERES|68DMG|7AART|9RCR|aSELL
18	23121 51562	   	215.28	DCR|2VULN|2DMG|2ASPD|1CDMG	1RCVC|27DMG|39VULN|47ASPD|5RMIN|67BEXP|7BPWR|8CDMG|aRCR
19	23154 21233	   	214.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	14RCVC|2aDMG|3aVULN|5AAC|6DUST|7CDMG|8RCR|9aASPD|aBPWR
20	25154 21233	   	214.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	14RCVC|2aASPD|3aVULN|5AAC|6DUST|7CDMG|8RCR|9aDMG|aBPWR
21	25135 32153	 * 	213.93	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ASPD|356VULN|45TLV|5BPWR|7ZMB|8DMG|9RCR|aAART
22	16126 31234	   	212.81	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1ASPD|2AELBLL|3VULN|459DMG|6FEWX|7CDMG|8RCR|aAART
23	16126 21234	   	212.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1ASPD|2AELBLL|3VULN|459DMG|6DUST|7CDMG|8RCR|aAART
24	25114 21233	   	212.14	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	1RCVC|2aASPD|3aVULN|4DMSP|5AAC|6DUST|7CDMG|8RCR|9aDMG|aBPWR
25	23114 21233	   	212.14	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	1RCVC|2aDMG|3aVULN|4DMSP|5AAC|6DUST|7CDMG|8RCR|9aASPD|aBPWR
26	23123 24242	 * 	211.74	DCR|3VULN|2DMG|1ASPD|1ZMB	1RCVC|29DMG|38aVULN|4ASPD|5ZMB|6DUST|7RCR
27	25123 24242	   	211.74	DCR|3VULN|2DMG|1ASPD|1ZMB	1RCVC|2ASPD|38aVULN|49DMG|5ZMB|6DUST|7RCR
28	23123 24553	   	211.63	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1RCVC|2aDMG|3VULN|4aASPD|5ZMB|6DUST|7RCR|8aCDMG|9DMSP|aBPWR
29	16154 21233	   	210.87	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	1aASPD|2AELBLL|3aVULN|4RCVC|5AAC|6DUST|7CDMG|8RCR|9aDMG|aBPWR
30	13511 53236	   	210.46	DCR|2VULN|2ASPD|1DMG|1NUKE|1CDMG	17ASPD|2CDMG|36VULN|4RPLT|5LWND|8RCR|9DMG|aNUKE
31	13512 53236	   	210.46	DCR|2VULN|2ASPD|1DMG|1NUKE|1CDMG	17ASPD|2CDMG|36VULN|4RPLT|5LHND|8RCR|9DMG|aNUKE
32	23123 24525	 * 	210.19	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3VULN|4aASPD|5ZMB|6DUST|7RCR|8CDMG|9AART
33	13533 24321	 * 	209.21	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE|1CDMG	1ASPD|2CDMG|35VULN|4ERES|6CGEN|7AART|8RCR|9NUKE|aMDPS
34	14232 32252	 * 	208.45	DCR|4VULN|2ASPD|2DUR	1aASPD|279aVULN|3RMIN|4LIT|5BEXP|6aDUR|8RCR|aBPWR
35	14236 23252	   	208.35	DCR|4VULN|2ASPD|2DUR	1aASPD|259aVULN|3RMIN|4LIT|6DUST|7aDUR|8RCR|aBPWR
36	25153 21233	   	208.21	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	14RCVC|2aASPD|3VULN|5aZMB|6DUST|7CDMG|8RCR|9aDMG|aBPWR
37	23153 21233	   	208.21	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	14RCVC|2aDMG|3VULN|5aZMB|6DUST|7CDMG|8RCR|9aASPD|aBPWR
38	23123 24244	   	208.13	DCR|2VULN|2DMG|2ASPD|1ZMB	1RCVC|29DMG|38VULN|4aASPD|5ZMB|6DUST|7RCR
39	16114 21233	   	207.98	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	1aASPD|2AELBLL|3aVULN|4DMSP|5AAC|6DUST|7CDMG|8RCR|9aDMG|aBPWR
40	16123 24242	   	207.58	DCR|3VULN|2DMG|1ASPD|1ZMB	1ASPD|2AELBLL|38aVULN|49DMG|5ZMB|6DUST|7RCR
41	23125 25423	   	207.55	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|28DMG|38VULN|4ASPD|5TSLARM|68LIT|7RCR|8BPWR|9BELT|aAART
42	16135 32153	   	206.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	15ASPD|2AELBLL|36VULN|45TLV|5BPWR|7ZMB|8DMG|9RCR|aAART
43	25113 21233	   	205.41	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	1RCVC|2aASPD|3VULN|4DMSP|5aZMB|6DUST|7CDMG|8RCR|9aDMG|aBPWR
44	23113 21233	   	205.41	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	1RCVC|2aDMG|3VULN|4DMSP|5aZMB|6DUST|7CDMG|8RCR|9aASPD|aBPWR
45	23613 11264	   	205.41	DCR|3DMG|2VULN|1AART	1RCVC|23aDMG|4AART|56aCGEN|7aVULN|8RCR|9RMIN|aBPWR
46	23123 24216	   	204.69	DCR|2VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1RCVC|2DMG|38VULN|4ASPD|5ZMB|6DUST|7RCR|9DUR|aNUKE
47	25123 24216	   	204.69	DCR|2VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1RCVC|2ASPD|38VULN|4DMG|5ZMB|6DUST|7RCR|9DUR|aNUKE
48	14321 13234	 * 	204.66	DCR|3ASPD|2VULN|2DMG|1NUKE|1AAC	17aASPD|2aVULN|3AAC|4AME|5NUKE|6LWND|8RCR|9aDMG|aBPWR
49	14323 33234	   	204.66	DCR|3ASPD|2VULN|2DMG|1NUKE|1AAC	17aASPD|2aVULN|3AAC|4AME|5LWND|6NUKE|8RCR|9aDMG|aBPWR
50	14361 13234	   	204.66	DCR|3ASPD|2VULN|2DMG|1NUKE|1AAC	17aASPD|2aVULN|3AAC|4CGEN|5NUKE|6LWND|8RCR|9aDMG|aBPWR
51	14363 33234	   	204.66	DCR|3ASPD|2VULN|2DMG|1NUKE|1AAC	17aASPD|2aVULN|3AAC|4CGEN|5LWND|6NUKE|8RCR|9aDMG|aBPWR
52	14622 33234	   	204.56	DCR|3ASPD|2VULN|2DMG|1NUKE|1AAC	17aASPD|2aVULN|3LWND|4ERES|5AAC|6NUKE|8RCR|9aDMG|aBPWR
53	23123 51516	   	204.46	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1RCVC|27DMG|37VULN|4ASPD|5ZMB|67BEXP|7BPWR|8CDMG|9BELT|aRCR
54	23123 51534	   	204.46	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1RCVC|27DMG|37VULN|4ASPD|5ZMB|67BEXP|7BPWR|8CDMG|9LIT|aRCR
55	23123 54522	   	204.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3VULN|4ASPD|5ZMB|6BEXP|7RCR|8CDMG|9AART|aDUR
56	23123 24522	   	204.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3VULN|4ASPD|5ZMB|6DUST|7RCR|8CDMG|9AART|aDUR
57	25123 24522	   	204.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2ASPD|3VULN|4DMG|5ZMB|6DUST|7RCR|8CDMG|9AART|aDUR
