0	Index      	 *	Score 	Summary	Detail	
1	13177 21362	 * 	217.60	DCR|3VULN|2AART|1DMG|1CDMG|1AAC	1AAC|2MBVNT|39aVULN|4CDMG|58AART|6RCR|7DMG
2	13177 24362	 * 	217.37	DCR|4VULN|1AART|1DMG|1CDMG|1AAC	1AAC|2MBVNT|379aVULN|4CDMG|5AART|6RCR|8DMG
3	13177 21184	 * 	210.82	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2MBVNT|39VULN|4CDMG|5AART|6RCR|7DMG|8DUR|aMDPS
4	13177 24374	   	210.82	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2MBVNT|37VULN|4CDMG|5AART|6RCR|8DMG|9DUR|aMDPS
5	11345 21213	 * 	210.38	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR|1AAC|1ZMB	1AAC|2FEWX|39VULN|4DMG|5ZMB|69DUR|7CDMG|89ASPD|9BPWR|aRCR
6	21126 34612	 * 	208.89	DCR|4VULN|3ASPD|1DUR	17ERES|2TLV|379ASPD|4567VULN|7BPWR|8RCR|aDUR
7	14642 12213	   	208.35	DCR|2VULN|2ASPD|1DMG|1CDMG|2ZMB|1AAC|1DUR	1AAC|2CDMG|39VULN|4DMG|5LWND|69ZMB|7DUR|89ASPD|9BPWR|aRCR
8	22325 53233	 * 	207.77	DCR|4VULN|2DMG|1ZMB|1DUR	18ERES|2348VULN|5FEWX|6DUR|78DMG|8BPWR|9RCR|aZMB
9	22322 51614	 * 	207.62	DCR|4VULN|2ASPD|1DMG|1AAC	1ERES|2346VULN|5AAC|79ASPD|8RCR|aDMG
10	13177 21374	 * 	206.51	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|2MBVNT|3VULN|4CDMG|58AART|6RCR|7DMG|9DUR|aMDPS
11	21126 34631	 * 	206.38	DCR|4VULN|1MDPS|2ASPD	179ERES|2TLV|37ASPD|4567VULN|7BPWR|8RCR|aMDPS
12	22324 52225	 * 	205.33	DCR|3VULN|1AART|1ASPD|1DMG	15ERES|234VULN|6RCR|7ASPD|8RCVC|9DMG|aAART
13	13372 74211	 * 	205.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	1AAC|2MBVNT|3LHND|46CDMG|56VULN|6BPWR|7ASPD|8DMG|9RCR|aAART
14	13772 74211	   	205.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	1AAC|2MBVNT|3LWND|46CDMG|56VULN|6BPWR|7ASPD|8DMG|9RCR|aAART
15	23453 11611	 * 	204.66	DCR|3ASPD|2VULN|2DMG	1aERES|2RCVC|3DMSP|459ASPD|6aVULN|7aDMG|8RCR|aBPWR
16	22223 54123	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|29VULN|3DMG|4AART|5LWND|6RCR|7ASPD|8FEWX|aCDMG
17	22223 54223	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|29VULN|3DMG|4AART|5LWND|6RCR|7ASPD|8LHND|aCDMG
18	22242 54123	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|29VULN|3DMG|4LHND|5AART|6RCR|7ASPD|8FEWX|aCDMG
19	22322 51616	 * 	203.81	DCR|4VULN|2ASPD|1CDMG|1AAC	1ERES|2346VULN|5AAC|79ASPD|8RCR|aCDMG
20	13587 21213	 * 	203.78	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	1AAC|2MBVNT|3LEGI|49VULN|59DMG|6ERES|7CDMG|89ASPD|9BPWR|aRCR
21	13177 24352	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2MBVNT|37VULN|4CDMG|5AART|6RCR|8DMG|9ASPD|aBEXP
22	13177 24354	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2MBVNT|37VULN|4CDMG|5AART|6RCR|8DMG|9ASPD|aLIT
23	22262 54123	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|29VULN|3DMG|4LEGI|5AART|6RCR|7ASPD|8FEWX|aCDMG
24	22262 54223	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|29VULN|3DMG|4LEGI|5AART|6RCR|7ASPD|8LHND|aCDMG
25	21126 34511	   	203.72	DCR|4VULN|2ASPD|1DMG	17ERES|2TLV|37ASPD|4567VULN|7BPWR|8AELBLL|9DMG|aRCR
26	22223 54225	 * 	203.68	DCR|2VULN|2AART|1ASPD|1DMG	1ERES|29VULN|3DMG|4aAART|5LWND|6RCR|7ASPD|8LHND
27	13177 24351	   	203.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1MSE	1AAC|2MBVNT|37VULN|4CDMG|5AART|6RCR|8DMG|9ASPD|aMSE
28	13177 24353	   	203.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2MBVNT|37VULN|4CDMG|5AART|6RCR|8DMG|9ASPD|aTSLFST
29	22235 52333	 * 	203.18	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC	19ERES|28VULN|369DMG|4MDPS|5AAC|79ASPD|9BPWR|aRCR
30	52232 11314	   	202.82	DCR|3DMG|2VULN|1MDPS|1ASPD|2DUR	18CGEN|25VULN|358DMG|4MDPS|58BPWR|6MBVNT|78DUR|9ASPD|aRCR
31	13177 21484	   	202.51	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1AAC|2MBVNT|39VULN|4CDMG|5AART|6RCR|7DMG|8FEWX|aMDPS
32	13177 24314	   	202.51	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1AAC|2MBVNT|37VULN|4CDMG|5AART|6RCR|8DMG|9FEWX|aMDPS
33	13177 24326	   	202.51	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1AAC|2MBVNT|37VULN|4CDMG|5AART|6RCR|8DMG|9RPLT|aMDPS
34	13471 21784	   	202.41	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1AAC|2MBVNT|3DUST|4CDMG|5AART|6RCR|7DMG|89VULN|aMDPS
