0	Index      	 *	Score 	Summary	Detail	
1	32312 48168	 * 	235.55	DCR|3VULN|3DMG|1MDPS|2ASPD|1ZMB	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aZMB
2	32312 48166	   	233.52	DCR|3VULN|3DMG|1MDPS|2ASPD|1DUR	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aDUR
3	25323 48734	 * 	232.15	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|679VULN|7BPWR|8ZMB|aRCR
4	25321 46812	 * 	226.38	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1MBVNT|2ASPD|38DMG|4CDMG|5RMIN|6aVULN|7RCR|9AART
5	32312 48165	   	225.54	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aRCVC
6	32312 48133	   	225.22	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67aVULN|7BPWR|8RCR|9MLV
7	32312 48153	   	225.22	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67aVULN|7BPWR|8RCR|9CGEN
8	32312 48163	   	225.22	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aBEXP
9	32312 48188	   	225.22	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67aVULN|7BPWR|8RCR|9LIT
10	32312 48113	   	225.12	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67aVULN|7BPWR|8RCR|9ERES
11	32312 48161	   	225.12	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aCANSTR
12	32312 48162	   	225.12	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aDUST
13	32312 48164	   	225.12	DCR|3VULN|3DMG|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aERES
14	32312 48167	   	225.12	DCR|3VULN|3DMG|1MDPS|2ASPD|1MSE	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aMSE
15	25323 48443	 * 	224.71	DCR|2VULN|1MDPS|2DMG|2ASPD|1CDMG	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|67VULN|7BPWR|8ERES|9RCR|aMDPS
16	25323 48448	   	223.71	DCR|3VULN|2DMG|2ASPD|1CDMG	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|67aVULN|7BPWR|8ERES|9RCR
17	21143 35734	 * 	223.12	DCR|3VULN|2DMG|2CDMG|1ASPD	1MBVNT|24aVULN|3aCDMG|5AME|6RCR|7BELT|8ASPD|9aDMG|aBPWR
18	32311 18834	 * 	221.89	DCR|3VULN|3DMG|1MDPS|3DUR|1CDMG	1MDPS|2MBVNT|347DMG|578VULN|678DUR|78BPWR|9CDMG|aRCR
19	25323 48354	   	221.81	DCR|3VULN|2DMG|2ASPD|1CDMG	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|678VULN|7BPWR|9MLV|aRCR
20	21143 38333	 * 	221.38	DCR|4VULN|2CDMG|1ASPD|1DMG	1MBVNT|2478VULN|37CDMG|57AME|6RCR|7BPWR|9ASPD|aDMG
21	21143 38833	   	221.38	DCR|4VULN|2CDMG|1ASPD|1DMG	1MBVNT|2479VULN|37CDMG|57AME|6RCR|7BPWR|8ASPD|aDMG
22	25321 46338	 * 	220.42	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1MBVNT|2aASPD|3aDMG|4CDMG|5RMIN|6VULN|7RCR|8aFEWX|9AART|aBPWR
23	32312 48128	 * 	220.34	DCR|3DMG|2VULN|1MDPS|2ASPD|2AAC	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9aAAC
24	32312 48181	 * 	220.31	DCR|3DMG|3ASPD|2VULN|1MDPS	1MDPS|2MBVNT|347DMG|57aASPD|67VULN|7BPWR|8RCR|9LIT
25	26341 34242	 * 	220.12	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1MBVNT|2LIT|3AART|46VULN|56DMG|6BPWR|7BELT|8RCR|9ASPD|aMDPS
26	23717 48122	   	219.27	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2RMIN|37DMG|47LWND|57VULN|6RCR|7BPWR|8ASPD|9SPLREG|aAART
27	23717 44441	   	218.62	DCR|3DMG|2VULN|2ASPD	1MBVNT|2RMIN|38aDMG|4aLWND|58VULN|6RCR|78CGEN|8aBPWR|9aASPD
28	23787 44441	   	218.62	DCR|3DMG|2VULN|2ASPD	1MBVNT|2RMIN|38aDMG|4aLHND|58VULN|6RCR|78CGEN|8aBPWR|9aASPD
29	24714 48834	 * 	218.52	ACR|3VULN|3DMG|1MDPS|3DUR|1CDMG	1MBVNT|2LEGI|378DUR|478DMG|5RCR|678VULN|78BPWR|9CDMG|aMDPS
30	32312 48123	   	218.24	DCR|3VULN|3DMG|1MDPS|2ASPD|1AAC	1MDPS|2MBVNT|347DMG|57ASPD|67aVULN|7BPWR|8RCR|9AAC
31	22323 48374	   	217.78	DCR|3VULN|2ASPD|1DMG|1CDMG|2ZMB	1MBVNT|27ZMB|37ASPD|4CDMG|5TLV|678VULN|7BPWR|9DMG|aRCR
32	33231 41435	 * 	217.58	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1AAC	1MDPS|2AAC|3DMG|469VULN|5AART|7CDMG|8RCR|aASPD
33	26341 34241	   	217.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1MBVNT|2LIT|3AART|46VULN|56DMG|6BPWR|7BELT|8RCR|9ASPD|aCDMG
34	25321 46632	   	217.10	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2ASPD|3DMG|4CDMG|5RMIN|6aVULN|7RCR|8DUR|9AART
35	22321 16838	 * 	216.70	DCR|2VULN|2ASPD|1AART|1CDMG|2ZMB	1MBVNT|2aZMB|3aASPD|4CDMG|5RMIN|6FEWX|7RCR|8aVULN|9AART|aBPWR
36	25514 33338	 * 	216.09	ACR|3VULN|2DMG|2ASPD|1AART	1MBVNT|2aASPD|37aVULN|4RCR|5RMIN|6aDMG|8RPLT|9AART|aBPWR
37	25117 48131	 * 	215.94	DCR|3VULN|3ASPD|1DMG	1MBVNT|278ASPD|3RMIN|47LWND|57aVULN|6RCR|7BPWR|9DMG
38	21246 21466	   	215.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|245VULN|3CGEN|6RCR|7ASPD|8AART|9ZMB|aDMG
39	32312 48143	   	215.69	DCR|3DMG|2VULN|1MDPS|2ASPD|1DUR	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aDUR
40	32312 48173	   	215.69	DCR|3DMG|2VULN|1MDPS|2ASPD|1DUR	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aDUR
41	21143 38337	 * 	215.58	DCR|5VULN|2CDMG|1ASPD	1MBVNT|2478aVULN|37CDMG|57AME|6RCR|7BPWR|9ASPD
42	21143 38837	   	215.58	DCR|5VULN|2CDMG|1ASPD	1MBVNT|2479aVULN|37CDMG|57AME|6RCR|7BPWR|8ASPD
43	32116 48613	 * 	215.27	DCR|3DMG|2VULN|1MDPS|3ZMB|1ASPD	1MDPS|2MBVNT|357ZMB|457DMG|57BPWR|67VULN|8MLV|9ASPD|aRCR
44	32116 48813	   	215.27	DCR|3DMG|2VULN|1MDPS|3ZMB|1ASPD	1MDPS|2MBVNT|357ZMB|457DMG|57BPWR|67VULN|8AME|9ASPD|aRCR
