0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55212 53213	6	 * 	291.66	DCR|3VULN|3DMG|3DUR|2CDMG	189VULN|2LHND|389DMG|4aCDMG|5LWND|6RCR|789DUR|89BPWR
2	53731 24513	5	 * 	289.76	DCR|3VULN|3DMG|1TLV|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aTLV
3	53731 24513	4	   	289.76	DCR|3VULN|3DMG|1TLV|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aTLV
4	33256 32621	3	 * 	288.89	DCR|4VULN|3DMG|2DUR|1AART	17DUR|2MBVNT|367DMG|478aVULN|5AART|7BPWR|9RCR
5	53714 32621	5	   	288.89	DCR|4VULN|3DMG|2DUR|1AART	178aVULN|2MBVNT|37DUR|4AART|567DMG|7BPWR|9RCR
6	55212 53233	6	   	285.35	DCR|3VULN|3DMG|3DUR|1CDMG	18aVULN|2aLHND|389DMG|4CDMG|5LWND|6RCR|78aDUR|8aBPWR
7	55212 53212	6	   	285.25	DCR|3VULN|3DMG|3DUR|1CDMG	189VULN|2LHND|389DMG|4CDMG|5LWND|6RCR|789DUR|89BPWR|aBBNT
8	53714 62443	6	 * 	282.57	DCR|2VULN|3DMG|3DUR|1TLV|1AART	17VULN|2MBVNT|367DUR|4AART|567DMG|67BPWR|8BBNT|9RCR|aTLV
9	43431 21122	9	 * 	281.98	DCR|4VULN|2DMG|3TLV|2LIT	124TLV|347aVULN|47BPWR|57LIT|67DMG|8RCR|9BEXP
10	43431 21132	9	   	281.98	DCR|4VULN|2DMG|3TLV|2LIT	124TLV|347aVULN|47BPWR|57LIT|67DMG|8RCR|9FEWX
11	43431 21151	9	   	281.98	DCR|4VULN|2DMG|3TLV|2LIT	124TLV|347aVULN|47BPWR|57LIT|67DMG|8RCR|9RMIN
12	43431 21161	8	   	281.98	DCR|4VULN|2DMG|3TLV|2LIT	124TLV|347aVULN|47BPWR|57LIT|67DMG|8RCR|9RPLT
13	43431 21162	9	   	281.98	DCR|4VULN|2DMG|3TLV|2LIT	124TLV|347aVULN|47BPWR|57LIT|67DMG|8RCR|9LWND
14	43431 21111	8	   	281.88	DCR|4VULN|2DMG|3TLV|2LIT	124TLV|347aVULN|47BPWR|57LIT|67DMG|8RCR|9ERES
15	33256 32454	3	   	281.49	DCR|3VULN|3DMG|2DUR|1CDMG|1AART	17DUR|2MBVNT|367DMG|479VULN|5AART|7BPWR|8CDMG|aRCR
16	53714 32454	5	   	281.49	DCR|3VULN|3DMG|2DUR|1CDMG|1AART	179VULN|2MBVNT|37DUR|4AART|567DMG|7BPWR|8CDMG|aRCR
17	53714 62441	6	   	281.06	DCR|3VULN|3DMG|3DUR|1AART	17aVULN|2MBVNT|367DUR|4AART|567DMG|67BPWR|8BBNT|9RCR
18	43431 21152	8	 * 	279.58	DCR|3VULN|2DMG|3TLV|3LIT|1CDMG	124TLV|347VULN|47BPWR|579LIT|67DMG|8RCR|aCDMG
19	43431 21115	8	   	277.08	DCR|3VULN|2DMG|3TLV|1DUR|2LIT	124TLV|347VULN|47BPWR|57LIT|67DMG|8RCR|9ERES|aDUR
20	43431 21121	8	   	277.08	DCR|3VULN|2DMG|3TLV|1DUR|2LIT	124TLV|347VULN|47BPWR|57LIT|67DMG|8RCR|9TBNT|aDUR
21	43431 21131	8	   	277.08	DCR|3VULN|2DMG|3TLV|1DUR|2LIT	124TLV|347VULN|47BPWR|57LIT|67DMG|8RCR|9BBNT|aDUR
22	43316 21163	7	   	276.58	DCR|4VULN|2DMG|3TLV|1AART	127TLV|3ERES|478aVULN|57DMG|6AART|7BPWR|9RCR
23	53314 62621	6	 * 	276.29	DCR|5VULN|3DMG|1AART	1678aVULN|2MBVNT|3LEGI|4AART|567DMG|67BPWR|9RCR
24	53211 71234	9	 * 	275.37	DCR|3VULN|3DMG|3TLV|1CDMG	18aVULN|2MBVNT|38aDMG|4CDMG|5CGEN|6DMSP|78aTLV|8aBPWR|9RCR
25	53218 71234	9	   	275.37	DCR|3VULN|3DMG|3TLV|1CDMG	18aVULN|2MBVNT|38aDMG|4CDMG|5MLV|6DMSP|78aTLV|8aBPWR|9RCR
26	53217 71234	9	   	275.27	DCR|3VULN|3DMG|3TLV|1CDMG	18aVULN|2MBVNT|38aDMG|4CDMG|5ERES|6DMSP|78aTLV|8aBPWR|9RCR
27	53222 86114	3	 * 	273.41	DCR|3VULN|3DMG|1TLV|2CDMG	16aVULN|2MBVNT|38aDMG|4TLV|5ERES|7RCR|9aCDMG|aBPWR
28	53331 24513	5	   	273.41	DCR|3VULN|3DMG|1TLV|3LIT	178VULN|2MBVNT|3LEGI|478DMG|578LIT|6BBNT|78BPWR|9RCR|aTLV
29	53331 24513	4	   	273.41	DCR|3VULN|3DMG|1TLV|3LIT	178VULN|2MBVNT|3LEGI|478DMG|578LIT|6BBNT|78BPWR|9RCR|aTLV
30	43311 11363	4	 * 	273.33	DCR|4VULN|3DUR|3TLV	125TLV|39aERES|469aVULN|79aDUR|8RCR|9aBPWR
31	33232 58427	9	 * 	272.34	DCR|3VULN|3DUR|2TLV|1DMG	169DUR|2MBVNT|3DMG|4LEGI|59aVULN|79TLV|8RCR|9BPWR
32	34331 36323	1	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1aDUR|2348VULN|5TLV|6BELT|7DMG|9RCR
33	54331 36323	1	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1248VULN|3aDUR|5TLV|6BELT|7DMG|9RCR
34	53314 62454	6	   	271.60	DCR|4VULN|3DMG|1CDMG|1AART	1679VULN|2MBVNT|3LEGI|4AART|567DMG|67BPWR|8CDMG|aRCR
35	32363 43161	1	   	271.40	DCR|3VULN|3DMG|3DUR	139DUR|2ZMB|479VULN|5TBNT|689DMG|9BPWR|aRCR
36	34331 36322	1	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2348VULN|5TLV|6BELT|7DMG|9RCR|aCDMG
37	54331 36322	1	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1248VULN|3DUR|5TLV|6BELT|7DMG|9RCR|aCDMG
38	53714 62442	6	   	270.02	DCR|2VULN|3DMG|3DUR|1CDMG|1AART	17VULN|2MBVNT|367DUR|4AART|567DMG|67BPWR|8BBNT|9RCR|aCDMG
39	43316 42213	8	   	269.83	DCR|3VULN|3DMG|3TLV	128TLV|3ERES|489VULN|578DMG|6RCR|8BPWR|aLIT
40	33253 86132	3	   	269.59	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|2MBVNT|358DMG|469VULN|7RCR|aTLV
41	53212 11258	10	   	269.28	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	189VULN|2MBVNT|38DMG|4CDMG|5LWND|6AART|78TLV|8BPWR|aRCR
42	53213 11258	10	   	269.28	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	189VULN|2MBVNT|38DMG|4CDMG|5LHND|6AART|78TLV|8BPWR|aRCR
43	53241 31421	9	 * 	268.62	DCR|3VULN|2DMG|2DUR|1TLV	169VULN|2MBVNT|39DMG|4ERES|5FEWX|79DUR|8RCR|9BPWR|aTLV
44	53242 31421	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	169VULN|2MBVNT|39DMG|4ERES|5LWND|79DUR|8RCR|9BPWR|aTLV
45	53242 48421	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|2MBVNT|39DMG|4ERES|5LWND|69DUR|8RCR|9BPWR|aTLV
46	53244 31421	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	169VULN|2MBVNT|39DMG|4ERES|5LHND|79DUR|8RCR|9BPWR|aTLV
47	53246 11421	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2MBVNT|39DMG|4ERES|6FEWX|79DUR|8RCR|9BPWR|aTLV
48	53246 21421	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2MBVNT|39DMG|4ERES|6LHND|79DUR|8RCR|9BPWR|aTLV
49	53246 51421	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2MBVNT|39DMG|4ERES|6LWND|79DUR|8RCR|9BPWR|aTLV
50	43432 11363	5	   	268.61	DCR|4VULN|3TLV|2DUR	124TLV|3469VULN|49BPWR|59MLV|79DUR|8RCR|aLIT
51	53633 11427	9	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|2MBVNT|39BPWR|49DUST|5aDMG|6TLV|79DUR|8RCR
52	53331 24518	5	 * 	268.25	DCR|4VULN|3DMG|3LIT	178aVULN|2MBVNT|3LEGI|478DMG|578LIT|6BBNT|78BPWR|9RCR
53	53331 24518	4	   	268.25	DCR|4VULN|3DMG|3LIT	178aVULN|2MBVNT|3LEGI|478DMG|578LIT|6BBNT|78BPWR|9RCR
54	55234 32322	4	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	179VULN|2LHND|367DMG|4AART|57DUR|7BPWR|8ZMB|aRCR
55	56234 32322	4	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	179VULN|2LWND|367DMG|4AART|57DUR|7BPWR|8ZMB|aRCR
56	56612 32322	4	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	179VULN|2LWND|37DUR|4AART|567DMG|7BPWR|8ZMB|aRCR
57	53331 28271	10	   	267.89	DCR|2VULN|3DMG|2DUR|1TLV	19VULN|2MBVNT|3LEGI|469DMG|5LIT|7TLV|89DUR|9BPWR|aRCR
58	33256 32622	3	   	267.74	DCR|3VULN|3DMG|2DUR|1AART	17DUR|2MBVNT|367DMG|478VULN|5AART|7BPWR|9RCR|aDUST
59	33256 32623	3	   	267.74	DCR|3VULN|3DMG|2DUR|1AART	17DUR|2MBVNT|367DMG|478VULN|5AART|7BPWR|9RCR|aERES
60	53714 32622	5	   	267.74	DCR|3VULN|3DMG|2DUR|1AART	178VULN|2MBVNT|37DUR|4AART|567DMG|7BPWR|9RCR|aDUST
61	53714 32623	5	   	267.74	DCR|3VULN|3DMG|2DUR|1AART	178VULN|2MBVNT|37DUR|4AART|567DMG|7BPWR|9RCR|aERES
62	56211 11623	4	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	189VULN|2LWND|36DMG|4CDMG|5TLV|7RCR|aDUR
63	56221 11623	3	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	189VULN|2LWND|36DMG|4CDMG|5TLV|7RCR|aDUR
64	53211 16723	4	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	189VULN|2MBVNT|36DMG|4CDMG|5TLV|7RCR|aDUR
65	43316 42321	8	   	266.82	DCR|4VULN|2DMG|2TLV	12TLV|3ERES|489aVULN|57DMG|6RCR
66	43431 21151	10	   	265.93	DCR|3VULN|2DMG|3TLV|3LIT	124TLV|347VULN|47BPWR|57aLIT|67DMG|8RCR|9RMIN
67	43431 21151	8	   	265.93	DCR|3VULN|2DMG|3TLV|3LIT	124TLV|347VULN|47BPWR|579LIT|67DMG|8RCR|aCGEN
68	43431 21153	8	   	265.83	DCR|3VULN|2DMG|3TLV|3LIT	124TLV|347VULN|47BPWR|579LIT|67DMG|8RCR|aDLOT
69	33252 38427	9	 * 	265.24	DCR|2VULN|3DUR|2DMG|2TLV	169DUR|2MBVNT|39DMG|4DUST|5aVULN|79TLV|8RCR|9BPWR
70	33252 38428	10	   	265.24	DCR|2VULN|3DUR|2DMG|2TLV	169DUR|2MBVNT|39DMG|4DUST|5aVULN|79TLV|8RCR|9BPWR
71	34331 13366	1	 * 	264.09	DCR|5VULN|1TLV|1DUR	1DUR|23489VULN|5TLV|6FEWX|7LIT|aRCR
