0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32215 38264	9	 * 	309.27	DCR|4VULN|3DUR|2DMG|3LIT|1SELL	167DUR|29DMG|379LIT|4679VULN|5MBVNT|679BPWR|8SELL|aRCR
2	32215 38184	8	 * 	304.51	DCR|4VULN|3DUR|2DMG|2LIT	167DUR|29DMG|37LIT|4679VULN|5MBVNT|679BPWR|89FEWX|aRCR
3	32215 38484	7	   	304.51	DCR|4VULN|3DUR|2DMG|2LIT	167DUR|29DMG|37LIT|4679VULN|5MBVNT|679BPWR|89BEXP|aRCR
4	32215 38184	7	   	304.31	DCR|4VULN|3DUR|2DMG|2LIT	167DUR|29DMG|37LIT|4679VULN|5MBVNT|679BPWR|89DUST|aRCR
5	32215 48373	7	   	303.02	DCR|3VULN|3DUR|2DMG|3LIT|1TLV	178DUR|26DMG|378LIT|478VULN|5MBVNT|78BPWR|9TLV|aRCR
6	22451 51123	10	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1DMSP|29DMG|379aVULN|4ERES|5CDMG|69DUR|8RCR|9BPWR
7	32141 52122	10	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	169DUR|29DMG|34CDMG|5CGEN|79aVULN|8RCR|9BPWR
8	32146 52122	10	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	169DUR|29DMG|34CDMG|5MLV|79aVULN|8RCR|9BPWR
9	32215 38812	9	   	286.72	DCR|4VULN|3DUR|1DMG|2LIT	167DUR|2DMG|37LIT|4678VULN|5MBVNT|67BPWR|9BEXP|aRCR
10	32215 38812	8	   	286.72	DCR|4VULN|3DUR|1DMG|2LIT	167DUR|2DMG|37LIT|4678VULN|5MBVNT|67BPWR|9BEXP|aRCR
11	32215 38842	9	   	286.72	DCR|4VULN|3DUR|1DMG|2LIT	167DUR|2DMG|37LIT|4678VULN|5MBVNT|67BPWR|9FEWX|aRCR
12	32215 38842	8	   	286.72	DCR|4VULN|3DUR|1DMG|2LIT	167DUR|2DMG|37LIT|4678VULN|5MBVNT|67BPWR|9LWND|aRCR
13	32144 52122	10	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	169DUR|29DMG|34CDMG|5ERES|79aVULN|8RCR|9BPWR
14	32215 34373	6	   	285.34	DCR|3VULN|3DUR|3LIT|1DMG|1TLV	168DUR|2DMG|378LIT|468VULN|5MBVNT|68BPWR|9TLV|aRCR
15	32215 36373	7	   	285.34	DCR|3VULN|3DUR|3LIT|1DMG|1TLV	168DUR|2DMG|378LIT|468VULN|5MBVNT|68BPWR|9TLV|aRCR
16	22322 42111	8	   	284.53	DCR|4VULN|2DMG|2DUR	1DMSP|27DMG|3LIT|4BELT|578aVULN|67DUR|7BPWR|9RCR
17	32215 68241	10	   	283.05	DCR|4VULN|2DUR|1DMG|2LIT	19DUR|2DMG|39LIT|4789VULN|5MBVNT|6AART|9BPWR|aRCR
18	32215 38162	9	   	281.67	DCR|3VULN|3DUR|2DMG|2LIT	167DUR|29DMG|37LIT|467VULN|5MBVNT|67BPWR|8FEWX|aRCR
19	32215 38353	7	   	281.67	DCR|3VULN|3DUR|2DMG|2LIT	167DUR|2aDMG|37LIT|467VULN|5MBVNT|67BPWR|8LHND|9RCR
