0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52211 32662	5	 * 	287.77	DCR|4VULN|3DUR|1DMG|1TLV|1SELL	189DUR|2589VULN|3SELL|4DMG|6TLV|789ERES|89BPWR|aRCR
2	52231 33612	7	 * 	283.14	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	18DUR|258VULN|3SELL|4TLV|6ERES|78DMG|8BPWR|9CDMG|aRCR
3	53362 31123	1	 * 	283.06	DCR|3VULN|3DUR|2DMG|1TLV	16aDUR|2aFEWX|3TLV|467VULN|5TBNT|6aBPWR|8RCR|9aDMG
4	54362 31123	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	16aDUR|2aFEWX|3TLV|467VULN|5TBNT|6aBPWR|8RCR|9aDMG
5	52311 22123	3	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1aDUR|25aVULN|3ASPD|4TLV|6RMIN|7RCR|8BBNT|9aDMG|aBPWR
6	52311 22533	3	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1aDUR|25aVULN|3ASPD|4TLV|6RMIN|7RCR|8aDMG|9TBNT|aBPWR
7	52361 22123	4	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1aDUR|25aVULN|3ASPD|4TLV|6RMIN|7RCR|8BBNT|9aDMG|aBPWR
8	52361 22533	4	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1aDUR|25aVULN|3ASPD|4TLV|6RMIN|7RCR|8aDMG|9TBNT|aBPWR
9	52362 22123	5	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1aDUR|25aVULN|3ASPD|4TLV|6RMIN|7RCR|8BBNT|9aDMG|aBPWR
10	52362 22533	5	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1aDUR|25aVULN|3ASPD|4TLV|6RMIN|7RCR|8aDMG|9TBNT|aBPWR
11	11163 13115	1	 * 	278.85	DCR|3VULN|3DUR|1DMG|2CDMG|1AART	1RMIN|237VULN|47CDMG|5AART|678DUR|7BPWR|9DMG|aRCR
12	52231 52125	2	 * 	277.98	DCR|5VULN|2DUR|1DMG	16DUR|23578VULN|4BEXP|9DMG|aRCR
13	52211 52125	2	   	277.88	DCR|5VULN|2DUR|1DMG	16DUR|23578VULN|4DUST|9DMG|aRCR
14	52214 21261	5	 * 	275.27	DCR|2VULN|3DMG|3DUR|3LIT|1SELL	179DUR|28VULN|3SELL|479DMG|579LIT|6TBNT|79BPWR|aRCR
15	14121 23435	10	 * 	274.95	DCR|3VULN|3DUR|3ASPD|2LIT	1RMIN|278DUR|3aLIT|4RCVC|58aVULN|68aASPD|8aBPWR|9RCR
16	53362 31124	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	16DUR|2FEWX|3TLV|467aVULN|5TBNT|6BPWR|8RCR|9DMG
17	52623 11113	2	 * 	273.45	DCR|3VULN|2DMG|2DUR|2TLV	1aDUR|27aVULN|3FEWX|4BBNT|56DMG|8RCR|9aTLV|aBPWR
18	33112 66134	8	 * 	272.51	DCR|3VULN|2DMG|3LIT|1TLV|1CDMG	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9TLV|aCDMG
19	52333 53215	10	 * 	272.42	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	1DUR|258VULN|35ASPD|4RPLT|5BPWR|6TLV|7DMG|9CDMG|aRCR
20	52211 12662	5	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	189DUR|2589VULN|3SELL|4DMG|6MLV|789ERES|89BPWR|aRCR
21	52231 21331	4	 * 	271.52	DCR|4VULN|3DUR|2TLV|1SELL	168DUR|278aVULN|3SELL|48TLV|5RPLT|8BPWR|9RCR
22	32643 11521	9	   	270.35	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG|1AART	17LIT|27DUR|3CDMG|4TLV|5AART|678VULN|7BPWR|9RMIN|aRCR
23	33112 66132	8	   	269.87	DCR|3VULN|2DMG|3LIT|1TLV|1ASPD	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9TLV|aASPD
24	61362 31123	1	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	16aFEWX|2aDUR|3TLV|467VULN|5TBNT|6aBPWR|8RCR|9aDMG
25	52344 13333	10	 * 	269.79	DCR|3VULN|3DUR|2TLV|1ASPD|1AART	189DUR|268VULN|3ASPD|4LHND|5AART|78TLV|8BPWR|aRCR
26	52131 31123	4	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|27aVULN|35BEXP|4TLV|6TBNT|8RCR|9aDMG|aBPWR
27	52131 31123	5	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|27aVULN|35BEXP|4TLV|6TBNT|8RCR|9aDMG|aBPWR
28	53362 31122	1	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	16DUR|2FEWX|3TLV|467VULN|5TBNT|6BPWR|8RCR|9aDMG
29	54362 31122	2	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	16DUR|2FEWX|3TLV|467VULN|5TBNT|6BPWR|8RCR|9aDMG
30	21362 31123	1	   	269.53	DCR|3VULN|2DMG|2DUR|1TLV	16aDUST|2aDUR|3TLV|467VULN|5TBNT|6aBPWR|8RCR|9aDMG
31	52211 23234	10	 * 	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1DUR|2568VULN|3SELL|47DMG|9LIT|aRCR
32	52211 13612	5	   	269.36	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG|1SELL	18DUR|258VULN|3SELL|4DMG|6MLV|78TLV|8BPWR|9CDMG|aRCR
33	52231 21332	4	 * 	268.94	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	168DUR|278VULN|3SELL|48TLV|5RPLT|8BPWR|9RCR|aDMG
34	35333 23435	10	 * 	268.94	DCR|3VULN|3DUR|3LIT|2CDMG|1SELL	18aLIT|2aCDMG|3RMIN|48aVULN|5SELL|678DUR|8aBPWR|9RCR
35	52211 33115	6	   	268.84	DCR|3VULN|3DUR|2CDMG|1DMG|1SELL	189DUR|258VULN|3SELL|4DMG|6ERES|78CDMG|8BPWR|aRCR
36	52215 13115	4	   	268.84	DCR|3VULN|3DUR|2CDMG|1DMG|1SELL	189DUR|268VULN|3SELL|4DMG|5ERES|78CDMG|8BPWR|aRCR
37	11163 13636	1	 * 	268.20	DCR|4VULN|2DUR|2CDMG|1AART	1RMIN|237aVULN|47CDMG|5AART|67DUR|7BPWR|8FEWX|9RCR
38	52612 16213	8	 * 	268.09	DCR|4VULN|2DUR|2ASPD	19DUR|259aVULN|3LIT|4RCVC|6ZMB|79ASPD|8RCR|9BPWR
39	52221 32662	5	 * 	267.71	DCR|4VULN|3DUR|1TLV|1SELL	189DUR|2589VULN|3SELL|4ZMB|6TLV|789ERES|89BPWR|aRCR
40	65111 21136	7	   	267.16	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1FEWX|2CDMG|356aVULN|4DMG|7AART|8DUR|9RCR
41	65111 21336	8	   	267.16	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1FEWX|2CDMG|356aVULN|4DMG|7AART|8DUR|9RCR
42	52351 22123	5	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	14aDUR|2aVULN|3ASPD|5TLV|6RMIN|7RCR|8BBNT|9aDMG|aBPWR
43	52351 22533	5	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	14aDUR|2aVULN|3ASPD|5TLV|6RMIN|7RCR|8aDMG|9TBNT|aBPWR
44	52365 22123	5	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	15aDUR|2aVULN|3ASPD|4TLV|6RMIN|7RCR|8BBNT|9aDMG|aBPWR
45	52351 21343	10	   	266.07	DCR|3VULN|3DUR|1TLV|1ASPD|1AART	148DUR|289VULN|3ASPD|5TLV|68LWND|7AART|8BPWR|aRCR
46	52362 21333	10	   	266.07	DCR|3VULN|3DUR|1TLV|1ASPD|1AART	189DUR|258VULN|3ASPD|4TLV|68LWND|7AART|8BPWR|aRCR
47	52211 32612	5	   	265.45	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1SELL	18DUR|258VULN|3SELL|4DMG|6TLV|78ERES|8BPWR|9CDMG|aRCR
48	33454 11121	5	 * 	265.42	DCR|3VULN|2DUR|3LIT|2CDMG|1AART	126LIT|3AART|4aDUR|59aVULN|7RCR|8aCDMG|aBPWR
49	33112 66113	10	 * 	265.25	DCR|4VULN|2DMG|3LIT	127LIT|3BEXP|457aVULN|67DMG|7BPWR|8RCR|9MLV
50	33112 66134	9	   	265.25	DCR|4VULN|2DMG|3LIT	127LIT|3BEXP|457aVULN|67DMG|7BPWR|8RCR|9LWND
51	52212 32662	4	   	265.13	DCR|3VULN|3DUR|1DMG|1TLV|1SELL	189DUR|289VULN|3SELL|4DMG|5RCVC|6TLV|789ERES|89BPWR|aRCR
52	52333 64211	8	 * 	264.64	DCR|5VULN|2ASPD|1DUR	1DUR|2578aVULN|35ASPD|4RPLT|5BPWR|6FEWX|9RCR
53	56112 21136	9	   	264.52	DCR|3VULN|3DUR|1TLV|1ASPD	126DUR|2BPWR|3LIT|45aVULN|7ASPD|8TLV|9RCR
54	52241 22533	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|23aVULN|4CGEN|5ASPD|6RMIN|7RCR|8aDMG|9TBNT|aBPWR
55	52311 22533	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|25aVULN|3ASPD|4CGEN|6RMIN|7RCR|8aDMG|9TBNT|aBPWR
56	51231 12258	1	   	264.36	DCR|2VULN|3DUR|2DMG|1TLV	12aDUR|3MBVNT|4BEXP|5aVULN|6TLV|7RCR|8LIT|9aDMG|aBPWR
57	52231 42125	2	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|23578VULN|4BEXP|6RCVC|9DMG|aRCR
58	65131 21136	7	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1FEWX|2CDMG|356aVULN|4TLV|7AART|8DUR|9RCR
59	65131 21336	8	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1FEWX|2CDMG|356aVULN|4TLV|7AART|8DUR|9RCR
60	22615 14211	8	   	263.29	DCR|5VULN|1DMG|1DUR	1DUST|2368aVULN|4RPLT|5DUR|7DMG|9RCR
61	52211 42125	2	   	263.29	DCR|5VULN|1DMG|1DUR	1DUR|23578VULN|4DUST|6RCVC|9DMG|aRCR
62	25431 21136	7	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1DUST|2TLV|3CDMG|456aVULN|7AART|8DUR|9RCR
63	25431 21143	7	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1DUST|2TLV|3CDMG|4569VULN|7AART|8DUR|aRCR
64	25431 21336	8	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1DUST|2TLV|3CDMG|456aVULN|7AART|8DUR|9RCR
65	25431 21343	8	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1DUST|2TLV|3CDMG|4569VULN|7AART|8DUR|aRCR
66	22663 32125	4	   	263.19	DCR|5VULN|1DMG|1DUR	15DUST|23478VULN|6DUR|9DMG|aRCR
67	52211 21535	6	   	263.15	DCR|5VULN|1DMG|1DUR|1SELL	1DUR|25689VULN|3SELL|4DMG|7BEXP|aRCR
68	62211 26235	6	   	263.15	DCR|5VULN|1DMG|1DUR|1SELL	1FEWX|25679VULN|3SELL|4DMG|8DUR|aRCR
69	22211 24535	6	   	263.05	DCR|5VULN|1DMG|1DUR|1SELL	1DUST|25689VULN|3SELL|4DMG|7DUR|aRCR
70	22211 26235	6	   	263.05	DCR|5VULN|1DMG|1DUR|1SELL	1DUST|25679VULN|3SELL|4DMG|8DUR|aRCR
71	11163 13316	1	 * 	262.60	DCR|3VULN|2DUR|3CDMG|1ASPD|1AART	1RMIN|237VULN|478CDMG|5AART|67DUR|7BPWR|9ASPD|aRCR
72	32416 23236	4	 * 	262.57	DCR|3VULN|3DUR|3LIT|1CDMG	136LIT|259DUR|458VULN|5BPWR|7CDMG|aRCR
73	33616 23236	4	   	262.57	DCR|3VULN|3DUR|3LIT|1CDMG	126LIT|359DUR|458VULN|5BPWR|7CDMG|aRCR
74	52231 21336	4	   	262.53	DCR|3VULN|3DUR|2TLV|1CDMG|1SELL	168DUR|278VULN|3SELL|48TLV|5RPLT|8BPWR|9RCR|aCDMG
75	52113 53211	8	   	262.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1DUR|28aVULN|3BEXP|4CDMG|5ASPD|6TLV|7DMG|9RCR
76	52113 53611	7	   	262.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1DUR|28aVULN|3BEXP|4CDMG|5ASPD|6TLV|7DMG|9RCR
77	62513 53211	8	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1FEWX|28aVULN|3DUR|4CDMG|5ASPD|6TLV|7DMG|9RCR
78	22513 53211	8	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|28aVULN|3DUR|4CDMG|5ASPD|6TLV|7DMG|9RCR
79	22513 53611	7	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|29aVULN|3DUR|4CDMG|5ASPD|6TLV|7DMG|8RCR
80	52333 15411	6	   	261.35	DCR|4VULN|2ASPD|1TLV|1DUR	1DUR|257aVULN|35ASPD|4RPLT|5BPWR|6MLV|8TLV|9RCR
81	52333 15411	7	   	261.35	DCR|4VULN|2ASPD|1TLV|1DUR	1DUR|257aVULN|35ASPD|4RPLT|5BPWR|6MLV|8TLV|9RCR
82	52211 23225	10	   	261.10	DCR|4VULN|2DMG|1DUR|1SELL	1DUR|2568VULN|3SELL|47DMG|9DUST|aRCR
