0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11133 42534	6	 * 	291.98	DCR|3VULN|3DMG|3DUR|1AART|1SELL	1SELL|2AART|3BELT|49aVULN|59aDUR|6RCR|789DMG|9aBPWR
2	13252 31141	5	 * 	283.21	DCR|5VULN|2TLV|1DMG|1DUR|1SELL	1SELL|2347aVULN|57TLV|6RCR|7BPWR|8DUR|9DMG
3	13252 31231	5	 * 	283.21	DCR|5VULN|2TLV|1DMG|1DUR|1SELL	1SELL|2347aVULN|57TLV|6RCR|7BPWR|8DMG|9DUR
4	13254 31141	4	 * 	283.21	DCR|5VULN|2TLV|1DMG|1DUR|1SELL	1SELL|2347aVULN|57TLV|6RCR|7BPWR|8DUR|9DMG
5	13254 31231	4	 * 	283.21	DCR|5VULN|2TLV|1DMG|1DUR|1SELL	1SELL|2347aVULN|57TLV|6RCR|7BPWR|8DMG|9DUR
6	62363 21116	2	 * 	281.50	DCR|4VULN|2DMG|2TLV|1DUR	1RPLT|24TLV|34DMG|4BPWR|5DUR|6789VULN|aRCR
7	13251 14221	6	 * 	280.74	DCR|5VULN|2DMG|1TLV|1SELL	1SELL|23459VULN|68DMG|7RCR|aTLV
8	13251 16221	7	 * 	280.74	DCR|5VULN|2DMG|1TLV|1SELL	1SELL|23459VULN|68DMG|7RCR|aTLV
9	13251 44221	5	 * 	280.74	DCR|5VULN|2DMG|1TLV|1SELL	1SELL|23459VULN|68DMG|7RCR|aTLV
10	13251 14131	6	 * 	279.40	DCR|5VULN|1DMG|1TLV|1DUR|1SELL	1SELL|2345aVULN|6DMG|7RCR|8DUR|9TLV
11	13251 16131	7	 * 	279.40	DCR|5VULN|1DMG|1TLV|1DUR|1SELL	1SELL|2345aVULN|6DMG|7RCR|8DUR|9TLV
12	13251 16331	8	 * 	279.40	DCR|5VULN|1DMG|1TLV|1DUR|1SELL	1SELL|2345aVULN|6DMG|7RCR|8DUR|9TLV
13	13251 44131	5	 * 	279.40	DCR|5VULN|1DMG|1TLV|1DUR|1SELL	1SELL|2345aVULN|6DMG|7RCR|8DUR|9TLV
14	13252 31156	5	 * 	278.26	DCR|4VULN|2DUR|2TLV|1DMG|1SELL	1SELL|2347VULN|57TLV|6RCR|7BPWR|89DUR|aDMG
15	62163 13622	7	 * 	277.68	DCR|3VULN|3DMG|2TLV|1ASPD	1RPLT|28TLV|389VULN|4LIT|5ASPD|678DMG|8BPWR|aRCR
16	13252 31263	5	   	277.32	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2347VULN|57TLV|6RCR|7BPWR|8DMG|9CDMG|aDUR
17	13254 31263	4	   	277.32	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2347VULN|57TLV|6RCR|7BPWR|8DMG|9CDMG|aDUR
18	62116 22113	5	 * 	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1RPLT|2TLV|34689VULN|5DMG|7RCR|aCDMG
19	13252 31314	5	 * 	276.62	DCR|5VULN|2TLV|1DMG|1AART|1SELL	1SELL|23479VULN|57TLV|6RCR|7BPWR|8AART|aDMG
20	13254 31314	4	 * 	276.62	DCR|5VULN|2TLV|1DMG|1AART|1SELL	1SELL|23479VULN|57TLV|6RCR|7BPWR|8AART|aDMG
21	13251 16316	9	 * 	275.78	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2345VULN|6aDMG|7RCR|89DUR
22	13251 14223	6	 * 	275.49	DCR|5VULN|2DMG|1ASPD|1SELL	1SELL|23459VULN|68DMG|7RCR|aASPD
23	13251 16223	7	 * 	275.49	DCR|5VULN|2DMG|1ASPD|1SELL	1SELL|23459VULN|68DMG|7RCR|aASPD
24	13251 44223	5	 * 	275.49	DCR|5VULN|2DMG|1ASPD|1SELL	1SELL|23459VULN|68DMG|7RCR|aASPD
25	62112 26116	7	 * 	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1RPLT|2TLV|3489VULN|57DUR|6DMG|aRCR
26	62116 22116	5	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	1RPLT|2TLV|34689VULN|5DMG|7RCR|aASPD
27	13251 14125	6	   	273.51	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2345VULN|6DMG|7RCR|8DUR|9CDMG|aTLV
28	13251 16125	7	   	273.51	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2345VULN|6DMG|7RCR|8DUR|9CDMG|aTLV
29	13251 16325	8	   	273.51	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2345VULN|6DMG|7RCR|8DUR|9CDMG|aTLV
30	13252 31316	5	 * 	272.81	DCR|5VULN|2TLV|1DUR|1AART|1SELL	1SELL|23479VULN|57TLV|6RCR|7BPWR|8AART|aDUR
31	13254 31316	4	 * 	272.81	DCR|5VULN|2TLV|1DUR|1AART|1SELL	1SELL|23479VULN|57TLV|6RCR|7BPWR|8AART|aDUR
32	13251 16123	8	 * 	272.79	DCR|5VULN|2DMG|1SELL	1SELL|23459VULN|6aDMG|7RCR|8LIT
33	13264 12312	9	 * 	271.96	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1SELL	1SELL|237VULN|4LHND|57CDMG|67DUR|7BPWR|8DMG|9TLV|aRCR
34	13251 14121	6	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|2345VULN|6DMG|7RCR|8aDUR|9CDMG
35	13251 16121	7	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|2345VULN|6DMG|7RCR|8aDUR|9CDMG
36	13251 16321	8	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|2345VULN|6DMG|7RCR|8aDUR|9CDMG
37	13251 44121	5	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|2345VULN|6DMG|7RCR|8aDUR|9CDMG
38	13252 31121	5	 * 	271.84	DCR|4VULN|2DUR|2TLV|1CDMG|1SELL	1SELL|2347VULN|57TLV|6RCR|7BPWR|8aDUR|9CDMG
