0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54131 11115	2	 * 	290.26	DCR|3VULN|3DUR|2DMG|1TLV	128DUR|3LIT|4TBNT|568VULN|78DMG|8BPWR|9RCR|aTLV
2	51431 22325	9	 * 	282.57	DCR|2VULN|3DMG|3DUR|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58aDMG|7RCR|8BPWR|9TLV
3	51431 22326	10	   	280.57	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aCDMG
4	31431 22313	9	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18CGEN|26DUR|3AART|489VULN|58DMG|7RCR|8BPWR|aTLV
5	51431 22323	9	 * 	275.00	DCR|2VULN|3DUR|2DMG|2TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9aTLV
6	51431 22342	10	   	273.71	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|48aVULN|58DMG|7RCR|8BPWR|9LIT
7	54122 11335	5	 * 	272.44	DCR|3VULN|3DUR|3TLV|2CDMG	129DUR|39aTLV|4DUST|5aCDMG|69aVULN|7RCVC|8RCR|9aBPWR
8	54122 12335	5	   	272.34	DCR|3VULN|3DUR|3TLV|2CDMG	129DUR|39aTLV|47DUST|5aCDMG|69aVULN|8RCR|9aBPWR
9	54131 12115	2	   	268.76	DCR|3VULN|3DUR|1TLV|2ASPD	128DUR|3LIT|4TBNT|568VULN|78ASPD|8BPWR|9RCR|aTLV
10	51142 13323	2	 * 	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	157DUR|2ERES|378aVULN|47LIT|6RCR|7BPWR|9CDMG
11	64162 13323	1	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	17LIT|2ERES|357DUR|478aVULN|6RCR|7BPWR|9CDMG
12	63161 11115	2	   	267.46	DCR|3VULN|3DUR|1TLV|2LIT	18LIT|2ASPD|378DUR|468VULN|5BBNT|8BPWR|9RCR|aTLV
13	51431 22313	9	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9ZMB|aTLV
14	51431 22321	9	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aLWND
15	51431 22321	10	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aBEXP
16	51431 22322	9	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aDMSP
17	51431 22324	10	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aLWND
18	51431 22324	9	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aRCVC
