0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42214 33241	10	 * 	284.01	DCR|4VULN|2DMG|2CDMG|1DUR|2LIT	137aVULN|23CDMG|3aBPWR|4aLIT|5DUR|6CGEN|8RCR|9aDMG
2	12571 14347	8	 * 	283.59	DCR|5VULN|3DUR|3CDMG	1MBVNT|247DUR|34789VULN|478BPWR|5LEGI|678CDMG|aRCR
3	12571 14373	10	   	283.59	DCR|5VULN|3DUR|3CDMG	1MBVNT|247DUR|34789VULN|478BPWR|5LEGI|678CDMG|aRCR
4	12373 26843	8	 * 	282.99	DCR|4VULN|3DUR|3ASPD|1DMG	1MBVNT|28aDUR|38aASPD|4FEWX|5DMG|6RCR|789aVULN|8aBPWR
5	12373 26821	8	 * 	279.53	DCR|3VULN|3DUR|2DMG|3ASPD	1MBVNT|289DUR|38aASPD|4FEWX|5aDMG|6RCR|78aVULN|8aBPWR
6	42243 61322	9	 * 	279.00	DCR|4VULN|2DMG|1TLV|2CDMG	1369VULN|23CDMG|36BPWR|4BEXP|56DMG|7RCR|8CGEN|aTLV
7	42243 61323	10	   	279.00	DCR|4VULN|2DMG|1TLV|2CDMG	1369VULN|23CDMG|36BPWR|4BEXP|56DMG|7RCR|8CGEN|aTLV
8	42243 61122	9	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1369VULN|23CDMG|36BPWR|4BEXP|56DMG|7RCR|8ERES|aTLV
9	42243 61123	10	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1369VULN|23CDMG|36BPWR|4BEXP|56DMG|7RCR|8ERES|aTLV
10	42134 12124	4	 * 	278.24	DCR|3VULN|3DMG|2DUR|2CDMG	18aVULN|2aCDMG|3RPLT|457DMG|6RCR|9aDUR|aBPWR
11	12334 23536	6	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28DUR|3ASPD|48DMG|589VULN|6RCR|7RMIN|8BPWR|aTLV
12	12334 27536	7	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28DUR|3ASPD|48DMG|589VULN|6RCR|7RMIN|8BPWR|aTLV
13	12334 24536	6	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV|1NUKE	1MBVNT|28DUR|3ASPD|48DMG|589VULN|6RCR|7NUKE|8BPWR|aTLV
14	12573 33347	4	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1MBVNT|24DUR|347VULN|4BPWR|5CDMG|6DMG|8LIT|9TLV|aRCR
15	12543 24415	9	 * 	272.81	DCR|2VULN|3DMG|3DUR|1TLV	1MBVNT|267DUR|38VULN|458DMG|8BPWR|9RCR|aTLV
16	12543 24465	8	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	1MBVNT|267DUR|38VULN|458DMG|8BPWR|9RCR|aTLV
17	12548 84424	9	   	272.54	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	1MBVNT|2aDUR|35VULN|4aDMG|6CDMG|7RCR|8TLV|9aLIT|aBPWR
18	42243 61111	7	   	271.96	DCR|3VULN|3DMG|2CDMG|1DUR	136VULN|23CDMG|36BPWR|4BEXP|569DMG|7RCR|8ASPD|aDUR
19	12334 26443	7	 * 	271.78	DCR|4VULN|2DMG|2DUR	1MBVNT|2aDUR|3ASPD|4aDMG|579aVULN|6RCR|8LEGI|aBPWR
20	62536 23223	6	 * 	271.50	DCR|3VULN|3DMG|3DUR	135DMG|2RMIN|45aVULN|5aBPWR|6RCVC|7RCR|89aDUR
21	62364 13841	10	   	271.43	DCR|2VULN|3DMG|3DUR|2LIT|1AART	17aDMG|2RMIN|37LIT|4MBVNT|5AART|67aDUR|7aBPWR|8RCR|9aVULN
22	12514 16181	8	 * 	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1MBVNT|27DUR|378VULN|4CGEN|5DMG|67CDMG|7BPWR|9TLV|aRCR
