0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54233 12131	3	 * 	296.38	DCR|4VULN|3DUR|3ASPD|1CDMG	157aVULN|2CDMG|367ASPD|47aDUR|7aBPWR|8aLHND|9RCR
2	13432 32216	4	   	291.04	DCR|4VULN|3DUR|3ASPD	159ASPD|249aVULN|3LIT|6aLWND|79aDUR|8RCR|9aBPWR
3	13432 42216	4	   	291.04	DCR|4VULN|3DUR|3ASPD	159ASPD|249aVULN|3LIT|6aLHND|79aDUR|8RCR|9aBPWR
4	13433 42216	4	   	291.04	DCR|4VULN|3DUR|3ASPD	169ASPD|249aVULN|3LIT|5aLHND|79aDUR|8RCR|9aBPWR
5	13433 42216	5	   	291.04	DCR|4VULN|3DUR|3ASPD	169ASPD|249aVULN|3LIT|5aLWND|79aDUR|8RCR|9aBPWR
6	13433 62216	4	   	291.04	DCR|4VULN|3DUR|3ASPD	179ASPD|249aVULN|3LIT|5aLHND|69aDUR|8RCR|9aBPWR
7	13463 22216	6	 * 	290.66	DCR|4VULN|3DMG|2ASPD	19ASPD|269aVULN|3LIT|4FEWX|569DMG|69BPWR|7RMIN|8RCR
8	51312 31614	5	 * 	284.53	DCR|4VULN|2DMG|2DUR	149aVULN|29LWND|35DMG|6RCR|7LIT|89DUR|9BPWR
9	13463 21136	6	   	284.27	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7BELT|8RCR|aDUR
10	13463 22212	6	   	284.27	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7RMIN|8RCR|aDUR
11	11533 55213	9	   	283.37	DCR|4VULN|2ASPD|1TLV|2LIT|1CDMG	19ASPD|29LIT|3CDMG|4TLV|589aVULN|6AART|7RCR|9BPWR
12	15126 36113	10	   	282.63	DCR|4VULN|3DUR|3ASPD	147ASPD|2BELT|3789VULN|5RPLT|679DUR|79BPWR|aRCR
