0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63433 21413	2	 * 	301.44	DCR|4VULN|3DMG|2DUR	19DUR|2AART|349aVULN|567DMG|8RCR|9BPWR
2	61211 13415	7	 * 	282.56	DCR|3VULN|3DMG|3DUR	138DUR|2aLWND|48aDMG|5BEXP|6DUST|78aVULN|8aBPWR|9RCR
3	61213 13415	7	   	282.56	DCR|3VULN|3DMG|3DUR	138DUR|2aLWND|48aDMG|5LHND|6DUST|78aVULN|8aBPWR|9RCR
4	61331 13415	7	   	282.56	DCR|3VULN|3DMG|3DUR	148DUR|2aLWND|38aDMG|5BEXP|6DUST|78aVULN|8aBPWR|9RCR
5	61333 13415	7	   	282.56	DCR|3VULN|3DMG|3DUR	148DUR|2aLWND|38aDMG|5LHND|6DUST|78aVULN|8aBPWR|9RCR
6	62211 13415	7	   	282.56	DCR|3VULN|3DMG|3DUR	138DUR|2aLHND|48aDMG|5BEXP|6DUST|78aVULN|8aBPWR|9RCR
7	62331 13415	7	   	282.56	DCR|3VULN|3DMG|3DUR	148DUR|2aLHND|38aDMG|5BEXP|6DUST|78aVULN|8aBPWR|9RCR
8	63432 21531	2	 * 	281.36	DCR|5VULN|1DMG|1DUR	1DUR|2AART|3479aVULN|5LIT|6DMG|8RCR
9	63432 23431	2	   	281.36	DCR|5VULN|1DMG|1DUR	1DUR|2AART|3489aVULN|5LIT|6DMG|7RCR
10	63433 21411	2	   	278.80	DCR|3VULN|3DMG|2DUR	19DUR|2AART|349VULN|567DMG|8RCR|9BPWR|aMLV
11	63433 21412	2	   	278.80	DCR|3VULN|3DMG|2DUR	19DUR|2AART|349VULN|567DMG|8RCR|9BPWR|aRMIN
12	63432 21533	2	   	276.40	DCR|4VULN|2DUR|1DMG	1aDUR|2AART|3479VULN|5LIT|6DMG|8RCR
13	63432 23433	2	   	276.40	DCR|4VULN|2DUR|1DMG	1aDUR|2AART|3489VULN|5LIT|6DMG|7RCR
14	43136 21531	2	   	271.76	DCR|5VULN|1DMG|2LIT	1FEWX|2AART|35LIT|4579aVULN|5BPWR|6DMG|8RCR
15	43136 23431	2	   	271.76	DCR|5VULN|1DMG|2LIT	1FEWX|2AART|35LIT|4589aVULN|5BPWR|6DMG|7RCR
