0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25314 53311	10	 * 	291.89	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART|1SELL	19DMG|2AART|39DUR|4TLV|5CDMG|6RCR|79aVULN|8SELL|9BPWR
2	23413 12343	2	 * 	290.84	DCR|4VULN|3DMG|1TLV|1DUR	149DMG|2RPLT|3456VULN|4BPWR|7DUR|8RCR|aTLV
3	63513 12343	2	   	290.84	DCR|4VULN|3DMG|1TLV|1DUR	1456VULN|249DMG|3RPLT|4BPWR|7DUR|8RCR|aTLV
4	63126 26132	10	   	287.40	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aCDMG
5	23413 53316	2	   	284.85	DCR|4VULN|2DMG|1TLV|1DUR|1AART	14DMG|2RPLT|345aVULN|4BPWR|6RCR|7DUR|8AART|9TLV
6	63513 52223	2	 * 	282.11	DCR|5VULN|2DMG|2DUR	1458aVULN|24DMG|3RPLT|4aBPWR|6RCR|7aCGEN|9aDUR
7	63513 12353	2	   	282.11	DCR|5VULN|2DMG|2DUR	1456aVULN|24DMG|3RPLT|4aBPWR|7aDUR|8RCR|9aCGEN
8	62122 53513	5	 * 	281.03	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG|1SELL	18aVULN|2SELL|38TLV|4ASPD|5DMG|6RCR|78DUR|8BPWR|9CDMG
9	63122 12635	4	 * 	280.19	DCR|3VULN|2DMG|2TLV|1DUR|1AART	178VULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|9AART|aRCR
10	63123 12635	5	   	280.19	DCR|3VULN|2DMG|2TLV|1DUR|1AART	178VULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|9AART|aRCR
11	23413 12353	2	 * 	279.43	DCR|4VULN|3DMG|2DUR	14aDMG|2RPLT|3456VULN|4aBPWR|7aDUR|8RCR|9aCGEN
12	23413 52223	2	   	279.43	DCR|4VULN|3DMG|2DUR	14aDMG|2RPLT|3458VULN|4aBPWR|6RCR|7aCGEN|9aDUR
13	23413 12341	2	   	279.23	DCR|4VULN|3DMG|2DUR	149DMG|2RPLT|3456VULN|4BPWR|7aDUR|8RCR
14	63513 12341	2	   	279.23	DCR|4VULN|3DMG|2DUR	1456VULN|249DMG|3RPLT|4BPWR|7aDUR|8RCR
15	63122 12516	4	   	278.83	DCR|3VULN|2DMG|2TLV|1DUR	17aVULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9LIT
