0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13311 35265	1	 * 	281.00	DCR|4VULN|2DMG|1TLV|1CDMG	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9CDMG|aTLV
2	11121 34431	1	 * 	274.79	DCR|4VULN|3DMG|1TLV	178MLV|2789VULN|3LWND|4TLV|5MBVNT|678DMG|78BPWR|aRCR
3	51335 11314	10	 * 	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458aVULN|5BPWR|6DMG|7TLV|9RCR
4	51335 11313	10	 * 	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2BEXP|3LWND|458VULN|5BPWR|6aDMG|7TLV|9RCR
5	51335 11314	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2BEXP|3LWND|458VULN|5BPWR|6aDMG|7TLV|9RCR
6	51435 11313	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2BEXP|3FEWX|458VULN|5BPWR|6aDMG|7TLV|9RCR
7	42132 45132	2	 * 	267.02	DCR|4VULN|2DMG|2TLV	13LWND|25TLV|45DMG|5BPWR|6RCR|789aVULN
8	21118 83241	3	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV|aCDMG
9	21188 83241	4	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV|aCDMG
10	21118 83242	3	 * 	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|28aDUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV
11	21188 83242	4	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|28aDUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV
12	51335 12133	10	 * 	264.25	DCR|3VULN|3DUR|2DMG	157DUR|28BEXP|3LWND|458VULN|58BPWR|68DMG|9ASPD|aRCR
13	51435 12133	10	   	264.25	DCR|3VULN|3DUR|2DMG	157DUR|28BEXP|3FEWX|458VULN|58BPWR|68DMG|9ASPD|aRCR
14	25613 36331	2	 * 	263.57	DCR|4VULN|2DMG|2DUR	1RCVC|2378VULN|37BPWR|4LWND|57DUR|67DMG|9BBNT|aRCR
15	22362 43332	3	   	262.22	DCR|3VULN|2DMG|2TLV|2ASPD	1RCVC|27DMG|3RMIN|47ASPD|57TLV|6RCR|7BPWR|89aVULN
16	13532 11332	2	   	262.12	DCR|3VULN|2DMG|2TLV|2ASPD	1MLV|24ASPD|34DMG|4BPWR|56TLV|7RCR|89aVULN
17	13532 45332	2	   	262.12	DCR|3VULN|2DMG|2TLV|2ASPD	1MLV|24ASPD|34DMG|4BPWR|57TLV|6RCR|89aVULN
