0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16311 33235	7	 * 	297.64	DCR|3VULN|3DUR|2DMG|3ASPD	148DUR|2BELT|349ASPD|49BPWR|59aVULN|69DMG|7RCR
2	43151 13116	3	 * 	291.83	DCR|4VULN|3DUR|3TLV|1DMG	1389VULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aDMG
3	42551 13111	1	 * 	291.30	DCR|5VULN|3DUR|3TLV	1389aVULN|2LHND|4TBNT|589TLV|6RCR|789DUR|89BPWR
4	43151 13111	3	   	291.30	DCR|5VULN|3DUR|3TLV	1389aVULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR
5	43551 13111	2	   	291.30	DCR|5VULN|3DUR|3TLV	1389aVULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR
6	13461 62231	5	   	290.12	DCR|3VULN|3DUR|2DMG|1CDMG	149DUR|29DMG|3FEWX|5CDMG|6AART|79aVULN|8RCR|9BPWR
7	21612 33115	4	 * 	288.40	DCR|4VULN|3DMG|1DUR|1ASPD	189CGEN|289aVULN|3ASPD|4DUR|5TBNT|6RCR|789DMG|89BPWR
8	42612 33115	4	   	288.40	DCR|4VULN|3DMG|1DUR|1ASPD	189aVULN|289CGEN|3ASPD|4DUR|5TBNT|6RCR|789DMG|89BPWR
9	16121 33236	7	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	138DUR|2BELT|49ASPD|59aVULN|69DMG|7RCR|9BPWR
10	12135 12525	5	   	284.78	DCR|3VULN|3DUR|2DMG	169DUR|2RPLT|3LIT|49DMG|569VULN|69BPWR|7BBNT|8AART|aRCR
11	13212 26346	10	   	284.77	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	1DUR|2aDMG|3LIT|4BEXP|57aVULN|6TLV|8aASPD|9RCR|aBPWR
12	13232 26346	10	   	284.77	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	1DUR|2aDMG|3LIT|4FEWX|57aVULN|6TLV|8aASPD|9RCR|aBPWR
13	11531 53111	1	 * 	283.91	ACR|4VULN|3DMG|3DUR|1ASPD	189DUR|2RCR|389aVULN|4CGEN|5TBNT|6ASPD|789DMG|89BPWR
14	11551 63111	1	   	283.91	ACR|4VULN|3DMG|3DUR|1ASPD	189DUR|2RCR|389aVULN|4ASPD|5TBNT|6CGEN|789DMG|89BPWR
15	13366 15233	7	 * 	283.21	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|29DMG|3aCDMG|4BEXP|569VULN|7AART|8RCR|9BPWR
16	11314 31361	1	 * 	280.80	ACR|4VULN|3DMG|2DUR|2ASPD	1aDUR|2RCR|349DMG|578aVULN|6aASPD|aBPWR
17	41312 21361	1	   	280.80	ACR|4VULN|3DMG|2DUR|2ASPD	178aVULN|2RCR|349DMG|5aASPD|6aDUR|aBPWR
