0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43153 72312	7	 * 	295.86	DCR|5VULN|3DUR|2LIT	1MBVNT|279DUR|3AART|4579aVULN|6RCR|79BPWR|89LIT
2	21323 62114	1	 * 	288.11	DCR|4VULN|3DUR|3LIT|1TLV	178DUR|278LIT|3TLV|4LHND|578aVULN|6RCR|78BPWR|9ZMB
3	21323 62126	1	   	288.11	DCR|4VULN|3DUR|3LIT|1TLV	178DUR|278LIT|3TLV|4LHND|578aVULN|6RCR|78BPWR|9BEXP
4	21323 62146	1	   	288.11	DCR|4VULN|3DUR|3LIT|1TLV	178DUR|278LIT|3TLV|4LHND|578aVULN|6RCR|78BPWR|9LWND
5	21333 62114	1	   	288.11	DCR|4VULN|3DUR|3LIT|1TLV	178DUR|278LIT|3TLV|4LWND|578aVULN|6RCR|78BPWR|9ZMB
6	21333 62146	1	   	288.11	DCR|4VULN|3DUR|3LIT|1TLV	178DUR|278LIT|3TLV|4LWND|578aVULN|6RCR|78BPWR|9LHND
7	21323 62164	1	   	288.01	DCR|4VULN|3DUR|3LIT|1TLV|1NUKE	178DUR|278LIT|3TLV|4LHND|578aVULN|6RCR|78BPWR|9NUKE
8	21333 62156	1	   	288.01	DCR|4VULN|3DUR|3LIT|1TLV	178DUR|278LIT|3TLV|4LWND|578aVULN|6RCR|78BPWR|9DUST
9	21333 62164	1	   	288.01	DCR|4VULN|3DUR|3LIT|1TLV|1NUKE	178DUR|278LIT|3TLV|4LWND|578aVULN|6RCR|78BPWR|9NUKE
10	43441 84712	3	 * 	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	1MBVNT|268DUR|3DUST|48CDMG|568VULN|68BPWR|7RCR|9aDMG
11	21323 62112	1	 * 	285.54	DCR|3VULN|3DUR|3LIT|1DMG|1TLV	178DUR|278LIT|3TLV|4LHND|578VULN|6RCR|78BPWR|9ZMB|aDMG
12	21333 62112	1	   	285.54	DCR|3VULN|3DUR|3LIT|1DMG|1TLV	178DUR|278LIT|3TLV|4LWND|578VULN|6RCR|78BPWR|9ZMB|aDMG
13	21323 62162	1	   	285.44	DCR|3VULN|3DUR|3LIT|1DMG|1TLV|1NUKE	178DUR|278LIT|3TLV|4LHND|578VULN|6RCR|78BPWR|9NUKE|aDMG
14	21333 62162	1	   	285.44	DCR|3VULN|3DUR|3LIT|1DMG|1TLV|1NUKE	178DUR|278LIT|3TLV|4LWND|578VULN|6RCR|78BPWR|9NUKE|aDMG
15	43153 72123	8	 * 	284.35	DCR|4VULN|2DUR|1DMG|1TLV	1MBVNT|27DUR|3AART|457aVULN|6RCR|7BPWR|8TLV|9DMG
16	43152 72312	7	   	284.09	DCR|4VULN|3DUR|2AART|2LIT	1MBVNT|279DUR|35AART|479aVULN|6RCR|79BPWR|89LIT
17	43153 71311	7	   	283.05	DCR|4VULN|2DUR|1DMG|2LIT	1MBVNT|29DUR|3AART|4579VULN|6RCR|89LIT|9BPWR|aDMG
18	43153 72311	7	   	281.32	DCR|4VULN|3DUR|3LIT	1MBVNT|279DUR|3AART|4579VULN|6RCR|79BPWR|89aLIT
19	43153 11612	9	   	280.80	DCR|5VULN|3DUR	1MBVNT|267DUR|3AART|4569aVULN|69BPWR|8RCR
20	43153 11614	10	   	280.80	DCR|5VULN|3DUR	1MBVNT|267DUR|3AART|4569aVULN|69BPWR|8RCR
21	43153 71314	7	   	279.24	DCR|4VULN|2DUR|1TLV|2LIT	1MBVNT|29DUR|3AART|4579VULN|6RCR|89LIT|9BPWR|aTLV
22	21142 13125	6	 * 	277.79	ACR|5VULN|3DUR|2ASPD|2AART	16aDUR|2RCR|35AART|4689aVULN|6aBPWR|7aASPD
23	43153 11612	10	   	277.51	DCR|4VULN|3DUR|1TLV	1MBVNT|267DUR|3AART|4569VULN|69BPWR|8RCR|aTLV
24	43153 72422	8	   	276.40	DCR|4VULN|2DUR|1DMG	1MBVNT|27DUR|3AART|4578VULN|6RCR|7BPWR|9DMG|aLIT
25	21323 62131	1	   	276.38	DCR|3VULN|3DUR|3LIT|1TLV|1ASPD	178DUR|278LIT|3TLV|4LHND|578VULN|6RCR|78BPWR|9BBNT|aASPD
26	21323 62156	1	   	276.38	DCR|3VULN|3DUR|3LIT|1TLV|1ASPD	178DUR|278LIT|3TLV|4LHND|578VULN|6RCR|78BPWR|9DUST|aASPD
27	21333 62131	1	   	276.38	DCR|3VULN|3DUR|3LIT|1TLV|1ASPD	178DUR|278LIT|3TLV|4LWND|578VULN|6RCR|78BPWR|9BBNT|aASPD
28	43153 72313	7	   	276.32	DCR|4VULN|3DUR|2LIT	1MBVNT|279DUR|3AART|4579VULN|6RCR|79BPWR|89LIT|aLWND
29	48342 32117	2	   	276.28	DCR|3VULN|3DUR|3LIT|1TLV|1ASPD	1MBVNT|278LIT|3TLV|478DUR|5LEGI|678VULN|78BPWR|9RCR|aASPD
30	43342 32117	2	   	276.27	DCR|3VULN|3DUR|3LIT|1TLV|1ASPD	1MBVNT|278DUR|3TLV|478LIT|5LEGI|678VULN|78BPWR|9RCR|aASPD
31	43153 11832	10	   	276.27	DCR|3VULN|3DUR|2DMG	1MBVNT|267DUR|3AART|456VULN|6BPWR|89DMG|aRCR
32	43153 74312	6	   	276.22	DCR|4VULN|3DUR|2LIT	1MBVNT|279DUR|3AART|459aVULN|6RCR|89LIT|9BPWR
33	43153 72314	7	   	276.22	DCR|4VULN|3DUR|2LIT	1MBVNT|279DUR|3AART|4579VULN|6RCR|79BPWR|89LIT|aTBNT
