0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43213 35432	7	 * 	296.09	DCR|4VULN|2DMG|2DUR|2TLV	134aVULN|29DUR|5aDMG|6aTLV|7RCR|8BBNT|aBPWR
2	43213 15161	7	 * 	296.04	DCR|5VULN|2DMG|1DUR|2LIT	13468VULN|2DUR|58DMG|78LIT|8BPWR|9ZMB|aRCR
3	46113 63332	5	 * 	295.11	DCR|4VULN|2DMG|2ASPD|2LIT|1CDMG	139aVULN|23ASPD|39BPWR|49LIT|5CDMG|6DUST|7RCR|89DMG
4	43213 35111	8	   	292.27	DCR|4VULN|2DMG|2DUR|1TLV	1349VULN|28DUR|5aDMG|6TLV|7RCR
5	43213 35131	9	   	292.27	DCR|4VULN|2DMG|2DUR|1TLV	1349VULN|28DUR|5aDMG|6TLV|7RCR
6	43213 35511	7	   	292.27	DCR|4VULN|2DMG|2DUR|1TLV	1349VULN|28DUR|5aDMG|6TLV|7RCR
7	41151 52232	10	 * 	291.30	DCR|5VULN|3DUR|2TLV	12489VULN|249BPWR|3DMSP|59TLV|679DUR|aRCR
8	46116 31313	9	 * 	290.99	DCR|4VULN|2DUR|2ASPD|1TLV|2LIT	135aVULN|23ASPD|3aBPWR|4aLIT|6TLV|7FEWX|8aDUR|9RCR
9	46111 22413	3	   	290.89	DCR|4VULN|2DUR|2ASPD|1TLV|2LIT	139aVULN|23ASPD|3aBPWR|4aDUR|5TLV|6DUST|7aLIT|8RCR
10	42161 13322	7	 * 	289.65	DCR|4VULN|3DUR|2DMG	1379VULN|234ZMB|379BPWR|5BELT|679DUR|89DMG|aRCR
11	43115 22263	2	   	289.45	DCR|4VULN|3DUR|2DMG	138aVULN|235DUR|3aBPWR|4aCGEN|6LEGI|7RCR|9aDMG
12	43143 22263	2	   	289.45	DCR|4VULN|3DUR|2DMG	138aVULN|236DUR|3aBPWR|4DUST|5aCGEN|7RCR|9aDMG
13	43213 15242	10	   	289.29	DCR|5VULN|2DMG|1DUR	13469VULN|2DUR|5aDMG|7LIT|8RCR
14	43621 22413	3	   	288.50	DCR|3VULN|2DMG|2DUR|2TLV|2LIT	19aVULN|26DUR|3aDMG|4LHND|56TLV|6aBPWR|7aLIT|8RCR
15	43621 22413	4	   	288.50	DCR|3VULN|2DMG|2DUR|2TLV|2LIT	19aVULN|26DUR|3aDMG|4LHND|56TLV|6aBPWR|7aLIT|8RCR
16	43213 35116	8	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1349VULN|28DUR|5DMG|6TLV|7RCR|aCDMG
17	43213 35136	9	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1349VULN|28DUR|5DMG|6TLV|7RCR|aCDMG
18	43213 35135	10	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1349VULN|28aDUR|5DMG|6TLV|7RCR
19	43213 12242	9	 * 	287.64	DCR|5VULN|2DUR|1DMG	13468VULN|27DUR|5DMG|9AART|aRCR
