0	Index      	 *	Score 	Summary	Detail	
1	22236 33154	 * 	266.52	ACR|DCR|3DMG|2TLV|2DUR|1CDMG	18AEBURN|29RCR|38DUR|46TLV|5CDMG|78aDMG|8BPWR
2	31456 21112	 * 	255.24	DCR|DCR|1VULN|2DUR|1TLV	1RMIN|2RPLT|3TLV|4LIT|57DUR|6aRCR|8VULN|9FEWX
3	22236 33152	   	250.87	ACR|DCR|2DMG|2TLV|2DUR|1CDMG	18AEBURN|29RCR|38DUR|46TLV|5CDMG|78DMG|8BPWR|aCGEN
4	22236 33153	   	250.87	ACR|DCR|2DMG|2TLV|2DUR|1CDMG	18AEBURN|29RCR|38DUR|46TLV|5CDMG|78DMG|8BPWR|aRPLT
5	22236 33155	   	250.87	ACR|DCR|2DMG|2TLV|2DUR|1CDMG	18AEBURN|29RCR|38DUR|46TLV|5CDMG|78DMG|8BPWR|aLIT
6	22236 33156	   	250.87	ACR|DCR|2DMG|2TLV|2DUR|1CDMG	18AEBURN|29RCR|38DUR|46TLV|5CDMG|78DMG|8BPWR|aLHND
7	22236 33151	   	250.77	ACR|DCR|2DMG|2TLV|2DUR|1CDMG	18AEBURN|29RCR|38DUR|46TLV|5CDMG|78DMG|8BPWR|aMULHEA
8	22236 33354	   	250.77	ACR|DCR|2DMG|2TLV|2DUR|1CDMG	1AEBURN|29RCR|38DUR|46TLV|5CDMG|7aDMG
9	33252 23622	 * 	245.64	DCR|3VULN|3DMG|2DUR	1RMIN|268VULN|3LEGI|48DUR|578DMG|8BPWR|9RAT|aRCR
10	33215 46321	 * 	239.71	ACR|DCR|2VULN|2DMG	1RMIN|28VULN|3LEGI|4aRCR|59DMG|6RAT|7ASPD
11	33253 15161	 * 	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1RMIN|25aVULN|3LEGI|4DUR|6TLV|7RCR|8AART|9DMG
12	22236 21255	 * 	238.57	ACR|DCR|1VULN|1TLV|1MSLTOX|1DUR|1CDMG|1NUKE	1AEBURN|2aRCR|3DUR|4TLV|5CDMG|6CGEN|7MSLTOX|8VULN|9NUKE
13	22236 33452	   	238.31	ACR|DCR|2DMG|2TLV|1DUR|1CDMG	1AEBURN|29RCR|3DUR|46TLV|5CDMG|78DMG|aCGEN
14	22236 33453	   	238.31	ACR|DCR|2DMG|2TLV|1DUR|1CDMG	1AEBURN|29RCR|3DUR|46TLV|5CDMG|78DMG|aRPLT
15	22236 43152	   	238.31	ACR|DCR|2DMG|2TLV|1DUR|1CDMG	18AEBURN|29RCR|3DUR|48TLV|5CDMG|6AEFBLL|78DMG|8BPWR|aCGEN
16	22236 43153	   	238.31	ACR|DCR|2DMG|2TLV|1DUR|1CDMG	18AEBURN|29RCR|3DUR|48TLV|5CDMG|6AEFBLL|78DMG|8BPWR|aRPLT
17	22236 33254	   	238.21	ACR|DCR|2DMG|2TLV|1DUR|1CDMG	18AEBURN|29RCR|3DUR|46TLV|5CDMG|7aDMG
18	22236 33451	   	238.21	ACR|DCR|2DMG|2TLV|1DUR|1CDMG	1AEBURN|29RCR|3DUR|46TLV|5CDMG|78DMG|aMULHEA
19	22236 43151	   	238.21	ACR|DCR|2DMG|2TLV|1DUR|1CDMG	18AEBURN|29RCR|3DUR|48TLV|5CDMG|6AEFBLL|78DMG|8BPWR|aMULHEA
20	33523 11535	 * 	237.51	DCR|4VULN|2DUR|1TLV	1RMIN|2349VULN|56DUR|7TLV|8BBNT|aRCR
21	33523 11635	   	237.51	DCR|4VULN|2DUR|1TLV	1RMIN|2349VULN|56DUR|7TLV|8TBNT|aRCR
