0	Index      	 *	Score 	Summary	Detail	
1	55331 12533	 * 	316.23	ACR|DCR|4VULN|3CDMG|1TLV|1DUR|1AART	1357VULN|235CDMG|35BPWR|48RCR|6AART|9DUR|aTLV
2	55331 12523	   	302.58	ACR|DCR|4VULN|3CDMG|1TLV|1AART	1357VULN|235CDMG|35BPWR|48RCR|6AART|9LHND|aTLV
3	54251 32122	 * 	298.64	DCR|DCR|3VULN|1DMG|1DUR|1AART	123VULN|4AART|5CGEN|6DMG|7DUR|8ZMB|9aRCR
4	52633 23251	 * 	297.55	DCR|DCR|3VULN|1TLV|1DMG	169VULN|25LWND|3TLV|4BEXP|78RCR|aDMG
5	53431 63221	   	297.45	DCR|DCR|3VULN|1TLV|1DMG	145VULN|2AME|3CGEN|6TLV|78RCR|9LWND|aDMG
6	53431 63231	   	297.35	DCR|DCR|3VULN|1TLV|1DMG	145VULN|2AME|3CGEN|6TLV|78RCR|9DUST|aDMG
7	55331 11533	   	297.07	ACR|DCR|3VULN|3CDMG|1TLV|1DUR|1AART	135VULN|235CDMG|35BPWR|48RCR|6AART|7RCVC|9DUR|aTLV
8	54242 33222	 * 	290.61	DCR|DCR|4VULN|1DMG	1235VULN|45CGEN|5BPWR|69LWND|78RCR|aDMG
9	54242 33231	   	290.51	DCR|DCR|4VULN|1DMG	1235VULN|45CGEN|5BPWR|6LWND|78RCR|9DUST|aDMG
10	54261 33221	   	290.41	DCR|DCR|4VULN|1DMG	1235VULN|4FEWX|6ERES|78RCR|9LWND|aDMG
11	54261 33231	   	290.31	DCR|DCR|4VULN|1DMG	1235VULN|4FEWX|6ERES|78RCR|9DUST|aDMG
12	55331 12531	   	290.03	ACR|DCR|4VULN|3CDMG|1DUR|1AART	1357VULN|235CDMG|35BPWR|48RCR|6AART|9DUR|aBEXP
13	55331 12532	   	289.93	ACR|DCR|4VULN|3CDMG|1DUR|1AART	1357VULN|235CDMG|35BPWR|48RCR|6AART|9DUR|aAEFRZ
