0	Index      	 *	Score 	Summary	Detail	
1	33262 31534	 * 	278.48	DCR|DCR|3VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|69aVULN|78RCR
2	21224 42511	 * 	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AART	1FEWX|2TBNT|3VULN|4TLV|5AART|6MLV|7DUR|89RCR|aRAT
3	21224 42512	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AART	1FEWX|2TBNT|3VULN|4TLV|5AART|6MLV|7DUR|89RCR|aBELT
4	21224 42513	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AART	1FEWX|2TBNT|3VULN|4TLV|5AART|6MLV|7DUR|89RCR|aLIT
5	33532 31552	   	269.99	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CDMG|2LIT|3BEXP|4AME|5AART|6VULN|78RCR|9TLV|aDUR
6	33132 31552	   	269.89	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6VULN|78RCR|9TLV|aDUR
7	33262 31522	 * 	263.85	DCR|DCR|1VULN|1DMG|1CDMG|1DUR|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|6VULN|78RCR|9DMG|aDUR
8	33532 31553	   	263.28	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2LIT|3BEXP|4AME|5AART|6VULN|78RCR|9TLV|aASPD
9	33132 31553	   	263.18	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6VULN|78RCR|9TLV|aASPD
10	33532 31524	 * 	262.65	DCR|DCR|2VULN|2CDMG|1AART	19CDMG|2LIT|3BEXP|4AME|5AART|6aVULN|78RCR
11	33132 31524	   	262.55	DCR|DCR|2VULN|2CDMG|1AART	19CDMG|2LIT|3DUST|4AME|5AART|6aVULN|78RCR
12	33212 31524	   	262.55	DCR|DCR|2VULN|2CDMG|1AART	19CDMG|2LIT|3ERES|4DUST|5AART|6aVULN|78RCR
13	33411 22251	 * 	259.94	DCR|DCR|2FLTARM|1DUR|1AART|1CDMG	1CDMG|2LIT|3AART|4DLOT|58FLTARM|6AEFRZ|7aRCR|9DUR
14	33262 31523	   	257.14	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|6VULN|78RCR|9DMG|aASPD
15	33262 31533	   	256.34	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4aFEWX|5AART|69VULN|78RCR
16	33262 31536	   	256.34	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|69VULN|78RCR|aLWND
17	33262 31514	   	256.34	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|49FEWX|5AART|6aVULN|78RCR
18	33532 31514	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1CDMG|2LIT|3BEXP|4AME|5AART|6aVULN|78RCR|9FEWX
19	33532 31551	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2aLIT|3BEXP|4AME|5AART|6VULN|78RCR|9TLV
20	33132 31514	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6aVULN|78RCR|9FEWX
