0	Index      	 *	Score 	Summary	Detail	
1	32213 61132	 * 	257.12	DCR|3VULN|3TLV|1DUR|1AART|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aAAC
2	32216 42262	 * 	253.97	DCR|3VULN|2DMG|2TLV|1AAC|2ASPD	19ASPD|24TLV|349VULN|49BPWR|5TBNT|69DMG|7MBVNT|8AAC|aRCR
3	32213 66242	 * 	251.74	DCR|3VULN|3TLV|1DMG|1MLV	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9DMG|aMLV
4	32623 66332	 * 	251.58	DCR|DCR|1VULN|1TLV|1MLV	1ASPD|2TLV|3BBNT|4LIT|5MLV|6RAT|7BELT|8aRCR|9VULN
5	33623 66332	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1ASPD|2BBNT|3TLV|4LIT|5MLV|6RAT|7BELT|8aRCR|9VULN
6	32213 45412	 * 	251.04	DCR|4VULN|3TLV|1MLV	1ASPD|245TLV|3459VULN|45BPWR|6MLV|7RPLT|8CGEN|aRCR
7	32213 45512	   	250.94	DCR|4VULN|3TLV|1MLV	1ASPD|245TLV|3459VULN|45BPWR|6MLV|7RPLT|8ERES|aRCR
8	32213 61116	   	249.78	DCR|3VULN|3TLV|1DMG|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9TBNT|aDMG
9	32213 66243	   	249.78	DCR|3VULN|3TLV|1DMG|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9DMG|aDUR
10	32213 66244	   	249.78	DCR|3VULN|3TLV|1DMG|1CDMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9DMG|aCDMG
11	32211 22361	 * 	249.37	DCR|3VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34aVULN|4BPWR|57DUR|6CANTOX|8RCR|9AART
12	32214 62361	   	249.37	DCR|3VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34aVULN|4BPWR|5CANTOX|67DUR|8RCR|9AART
13	32213 41642	   	245.52	DCR|3VULN|3TLV|1MLV|1CDMG|1AAC	1ASPD|245TLV|345VULN|45BPWR|6MLV|7CDMG|8BEXP|9AAC|aRCR
14	32213 41342	   	245.42	DCR|3VULN|3TLV|1MLV|1CDMG|1AAC	1ASPD|245TLV|345VULN|45BPWR|6MLV|7CDMG|8DUST|9AAC|aRCR
15	32213 61142	   	245.42	DCR|3VULN|3TLV|1MLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9ZMB|aMLV
16	32213 61152	   	245.42	DCR|3VULN|3TLV|1MLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9LWND|aMLV
17	32213 61162	   	245.42	DCR|3VULN|3TLV|1MLV|1DUR|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AAC|aMLV
18	32213 61113	   	245.32	DCR|3VULN|3TLV|1MLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9TBNT|aMLV
19	32213 61134	   	243.47	DCR|3VULN|3TLV|1DUR|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aRMIN
20	32213 61125	   	243.37	DCR|3VULN|3TLV|1DUR|1CDMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9BASICY|aCDMG
21	32213 61131	   	243.37	DCR|3VULN|3TLV|1DUR|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aERES
22	32213 61133	   	243.37	DCR|3VULN|3TLV|1DUR|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aAME
23	32213 61135	   	243.37	DCR|3VULN|3TLV|1DUR|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aBBNT
24	32213 61136	   	243.37	DCR|3VULN|3TLV|1DUR|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aDUST
25	32213 61161	   	243.37	DCR|3VULN|3TLV|1DUR|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AAC|aTBNT
26	32213 61163	 * 	243.37	DCR|3VULN|3TLV|2DUR|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7aDUR|8RCR|9AAC
27	32213 61165	   	243.37	DCR|3VULN|3TLV|1DUR|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AAC|aBLASTR
28	32213 61166	   	243.37	DCR|3VULN|3TLV|1DUR|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AAC|aBBNT
29	32213 61313	   	243.37	DCR|3VULN|3TLV|1DUR|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8AART|9TBNT|aRCR
30	32213 63132	   	243.37	DCR|3VULN|3TLV|1AART|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AART|aAAC
31	32213 66232	   	243.37	DCR|3VULN|3TLV|1AART|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aAAC
32	32211 22352	   	242.83	DCR|2VULN|2TLV|2DUR|1MLV|1CDMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9CDMG|aMLV
33	32214 62352	   	242.83	DCR|2VULN|2TLV|2DUR|1MLV|1CDMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9CDMG|aMLV
34	33212 26326	 * 	242.49	DCR|DCR|2VULN|1AAC|2ASPD	17ASPD|2BBNT|37AEWIND|47VULN|5AAC|6TBNT|7BPWR|8BOSS|9aRCR
35	61212 26326	   	242.49	DCR|DCR|2VULN|1AAC|2ASPD	1TBNT|27ASPD|37AEWIND|47VULN|5AAC|6BBNT|7BPWR|8BOSS|9aRCR
36	32213 61143	   	242.27	DCR|3VULN|3TLV|2DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7aDUR|8RCR|9ZMB
37	32213 61153	   	242.27	DCR|3VULN|3TLV|2DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7aDUR|8RCR|9LWND
38	22411 65111	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1ERES|2AME|3CDMG|4DMSP|5TLV|6MLV|78RCR|9DUR|aRCVC
39	22411 65112	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1ERES|2AME|3CDMG|4DMSP|5TLV|6MLV|78RCR|9DUR|aBEXP
40	22411 65113	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1ERES|2AME|3CDMG|4DMSP|5TLV|6MLV|78RCR|9DUR|aCGEN
41	33311 46223	 * 	239.40	DCR|3VULN|3DMG|3ASPD	139ASPD|2BBNT|39BPWR|489VULN|569DMG|7BELT|aRCR
42	61311 46223	   	239.40	DCR|3VULN|3DMG|3ASPD	1TBNT|239ASPD|39BPWR|489VULN|569DMG|7BELT|aRCR
43	31342 13356	 * 	237.70	DCR|DCR|1TLV|1DMG|1DUR	1ASPD|2FEWX|3RPLT|4DMG|5RAT|6aRCR|7BOSS|8TLV|9DUR
44	32211 35361	   	236.81	DCR|3VULN|2TLV|1DUR|1AART	1ASPD|24TLV|34aVULN|4BPWR|5DUR|6AEFBLL|7AIRARM|8RCR|9AART
45	32214 12412	   	236.69	DCR|2VULN|2TLV|1DMG|1MLV|1AART	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|6TBNT|7DMG|8RCR|9AART|aMLV
46	42223 18383	 * 	236.45	DCR|DCR|1VULN|2CDMG|1DUR	15CDMG|2ZMB|3MULARM|45CGEN|5BPWR|6MBVNT|7VULN|89RCR|aDUR
47	42323 18383	   	236.45	DCR|DCR|1VULN|2CDMG|1DUR	15CDMG|2ZMB|3CANTOX|45CGEN|5BPWR|6MBVNT|7VULN|89RCR|aDUR
48	32214 12433	   	236.19	DCR|3VULN|2TLV|1DMG|2ASPD	19ASPD|24TLV|34aVULN|4BPWR|5CANTOX|6TBNT|7DMG|8RCR
