0	Index      	 *	Score 	Summary	Detail	
1	62123 26136	 * 	268.89	DCR|DCR|2VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6aVULN|78RCR|9RAT
2	32233 31644	 * 	256.34	DCR|DCR|1VULN|1FLTARM|1DUR|1AART	1MDPS|2LWND|3CGEN|4FLTARM|5VULN|6DUR|7LHND|8aRCR|9AART
3	32233 35634	   	256.34	DCR|DCR|1VULN|1FLTARM|1AART|1DUR	1MDPS|2LWND|3CGEN|4FLTARM|5VULN|6DUR|7BEXP|8aRCR|9AART
4	33233 33162	   	256.34	DCR|DCR|1VULN|1FLTARM|1AART|1CDMG	1MDPS|2FEWX|3CGEN|4FLTARM|5VULN|6AART|7CDMG|8aRCR|9LWND
5	62123 26131	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9RAT|aCDMG
6	62123 26135	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9RAT|aDUR
7	62123 26161	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	19DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|aDUR
8	32233 33634	   	256.24	DCR|DCR|1VULN|1FLTARM|1DUR|1AART	1MDPS|2LWND|3CGEN|4FLTARM|5VULN|6DUR|7DUST|8aRCR|9AART
9	33233 33132	   	256.24	DCR|DCR|1VULN|1FLTARM|1AART|1CDMG	1MDPS|2FEWX|3CGEN|4FLTARM|5VULN|6AART|7CDMG|8aRCR|9DUST
10	62123 26111	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9AEFBLL|aDUR
11	33434 12336	   	255.14	DCR|DCR|2VULN|1TLV	1MDPS|2FEWX|3MBVNT|46VULN|5CGEN|79RCR|8RAT|aTLV
12	62123 26141	   	253.59	DCR|DCR|1VULN|1TLV|1AART|1NUKE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9NUKE|aBEXP
13	62123 26142	   	253.59	DCR|DCR|1VULN|1TLV|1AART|1NUKE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9NUKE|aLWND
14	62123 26143	   	253.59	DCR|DCR|1VULN|1TLV|1AART|1NUKE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9NUKE|aAEBURN
15	11423 34262	 * 	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1BOSS|2BELT|3DMG|4MLV|5LHND|6VULN|79RCR|8RPLT|aDUR
16	33442 12424	 * 	249.00	DCR|DCR|2VULN|1DMG	1MDPS|2FEWX|3MBVNT|4DMG|56VULN|7aRCR|8BOSS|9RPLT
17	33442 12624	   	249.00	DCR|DCR|2VULN|1DMG	1MDPS|2FEWX|3MBVNT|4DMG|56VULN|7aRCR|8LIT|9RPLT
18	22612 11142	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1CGEN|2BBNT|3VULN|4RCVC|5AART|6CDMG|7SNIFST|8aRCR|9DUR
19	22612 16142	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1CGEN|2BBNT|3VULN|4RCVC|5AART|6CDMG|7MULARM|8aRCR|9DUR
20	23631 11142	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1CGEN|2AART|3AEPOI|4BBNT|5VULN|6CDMG|7SNIFST|8aRCR|9DUR
21	23631 16142	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1CGEN|2AART|3AEPOI|4BBNT|5VULN|6CDMG|7MULARM|8aRCR|9DUR
22	43151 22412	 * 	243.46	ACR|DCR|3VULN|1TLV	1VENFST|2TLV|38aVULN|47RCR|5BEXP|6CGEN|9RAT
23	43151 22432	   	243.46	ACR|DCR|3VULN|1TLV	1VENFST|2TLV|38aVULN|47RCR|5BEXP|6CGEN|9RPLT
24	43153 22412	   	243.46	ACR|DCR|3VULN|1TLV	1VENFST|2TLV|38aVULN|47RCR|5LWND|6CGEN|9RAT
25	43151 32432	   	243.36	ACR|DCR|3VULN|1TLV	1VENFST|2TLV|38aVULN|47RCR|5BEXP|6AME|9RPLT
26	62123 26132	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9RAT|aLWND
27	62123 26134	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9RAT|aCGEN
28	62123 26162	   	242.69	DCR|DCR|1VULN|1TLV|1AART	19DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|aCGEN
29	62123 26163	   	242.69	DCR|DCR|1VULN|1TLV|1AART	19DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|aLHND
30	62123 26112	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9AEFBLL|aCGEN
31	62123 26113	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9AEFBLL|aLHND
