0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66531 21313	1	 * 	295.08	DCR|3VULN|3DUR|2DMG|2TLV	189VULN|28DMG|3LIT|47TLV|568DUR|8BPWR|aRCR
2	11442 42313	4	   	291.37	DCR|3VULN|3DUR|2DMG|1TLV	1DMSP|28DMG|348DUR|5TLV|6LIT|789VULN|8BPWR|aRCR
3	11322 24334	9	 * 	289.45	DCR|4VULN|3DUR|2DMG	1DMSP|27DMG|3LWND|457DUR|678aVULN|7BPWR|9RCR
4	12167 34484	7	   	289.45	DCR|4VULN|3DUR|2DMG	1DMSP|2569VULN|359DUR|4MBVNT|59BPWR|79DMG|8RPLT|aRCR
5	11232 34334	9	   	289.35	DCR|4VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478aVULN|567DUR|7BPWR|9RCR
6	11242 24334	9	   	289.35	DCR|4VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678aVULN|7BPWR|9RCR
7	61423 23521	1	 * 	289.20	DCR|3VULN|3DMG|2DUR|2CDMG	18aVULN|2TBNT|36CDMG|4RMIN|56aDMG|6aBPWR|7RCR|9aDUR
8	11542 24333	10	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	1DMSP|27DMG|3FEWX|457DUR|678VULN|7BPWR|9RCR|aTLV
9	61221 44233	1	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	19aVULN|2TBNT|359DUR|4TLV|6RCR|7ERES|89DMG|9BPWR
10	11435 24123	10	 * 	281.18	DCR|5VULN|2DMG|1DUR	1DMSP|29DMG|3DUR|4569aVULN|7RCR|89CGEN|9BPWR
11	61423 23513	1	 * 	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	189VULN|2TBNT|369CDMG|4RMIN|569DMG|69BPWR|7RCR|aTLV
12	11322 24335	9	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aASPD
13	12134 16212	7	 * 	277.80	DCR|4VULN|3DUR|3CDMG	1DMSP|279aVULN|359DUR|459CDMG|59BPWR|6RCR|8TBNT
14	12414 16212	7	   	277.80	DCR|4VULN|3DUR|3CDMG	1DMSP|279aVULN|359CDMG|459DUR|59BPWR|6RCR|8TBNT
15	62134 16212	7	   	277.80	DCR|4VULN|3DUR|3CDMG	179aVULN|2DMSP|359DUR|459CDMG|59BPWR|6RCR|8TBNT
16	11232 34335	9	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aASPD
17	11242 24335	9	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aASPD
18	11432 24123	10	   	276.22	DCR|4VULN|2DMG|2DUR	1DMSP|29DMG|35DUR|469aVULN|7RCR|89CGEN|9BPWR
19	23612 31341	1	 * 	276.16	DCR|4VULN|2DMG|2CDMG|1ASPD	1LEGI|279aVULN|3ASPD|4aDMG|5BBNT|6RCR|8aCDMG|aBPWR
20	12134 16216	7	 * 	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	1DMSP|279VULN|359DUR|459CDMG|59BPWR|6RCR|8TBNT|aDMG
21	11432 26243	6	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|357DUR|467VULN|7BPWR|8CGEN|9LIT|aRCR
22	11441 42313	5	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|28DMG|348DUR|5MLV|6LIT|789VULN|8BPWR|aRCR
23	11441 62313	6	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|28DMG|348DUR|5MLV|6LIT|789VULN|8BPWR|aRCR
24	12112 16313	5	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|358DUR|4CGEN|6LIT|78DMG|8BPWR|aRCR
25	12113 16313	4	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|358DUR|4CGEN|6LIT|78DMG|8BPWR|aRCR
26	12121 16313	4	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
27	12121 16313	3	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
28	12126 16313	5	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|348DUR|5MLV|6LIT|78DMG|8BPWR|aRCR
29	12133 16313	3	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|358DUR|4MLV|6LIT|78DMG|8BPWR|aRCR
30	12321 16313	2	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
31	12333 16313	2	   	275.12	DCR|3VULN|3DUR|2DMG	1DMSP|289VULN|358DUR|4MLV|6LIT|78DMG|8BPWR|aRCR
32	62112 16313	5	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|358DUR|4CGEN|6LIT|78DMG|8BPWR|aRCR
33	62113 16313	4	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|358DUR|4CGEN|6LIT|78DMG|8BPWR|aRCR
34	62121 16313	4	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
35	62121 16313	3	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
36	62126 16313	5	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|348DUR|5MLV|6LIT|78DMG|8BPWR|aRCR
37	62133 16313	3	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|358DUR|4MLV|6LIT|78DMG|8BPWR|aRCR
38	62321 16313	2	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
39	62333 16313	2	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2DMSP|358DUR|4MLV|6LIT|78DMG|8BPWR|aRCR
40	66112 16313	5	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2RCVC|358DUR|4CGEN|6LIT|78DMG|8BPWR|aRCR
41	66113 16313	4	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2RCVC|358DUR|4CGEN|6LIT|78DMG|8BPWR|aRCR
42	66121 16313	4	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2RCVC|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
43	66121 16313	3	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2RCVC|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
44	66133 16313	3	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2RCVC|358DUR|4MLV|6LIT|78DMG|8BPWR|aRCR
45	66321 16313	2	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2RCVC|348DUR|5CGEN|6LIT|78DMG|8BPWR|aRCR
46	66333 16313	2	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|2RCVC|358DUR|4MLV|6LIT|78DMG|8BPWR|aRCR
47	66511 23313	1	   	275.12	DCR|3VULN|3DUR|2DMG	189VULN|28DMG|3LIT|47CGEN|568DUR|8BPWR|aRCR
48	11432 26343	6	   	275.02	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|357DUR|467VULN|7BPWR|8ERES|9LIT|aRCR
49	12121 24414	10	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	1DMSP|26aVULN|34DUR|5aASPD|7RCR|8RPLT|9aDMG|aBPWR
