0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33242 23411	10	 * 	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aDMG
2	32154 13544	8	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	18FEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aDMG
3	23163 53214	2	 * 	265.15	DCR|4VULN|2DMG|2CDMG	1RMIN|27CDMG|3TBNT|478aVULN|57DMG|6BBNT|7BPWR|9RCR
4	32243 16522	9	 * 	263.39	DCR|5VULN|1DMG|1TLV	1FEWX|2TLV|3467aVULN|5BELT|8DMG|9RCR
5	23463 63223	6	 * 	261.71	DCR|3VULN|3ASPD|2CDMG|1TLV|1AART	1RMIN|28CDMG|3TLV|489VULN|568ASPD|7AART|8BPWR|aRCR
6	31163 46333	1	 * 	261.56	DCR|4VULN|3DUR|1AART	189FEWX|2589VULN|3AART|489DUR|6RCVC|7MBVNT|89BPWR|aRCR
7	33242 23416	10	   	261.45	DCR|4VULN|2ASPD|1TLV|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aTLV
8	32246 13632	5	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2TLV|34aVULN|5DUR|6RCR|7CDMG|8DMG|9AART
9	32246 13632	4	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2TLV|34aVULN|5DUR|6RCR|7CDMG|8DMG|9AART
10	32254 13632	3	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2TLV|35aVULN|4DUR|6RCR|7CDMG|8DMG|9AART
11	34223 11343	3	 * 	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1FEWX|257DUR|389VULN|4ASPD|6RCR|aDMG
12	32243 16432	7	   	259.58	DCR|5VULN|1TLV|1DUR	1FEWX|2TLV|34678VULN|5BELT|9DUR|aRCR
13	31125 13636	1	   	259.44	DCR|4VULN|2DUR|1ASPD|1AART	18FEWX|2568VULN|3AART|456MLV|568BPWR|78DUR|9RCR|aASPD
14	43316 25322	10	 * 	258.86	ACR|4VULN|2DMG|2ASPD|1DUR	1RCR|28ASPD|378aVULN|4LIT|5FEWX|68DMG|8BPWR|9DUR
15	33242 23413	10	   	258.85	DCR|4VULN|2ASPD|1DUR|1CDMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aCDMG
16	33242 23462	9	   	258.85	DCR|4VULN|2ASPD|1TLV|1CDMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9CDMG|aTLV
17	33242 23431	9	 * 	258.01	DCR|5VULN|3ASPD	18FEWX|2CGEN|3458aVULN|689ASPD|7RCR|8BPWR
