0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26663 11111	6	 * 	304.10	DCR|3VULN|3DMG|2DUR|2ASPD|1CDMG	127DMG|378VULN|4CDMG|5aDUR|67ASPD|7BPWR|9RCR
2	33653 41111	4	 * 	302.43	DCR|3VULN|3DMG|3DUR|2CDMG|1NUKE	178VULN|24aDUR|347DMG|47BPWR|5NUKE|67CDMG|9RCR
3	33252 35353	10	 * 	299.39	DCR|5VULN|2DUR|2ASPD|1DMG	13589VULN|28DUR|4DMG|6CGEN|78ASPD|8BPWR|aRCR
4	26612 36111	3	   	299.04	DCR|3VULN|3DMG|2DUR|1TLV|1CDMG	124DMG|348VULN|4BPWR|5aDUR|6TLV|7CDMG|9RCR
5	33652 15131	8	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	157VULN|246DUR|347DMG|47BPWR|8TLV|9RCR|aDMSP
6	33652 15132	8	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	157VULN|246DUR|347DMG|47BPWR|8TLV|9RCR|aZMB
7	33652 15133	8	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	157VULN|246DUR|347DMG|47BPWR|8TLV|9RCR|aRMIN
8	31152 52141	7	 * 	297.26	DCR|4VULN|3DMG|2TLV|1DUR	1567VULN|2ERES|37TLV|467DMG|67BPWR|8LHND|9RCR|aDUR
9	31152 52141	8	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	1567VULN|2ERES|37TLV|467DMG|67BPWR|8LHND|9RCR|aDUR
10	31152 52241	8	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	1567VULN|2ERES|37TLV|467DMG|67BPWR|8LWND|9RCR|aDUR
11	31152 52341	8	   	297.16	DCR|4VULN|3DMG|2TLV|1DUR	1567VULN|2ERES|37TLV|467DMG|67BPWR|8DUST|9RCR|aDUR
12	33652 15331	8	   	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	157VULN|246DUR|347DMG|47BPWR|8CDMG|9ERES|aRCR
13	31152 53116	8	 * 	295.94	DCR|5VULN|2DMG|1TLV|2LIT	15679VULN|29ERES|3TLV|46DMG|69BPWR|89LIT|aRCR
14	22152 12316	8	 * 	295.86	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34578VULN|48BPWR|68DUR|9RPLT|aRCR
15	22152 12322	8	   	295.86	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34578VULN|48BPWR|68DUR|9BEXP|aRCR
16	22152 12362	9	   	295.86	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34578VULN|48BPWR|68DUR|9FEWX|aRCR
17	22155 32316	8	   	295.86	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34678VULN|48BPWR|58DUR|9RPLT|aRCR
18	22155 32322	8	   	295.86	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34678VULN|48BPWR|58DUR|9BEXP|aRCR
19	22155 32362	9	   	295.86	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34678VULN|48BPWR|58DUR|9FEWX|aRCR
20	22152 12322	9	   	295.76	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34578VULN|48BPWR|68DUR|9DUST|aRCR
21	22155 32322	9	   	295.76	DCR|5VULN|2DMG|2DUR	18DMG|24LHND|34678VULN|48BPWR|58DUR|9DUST|aRCR
22	33252 23531	6	   	295.76	DCR|5VULN|2DMG|2DUR	13579VULN|27DUR|47DMG|6BELT|7BPWR|8ZMB|aRCR
23	36252 12316	8	   	295.76	DCR|5VULN|2DMG|2DUR	13578VULN|2LWND|48DMG|68DUR|8BPWR|9RPLT|aRCR
24	36252 12322	8	   	295.76	DCR|5VULN|2DMG|2DUR	13578VULN|2LWND|48DMG|68DUR|8BPWR|9BEXP|aRCR
25	36252 12332	9	   	295.76	DCR|5VULN|2DMG|2DUR	13578VULN|2LWND|48DMG|68DUR|8BPWR|9LHND|aRCR
26	36255 32322	8	   	295.76	DCR|5VULN|2DMG|2DUR	13678VULN|2LWND|48DMG|58DUR|8BPWR|9BEXP|aRCR
27	36255 32332	9	   	295.76	DCR|5VULN|2DMG|2DUR	13678VULN|2LWND|48DMG|58DUR|8BPWR|9LHND|aRCR
28	33252 24241	6	   	295.66	DCR|5VULN|2DMG|2DUR|1NUKE	13579VULN|29DUR|49DMG|6BELT|8NUKE|9BPWR|aRCR
29	33256 32316	8	   	295.66	DCR|5VULN|2DMG|2DUR	13678VULN|28DUR|48DMG|5LEGI|8BPWR|9RPLT|aRCR
30	33256 32322	8	   	295.66	DCR|5VULN|2DMG|2DUR	13678VULN|28DUR|48DMG|5LEGI|8BPWR|9BEXP|aRCR
31	33256 32332	9	   	295.66	DCR|5VULN|2DMG|2DUR	13678VULN|28DUR|48DMG|5LEGI|8BPWR|9LHND|aRCR
32	36252 12322	9	   	295.66	DCR|5VULN|2DMG|2DUR	13578VULN|2LWND|48DMG|68DUR|8BPWR|9DUST|aRCR
33	36255 32322	9	   	295.66	DCR|5VULN|2DMG|2DUR	13678VULN|2LWND|48DMG|58DUR|8BPWR|9DUST|aRCR
34	33256 32322	9	   	295.56	DCR|5VULN|2DMG|2DUR	13678VULN|28DUR|48DMG|5LEGI|8BPWR|9DUST|aRCR
35	26535 41211	2	 * 	294.03	DCR|3VULN|3DMG|3CDMG|2ASPD	127DMG|3MBVNT|49ASPD|579CDMG|679VULN|79BPWR|8RCR|aLIT
36	33252 23616	6	   	293.66	DCR|4VULN|2DMG|2DUR|2AART	1357VULN|27DUR|47DMG|6BELT|7BPWR|89AART|aRCR
37	33252 13562	5	   	292.61	DCR|4VULN|2DMG|2CDMG|1DUR|1ASPD	1359VULN|2DUR|49DMG|6LWND|7ASPD|89CDMG|9BPWR|aRCR
38	33252 41183	10	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	1358VULN|2DUR|48aDMG|68LIT|7MBVNT|8BPWR|9RCR
39	26535 41144	2	   	291.91	DCR|4VULN|3DMG|2CDMG|1ASPD	127DMG|3MBVNT|4ASPD|57CDMG|6789VULN|7BPWR|aRCR
40	26432 32341	8	 * 	291.88	DCR|4VULN|3DMG|2DUR	128DMG|3aDUR|48LHND|5678VULN|8BPWR|9RCR
41	33252 15311	6	 * 	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	135aVULN|26aDUR|4DMG|7RCR|8FEWX|9aCDMG|aBPWR
42	33252 15611	6	   	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	135aVULN|26aDUR|4DMG|7RCR|8LHND|9aCDMG|aBPWR
43	24233 53633	6	 * 	290.05	DCR|5VULN|3DMG	17aDMG|267ERES|3579aVULN|4AART|7aBPWR|8RCR
44	26663 11113	6	   	289.52	DCR|3VULN|3DMG|2ASPD|1DUR|1CDMG	127DMG|378VULN|4CDMG|5DUR|67ASPD|7BPWR|9RCR|aCGEN
45	26663 11112	6	   	289.42	DCR|3VULN|3DMG|2ASPD|1DUR|1CDMG	127DMG|378VULN|4CDMG|5DUR|67ASPD|7BPWR|9RCR|aDUST
46	33252 25241	7	 * 	289.35	DCR|4VULN|3DUR|2DMG|1NUKE	1359VULN|279DUR|49DMG|6BELT|8NUKE|9BPWR|aRCR
47	33456 32322	8	   	289.35	DCR|4VULN|3DUR|2DMG	1678VULN|238DUR|48DMG|5LEGI|8BPWR|9BEXP|aRCR
48	33456 32332	9	   	289.35	DCR|4VULN|3DUR|2DMG	1678VULN|238DUR|48DMG|5LEGI|8BPWR|9LWND|aRCR
49	33456 32322	9	   	289.25	DCR|4VULN|3DUR|2DMG	1678VULN|238DUR|48DMG|5LEGI|8BPWR|9DUST|aRCR
50	33653 41113	4	   	289.20	DCR|3VULN|3DMG|2DUR|2CDMG|1NUKE	178VULN|24DUR|347DMG|47BPWR|5NUKE|67CDMG|9RCR|aCGEN
51	26433 41111	3	   	289.10	DCR|3VULN|3DMG|2DUR|2CDMG|1NUKE	127DMG|3aDUR|478VULN|5NUKE|67CDMG|7BPWR|9RCR
52	33653 41112	4	   	289.10	DCR|3VULN|3DMG|2DUR|2CDMG|1NUKE	178VULN|24DUR|347DMG|47BPWR|5NUKE|67CDMG|9RCR|aDUST
53	31552 12353	10	   	288.98	DCR|5VULN|2DUR|1DMG|1ASPD	15789VULN|28ERES|3ASPD|4DMG|68DUR|8BPWR|aRCR
54	33252 35362	9	   	288.16	DCR|4VULN|2DUR|2ASPD|1DMG	1358VULN|28DUR|4DMG|6CGEN|78ASPD|8BPWR|9LIT|aRCR
55	31152 54312	6	   	286.00	DCR|4VULN|2DMG|1TLV|1DUR	1569VULN|2ERES|3TLV|46DMG|6BPWR|7LIT|8DUR|aRCR
56	26535 41213	2	   	285.72	DCR|3VULN|3DMG|3CDMG|2ASPD	127DMG|3MBVNT|49ASPD|579CDMG|679VULN|79BPWR|8RCR|aMLV
57	26535 41212	2	   	285.62	DCR|3VULN|3DMG|3CDMG|2ASPD	127DMG|3MBVNT|49ASPD|579CDMG|679VULN|79BPWR|8RCR|aDUST
58	26535 41214	2	   	285.62	DCR|3VULN|3DMG|3CDMG|2ASPD	127DMG|3MBVNT|49ASPD|579CDMG|679VULN|79BPWR|8RCR|aTBNT
59	26535 41124	2	   	285.52	DCR|3VULN|3DMG|2CDMG|1DUR|1ASPD	127DMG|3MBVNT|4ASPD|57CDMG|678VULN|7BPWR|9DUR|aRCR
60	26612 32341	3	   	285.29	DCR|3VULN|3DMG|2DUR|1TLV	124DMG|348VULN|4BPWR|5aDUR|6TLV|7ERES|9RCR
61	26612 36113	3	   	284.45	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	124DMG|348VULN|4BPWR|5DUR|6TLV|7CDMG|9RCR|aCGEN
62	26612 36112	3	   	284.35	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	124DMG|348VULN|4BPWR|5DUR|6TLV|7CDMG|9RCR|aDUST
63	33652 41123	9	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	158VULN|24DUR|348DMG|48BPWR|68LIT|7MBVNT|9FEWX|aRCR
64	33652 41123	8	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	158VULN|24DUR|348DMG|48BPWR|68LIT|7MBVNT|9LWND|aRCR
65	33652 41143	9	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	158VULN|24DUR|348DMG|48BPWR|68LIT|7MBVNT|9LHND|aRCR
66	33636 41111	6	 * 	284.07	DCR|3VULN|2DMG|3ASPD|2DUR|1SELL	178VULN|2aDUR|37DMG|457ASPD|6SELL|7BPWR|9RCR
67	33652 41143	8	   	283.99	DCR|3VULN|3DMG|2DUR|2LIT	158VULN|24DUR|348DMG|48BPWR|68LIT|7MBVNT|9DUST|aRCR
68	31152 55212	6	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	156VULN|2ERES|3TLV|46DMG|6BPWR|7RCR|8aDUR|9CDMG
69	33625 11114	4	   	282.64	DCR|3VULN|3DMG|2DUR|1CDMG|1SELL	178VULN|27DUR|367DMG|4SELL|5RMIN|7BPWR|9RCR|aCDMG
70	33652 31531	8	   	282.56	DCR|3VULN|3DMG|3DUR	158VULN|248DUR|347DMG|48BPWR|68CGEN|9RCR|aDMSP
71	33652 31532	8	   	282.56	DCR|3VULN|3DMG|3DUR	158VULN|248DUR|347DMG|48BPWR|68CGEN|9RCR|aZMB
72	33652 31533	8	   	282.56	DCR|3VULN|3DMG|3DUR	158VULN|248DUR|347DMG|48BPWR|68CGEN|9RCR|aRMIN
73	26632 12341	8	   	282.46	DCR|3VULN|3DMG|3DUR	128DMG|357VULN|48LHND|68aDUR|8BPWR|9RCR
