0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31746 41834	7	 * 	283.19	DCR|4VULN|3DUR|2TLV|1AART	1MBVNT|2RCVC|3AART|479aVULN|579DUR|6RCR|79BPWR|89TLV
2	36333 15227	1	 * 	276.80	DCR|3VULN|2DMG|3TLV|2DUR	1MBVNT|29DMG|36DUR|4RPLT|569VULN|69BPWR|789TLV|aRCR
3	36333 15227	2	   	276.80	DCR|3VULN|2DMG|3TLV|2DUR	1MBVNT|29DMG|36DUR|4RPLT|569VULN|69BPWR|789TLV|aRCR
4	33643 16463	8	 * 	274.69	DCR|4VULN|3DMG|1TLV	1MBVNT|278LHND|3DUST|4578VULN|678DMG|78BPWR|9RCR|aTLV
5	36613 41126	8	   	274.39	DCR|4VULN|3DMG|1TLV	1MBVNT|279DMG|3DLOT|4567VULN|7BPWR|8TLV|aRCR
6	31462 16417	10	 * 	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|2RCVC|378DUR|4LHND|578VULN|678DMG|78BPWR|9BEXP|aRCR
7	31412 16417	10	   	271.50	DCR|3VULN|3DMG|3DUR	1MBVNT|2RCVC|378DUR|4DUST|578VULN|678DMG|78BPWR|9BEXP|aRCR
8	31746 41832	7	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	1MBVNT|2RCVC|3AART|479VULN|579DUR|6RCR|79BPWR|89TLV|aASPD
9	31746 41833	7	   	269.91	DCR|3VULN|3DUR|2TLV|2AART	1MBVNT|2RCVC|3aAART|479VULN|579DUR|6RCR|79BPWR|89TLV
10	31742 74834	4	   	269.86	DCR|4VULN|2TLV|2DUR|1AART	1MBVNT|2RCVC|3AART|459aVULN|6RCR|79DUR|89TLV|9BPWR
11	31412 37434	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2RCVC|38DUR|4DUST|568VULN|78DMG|8BPWR|9TLV|aRCR
12	31412 16214	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2RCVC|37DUR|4DUST|579VULN|67DMG|7BPWR|8TLV|aRCR
