0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61333 12625	9	 * 	285.20	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1DMSP|29DMG|3AART|479VULN|5CDMG|6LIT|89DUR|9BPWR|aRCR
2	61332 51225	9	   	277.17	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG|1AART	1DMSP|29DMG|3AART|459VULN|6CDMG|7DUR|89LIT|9BPWR|aRCR
3	61332 12625	9	 * 	274.49	DCR|5VULN|2DMG|1AART	1DMSP|29DMG|3AART|4569aVULN|7BELT|8RCR|9BPWR
4	63452 18131	2	 * 	271.66	DCR|4VULN|3DUR|3TLV	1DMSP|2MBVNT|3789VULN|478TLV|578DUR|6TBNT|78BPWR|aRCR
5	61332 12622	10	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1DMSP|29DMG|3AART|4569VULN|7BELT|8RCR|9BPWR|aDUR
6	61332 12314	6	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1DMSP|29DMG|3AART|4567VULN|8DUR|aRCR
7	61332 62314	5	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1DMSP|29DMG|3AART|4567VULN|8DUR|aRCR
8	63422 68224	2	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1DMSP|2MBVNT|3467VULN|57DMG|7BPWR|8ASPD|9CDMG|aRCR
9	25363 32513	2	 * 	269.65	DCR|3VULN|3DUR|3ASPD|1AART	1AART|279ASPD|39FEWX|479VULN|578DUR|6BBNT|79BPWR|aRCR
10	64332 12632	9	 * 	269.45	DCR|4VULN|2DUR|2ASPD|1AART	1DMSP|2aASPD|3AART|456aVULN|7BELT|8RCR|9aDUR|aBPWR
11	61621 31125	4	 * 	269.25	DCR|4VULN|3DMG	1DMSP|245DMG|349aVULN|4BPWR|6ZMB|7LIT|8RCR
12	61623 31623	9	 * 	269.24	DCR|3VULN|3DMG|2DUR	1DMSP|24aDMG|34aVULN|4aBPWR|5ZMB|6MLV|7aDUR|8RCR|9LEGI
13	61332 12626	9	   	268.60	DCR|4VULN|2DMG|1CDMG|1AART	1DMSP|29DMG|3AART|4569VULN|7BELT|8RCR|9BPWR|aCDMG
14	61221 12643	9	   	266.99	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1DMSP|2aDMG|3aDUR|4MLV|5CDMG|6SELL|79aVULN|8RCR|aBPWR
15	21523 32514	1	 * 	265.32	DCR|2VULN|3DMG|3DUR|1AART	1AART|279BEXP|39VULN|479DMG|578DUR|6BBNT|79BPWR|aRCR
16	23323 32514	2	   	265.32	DCR|2VULN|3DMG|3DUR|1AART	1AART|279FEWX|39VULN|479DMG|578DUR|6BBNT|79BPWR|aRCR
17	32231 32514	3	   	265.32	DCR|2VULN|3DMG|3DUR|1AART	179BEXP|29VULN|379DMG|478DUR|5AART|6BBNT|79BPWR|aRCR
18	32236 32514	3	   	265.32	DCR|2VULN|3DMG|3DUR|1AART	179BEXP|29VULN|379DMG|478DUR|5BBNT|6AART|79BPWR|aRCR
19	23323 32614	2	   	265.32	DCR|2VULN|3DMG|3DUR|1AART	1AART|278FEWX|39VULN|479DMG|579DUR|6BBNT|79BPWR|aRCR
20	51431 33363	8	 * 	265.11	DCR|4VULN|2DMG|2CDMG|1SELL	1SELL|2689VULN|3RMIN|4FEWX|58CDMG|78DMG|8BPWR|aRCR
21	32521 63141	9	   	264.83	DCR|5VULN|2DMG	1BEXP|24569VULN|34LWND|4BPWR|7aDMG|8RCR
22	42121 63141	9	   	264.83	DCR|5VULN|2DMG	1LHND|24569VULN|34BEXP|4BPWR|7aDMG|8RCR
23	42521 22341	8	   	264.83	DCR|5VULN|2DMG	1LHND|24578VULN|34LWND|4BPWR|6RCR|9aDMG
24	12121 63141	9	   	264.73	DCR|5VULN|2DMG	1DUST|24569VULN|34BEXP|4BPWR|7aDMG|8RCR
25	12321 63141	9	   	264.73	DCR|5VULN|2DMG	1DUST|24569VULN|34LHND|4BPWR|7aDMG|8RCR
26	12521 63141	9	   	264.73	DCR|5VULN|2DMG	1DUST|24569VULN|34LWND|4BPWR|7aDMG|8RCR
27	32621 63141	9	   	264.73	DCR|5VULN|2DMG	14BEXP|24569VULN|3LEGI|4BPWR|7aDMG|8RCR
28	42321 22541	9	   	264.73	DCR|5VULN|2DMG	14LHND|24579VULN|3LEGI|4BPWR|6RCR|8aDMG
29	42321 22541	7	   	264.73	DCR|5VULN|2DMG	14LHND|24578VULN|3LEGI|4BPWR|6RCR|9aDMG
30	42321 63141	9	   	264.73	DCR|5VULN|2DMG	14LHND|24569VULN|3LEGI|4BPWR|7aDMG|8RCR
31	12621 63141	9	   	264.53	DCR|5VULN|2DMG	14DUST|24569VULN|3LEGI|4BPWR|7aDMG|8RCR
32	41123 13261	5	 * 	263.57	DCR|3VULN|3DUR|3CDMG	1LHND|289CDMG|3FEWX|4DUST|589DUR|6LIT|789VULN|89BPWR|aRCR
33	42521 22361	8	   	263.49	DCR|5VULN|1DMG|1TLV	1LHND|24578VULN|34LWND|4BPWR|6RCR|9TLV|aDMG
