0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35623 18411	4	 * 	307.44	DCR|3VULN|3DMG|2DUR|1TLV|1CDMG	139DMG|239VULN|39BPWR|4LIT|5CDMG|6MBVNT|79DUR|8RCR|aTLV
2	31312 35431	2	 * 	306.79	DCR|5VULN|3DMG|3CDMG	178DMG|26BEXP|3578aVULN|478CDMG|78BPWR|9RCR
3	31612 35431	3	   	306.79	DCR|5VULN|3DMG|3CDMG	178DMG|26BEXP|3578aVULN|478CDMG|78BPWR|9RCR
4	41626 33131	3	 * 	299.02	DCR|4VULN|3DUR|1DMG|1TLV|1ASPD	147DUR|234aVULN|4BPWR|5DMG|6TLV|8ASPD|9RCR
5	33661 61213	9	 * 	298.81	DCR|3VULN|3DMG|3DUR|1TLV	139DMG|239DUR|39BPWR|4RPLT|5LWND|6TLV|7RCR|89aVULN
6	31312 35432	2	   	298.25	DCR|4VULN|3DMG|3CDMG|1ASPD	178DMG|26BEXP|3578VULN|478CDMG|78BPWR|9RCR|aASPD
7	31612 35432	3	   	298.25	DCR|4VULN|3DMG|3CDMG|1ASPD	178DMG|26BEXP|3578VULN|478CDMG|78BPWR|9RCR|aASPD
8	35326 28414	2	 * 	298.08	DCR|4VULN|2DMG|2DUR|1CDMG	19DMG|239aVULN|4MBVNT|5CDMG|6LIT|79DUR|8RCR|9BPWR
9	35621 36313	9	   	298.08	DCR|4VULN|2DMG|2DUR|1CDMG	13DMG|2356VULN|3BPWR|4LIT|79DUR|8RCR|aCDMG
10	33312 22134	2	   	297.94	DCR|3VULN|3DMG|2DUR|2LIT|1CDMG	179DMG|27DUR|359VULN|4CDMG|67LIT|79BPWR|89FEWX|aRCR
11	33312 22234	2	   	297.94	DCR|3VULN|3DMG|2DUR|2LIT|1CDMG	179DMG|27DUR|359VULN|4CDMG|67LIT|79BPWR|89LWND|aRCR
12	35611 25212	9	   	297.92	DCR|5VULN|3DMG|2AART	136DMG|2356aVULN|36BPWR|48AART|7ERES|9RCR
13	35624 32311	5	   	297.61	DCR|3VULN|3DMG|2DUR|2TLV	138DMG|239VULN|39BPWR|4LIT|59TLV|69DUR|7RMIN|aRCR
14	35234 11631	2	 * 	295.50	DCR|3VULN|2DMG|3ASPD|2TLV|1CDMG	18DMG|268VULN|39TLV|4CDMG|568ASPD|68BPWR|7RCR|aLIT
15	35621 36312	10	   	295.43	DCR|4VULN|2DMG|2DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|79DUR|8RCR|aASPD
16	35326 64414	2	   	294.66	DCR|4VULN|3DMG|3LIT|1CDMG	19aDMG|239aVULN|4MBVNT|5CDMG|6RCR|7LWND|89aLIT|9aBPWR
17	35621 36321	8	   	294.09	DCR|4VULN|2DMG|2DUR	13DMG|2356VULN|3BPWR|4LIT|7aDUR|8RCR|9AART
18	35234 11632	2	   	293.51	DCR|3VULN|2DMG|3ASPD|2TLV|2CDMG	18DMG|268VULN|39TLV|4aCDMG|568ASPD|68BPWR|7RCR
19	35123 15352	3	   	292.65	DCR|3VULN|3DMG|2DUR|1CDMG	14aDMG|24aVULN|3RMIN|4aBPWR|5MLV|6AART|7CDMG|8RCR|9aDUR
20	35662 22131	4	   	292.15	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2357VULN|37BPWR|4RPLT|67LIT|8RCR|9MBVNT|aTLV
21	35662 22131	5	   	292.15	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2357VULN|37BPWR|4RPLT|67LIT|8RCR|9MBVNT|aTLV
