0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61261 33233	3	 * 	279.54	DCR|5VULN|1DMG|1TLV|1DUR	13ERES|23478VULN|3BPWR|5DMG|6TLV|9RCR|aDUR
2	55343 23333	9	   	278.95	DCR|5VULN|1DUR|2LIT|1ASPD|1AART	14LIT|2AART|34567VULN|4BPWR|8DUR|9ASPD|aRCR
3	61261 33314	3	 * 	274.59	DCR|4VULN|2DUR|1DMG|1TLV	13ERES|2347VULN|3BPWR|5DMG|6TLV|89DUR|aRCR
4	61261 33232	3	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	13ERES|23478VULN|3BPWR|5DMG|6TLV|9RCR|aASPD
5	31242 34153	10	   	272.39	DCR|4VULN|2DUR|1DMG|1CDMG	139CGEN|2389VULN|39BPWR|4RPLT|5DMG|6CDMG|79DUR|aRCR
6	11143 63521	8	 * 	272.05	DCR|4VULN|3DMG|1ASPD	158BEXP|2DUST|378aVULN|458DMG|58BPWR|6RCR|9ASPD
7	21324 33233	5	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1ASPD|2ERES|34578VULN|6TLV|9RCR|aDUR
8	61224 33233	5	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	13ERES|23578VULN|3BPWR|4ASPD|6TLV|9RCR|aDUR
9	61132 46113	6	   	268.60	DCR|3VULN|2DMG|1DUR|1TLV|1CDMG	18ERES|268VULN|3DUR|4CDMG|58DMG|7BBNT|8BPWR|9TLV|aRCR
10	55343 21323	8	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	14LIT|2AART|34569VULN|4BPWR|7CGEN|8DUR|aRCR
11	55343 22323	8	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	14LIT|2AART|34569VULN|4BPWR|7RMIN|8DUR|aRCR
12	31242 41213	5	   	267.35	DCR|4VULN|2DMG|1CDMG	13CGEN|236aVULN|36BPWR|4RPLT|56DMG|7RCR|8LIT|9CDMG
13	61242 41213	5	   	267.15	DCR|4VULN|2DMG|1CDMG	13ERES|236aVULN|36BPWR|4RPLT|56DMG|7RCR|8LIT|9CDMG
14	11143 63522	8	   	265.66	DCR|3VULN|3DMG|1TLV|1ASPD	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9ASPD|aTLV
15	11143 63532	8	   	265.66	DCR|3VULN|3DMG|1DUR|1ASPD	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9DUR|aASPD
16	21111 23144	1	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1ASPD|2MLV|3579VULN|46DUR|8TLV|aRCR
17	21324 33314	5	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	1ASPD|2ERES|3457VULN|6TLV|89DUR|aRCR
18	61224 33314	5	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	13ERES|2357VULN|3BPWR|4ASPD|6TLV|89DUR|aRCR
19	11121 11522	3	 * 	264.83	DCR|5VULN|2DMG	1aBEXP|2DUST|3457aVULN|6BELT|8aDMG|9RCR|aBPWR
20	21324 33232	5	 * 	264.44	DCR|5VULN|2ASPD|1TLV	1aASPD|2ERES|34578VULN|6TLV|9RCR
21	61224 33232	5	   	264.44	DCR|5VULN|2ASPD|1TLV	13ERES|23578VULN|3BPWR|4aASPD|6TLV|9RCR
22	11143 63533	8	   	264.31	DCR|3VULN|3DMG|1DUR|1AART	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9DUR|aAART
23	31242 43153	10	   	263.49	DCR|5VULN|1DMG|1DUR	13CGEN|2369aVULN|3BPWR|4RPLT|5DMG|7RCR|8DUR
24	31222 34153	10	   	263.33	DCR|4VULN|2DUR|1CDMG|1ASPD	139CGEN|2389VULN|39BPWR|4ASPD|5RPLT|6CDMG|79DUR|aRCR
25	61261 33231	3	   	263.19	DCR|5VULN|1DMG|1TLV	13ERES|23478VULN|3BPWR|5DMG|6TLV|9RCR|aDUST
26	61261 33234	3	   	263.19	DCR|5VULN|1DMG|1TLV	13ERES|23478VULN|3BPWR|5DMG|6TLV|9RCR|aBBNT
27	61261 33236	3	   	263.19	DCR|5VULN|1DMG|1TLV	13aERES|23478VULN|3BPWR|5DMG|6TLV|9RCR
28	55343 23133	9	   	262.70	DCR|5VULN|2LIT|1ASPD|1AART	14LIT|2AART|34567VULN|4BPWR|8LHND|9ASPD|aRCR
29	55343 23233	9	   	262.70	DCR|5VULN|2LIT|1ASPD|1AART	14LIT|2AART|34567VULN|4BPWR|8LWND|9ASPD|aRCR
30	55343 23311	7	   	262.70	DCR|5VULN|2LIT|1ASPD|1AART	14LIT|2AART|34567VULN|4BPWR|8ASPD|9RCR|aMLV
31	55343 23312	7	   	262.70	DCR|5VULN|2LIT|1ASPD|1AART	14LIT|2AART|34567VULN|4BPWR|8ASPD|9RCR|aBEXP
32	55343 23313	7	   	262.70	DCR|5VULN|2LIT|1ASPD|1AART	14LIT|2AART|34567VULN|4BPWR|8ASPD|9RCR|aRMIN
33	61221 13461	7	   	261.84	DCR|5VULN|2ASPD|1CDMG	135ERES|23679VULN|39BPWR|49ASPD|8RCR|aCDMG
34	31242 42112	5	   	261.14	DCR|4VULN|3DMG	138CGEN|2368VULN|368BPWR|4RPLT|568DMG|7TBNT|9BELT|aRCR
35	31242 46112	5	   	261.14	DCR|4VULN|3DMG	138CGEN|2368VULN|368BPWR|4RPLT|568DMG|7BBNT|9BELT|aRCR
36	11143 63511	9	   	261.04	DCR|4VULN|3DMG	158BEXP|2DUST|378aVULN|458DMG|58BPWR|6RCR|9CGEN
37	11143 63521	9	   	261.04	DCR|4VULN|3DMG	158BEXP|2DUST|378aVULN|458DMG|58BPWR|6RCR|9ZMB
38	31242 41413	5	   	261.04	DCR|4VULN|3DMG	138CGEN|2369VULN|36BPWR|4RPLT|56aDMG|7RCR
39	31242 41613	5	   	261.04	DCR|4VULN|3DMG	13CGEN|2369VULN|36BPWR|48RPLT|56aDMG|7RCR
40	31242 41215	5	   	260.96	DCR|3VULN|2DMG|1DUR|1CDMG	13CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|8LIT|9CDMG|aDUR
41	31242 43413	8	   	260.94	DCR|4VULN|3DMG	13CGEN|2369VULN|3BPWR|4RPLT|58aDMG|7RCR
