0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12255 43121	7	 * 	309.51	DCR|4VULN|3DUR|2DMG|3LIT	158aVULN|2BEXP|38aDUR|468LIT|7RCR|8aBPWR|9aDMG
2	11363 55122	3	 * 	307.10	DCR|4VULN|2DMG|2DUR|2ASPD	139aVULN|24DUR|5aDMG|6AART|7RCR|8aASPD|aBPWR
3	15163 33236	6	 * 	304.18	DCR|5VULN|3ASPD|3CDMG|1DMG	13568VULN|238CDMG|38BPWR|489ASPD|7RCR|aDMG
4	14542 22231	9	 * 	300.65	DCR|5VULN|3DMG|3TLV	1489aVULN|289TLV|3RCVC|5RPLT|689DMG|7RCR|89aBPWR
5	15163 33233	6	   	300.37	DCR|5VULN|3ASPD|3CDMG|1DUR	13568VULN|238CDMG|38BPWR|489ASPD|7RCR|aDUR
6	11611 42522	6	   	299.11	DCR|4VULN|3DUR|2DMG	139aVULN|23aDUR|3aBPWR|4ZMB|5DUST|6RCR|7aDMG|8AART
7	14542 22232	9	   	297.36	DCR|4VULN|3DMG|3TLV|1DUR	1489VULN|289TLV|3RCVC|5RPLT|689DMG|7RCR|89BPWR|aDUR
8	11361 42522	6	   	296.79	DCR|4VULN|2DMG|2DUR|1ASPD	139aVULN|2aDUR|4ASPD|5DUST|6RCR|7aDMG|8AART|aBPWR
9	11411 42522	6	   	296.79	DCR|4VULN|2DMG|2DUR|1ASPD	149aVULN|2aDUR|3ASPD|5DUST|6RCR|7aDMG|8AART|aBPWR
10	14215 53311	3	   	296.19	DCR|4VULN|2DMG|2DUR|3TLV	139aVULN|235TLV|3aBPWR|4BEXP|6aDUR|7RCR|8aDMG
11	11663 22612	9	   	296.00	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	1356VULN|23DUR|3BPWR|48ASPD|7TLV|9RCR|aDMG
12	11665 22212	9	   	296.00	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	1368VULN|23DUR|3BPWR|45ASPD|7TLV|9RCR|aDMG
13	14242 22215	10	   	295.90	DCR|5VULN|2DMG|3TLV|1ASPD	1348aVULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9ASPD
14	15163 33332	6	   	295.80	DCR|5VULN|2DMG|2CDMG|1ASPD	13569VULN|23CDMG|3BPWR|4ASPD|7RCR|8aDMG
15	11331 28128	6	   	295.43	DCR|4VULN|2DMG|2DUR|1ASPD	138aVULN|28DUR|4LIT|5MBVNT|6ASPD|78DMG|8BPWR|9RCR
16	14242 22225	9	   	295.25	DCR|4VULN|2DMG|3TLV|1DUR|1CDMG	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aCDMG
17	15163 33331	6	   	294.46	DCR|5VULN|1DMG|2CDMG|1TLV|1ASPD	13569VULN|23CDMG|3BPWR|4ASPD|7RCR|8DMG|aTLV
18	12255 43131	7	 * 	293.08	DCR|4VULN|3DUR|2ASPD|3LIT	158aVULN|2BEXP|38aDUR|468LIT|7RCR|8aBPWR|9aASPD
19	14242 22224	10	   	292.61	DCR|4VULN|2DMG|3TLV|1DUR|1ASPD	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aASPD
20	11353 55122	3	   	292.51	DCR|4VULN|2DMG|2ASPD|1DUR	139aVULN|2DUR|4RCVC|5aDMG|6AART|7RCR|8aASPD|aBPWR
