0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24223 53125	9	 * 	291.40	DCR|5VULN|3DUR|1DMG	1ZMB|24579VULN|345DUR|45BPWR|6RPLT|8DMG|aRCR
2	64263 12213	5	   	291.07	DCR|4VULN|3DUR|1DMG|1ASPD	1ASPD|2457VULN|356DUR|5BPWR|8DMG|9RCR|aLIT
3	64263 32213	6	   	291.07	DCR|4VULN|3DUR|1DMG|1ASPD	1ASPD|2457VULN|356DUR|5BPWR|8DMG|9RCR|aLIT
4	24223 16133	5	   	287.79	DCR|5VULN|3DUR|1TLV	18ZMB|24589VULN|345DUR|458BPWR|68MLV|7RCR|aTLV
5	24223 66132	5	   	287.79	DCR|5VULN|3DUR|1TLV	18ZMB|24589VULN|345DUR|458BPWR|68CGEN|7RCR|aTLV
6	24223 35325	7	   	287.59	DCR|5VULN|3DUR|1TLV	1ZMB|24568VULN|345DUR|45BPWR|7DMSP|9TLV|aRCR
7	24223 22241	9	   	286.92	DCR|4VULN|3DUR|1DMG|2LIT	19ZMB|2459VULN|345DUR|459BPWR|6LWND|7DMG|89LIT|aRCR
8	24223 62241	9	   	286.92	DCR|4VULN|3DUR|1DMG|2LIT	19ZMB|2459VULN|345DUR|459BPWR|6FEWX|7DMG|89LIT|aRCR
9	64263 12212	5	   	282.77	DCR|4VULN|3DUR|1DMG|1ASPD	1ASPD|2457VULN|356DUR|5BPWR|8DMG|9RCR|aDMSP
10	64263 32212	6	   	282.77	DCR|4VULN|3DUR|1DMG|1ASPD	1ASPD|2457VULN|356DUR|5BPWR|8DMG|9RCR|aDMSP
11	64263 12211	5	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1ASPD|2457VULN|356DUR|5BPWR|8DMG|9RCR|aERES
12	64263 32211	6	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1ASPD|2457VULN|356DUR|5BPWR|8DMG|9RCR|aERES
13	24223 31355	6	   	282.34	DCR|5VULN|3DUR|1ASPD	1ZMB|24569VULN|345DUR|45BPWR|7ASPD|8RPLT|aRCR
14	62333 22461	5	 * 	281.56	DCR|4VULN|2DMG|2ASPD|2LIT	17ASPD|25DMG|3578VULN|4RMIN|57BPWR|67LIT|9RCR|aRPLT
15	62333 22462	5	   	281.56	DCR|4VULN|2DMG|2ASPD|2LIT	17ASPD|25DMG|3578VULN|4RMIN|57BPWR|67LIT|9RCR|aLHND
16	62333 22463	5	   	281.46	DCR|4VULN|2DMG|2ASPD|2LIT	17ASPD|25DMG|3578VULN|4RMIN|57BPWR|67LIT|9RCR|aERES
17	24223 15251	7	   	280.17	DCR|4VULN|3DUR|1DMG	1ZMB|2459VULN|345DUR|45BPWR|6BELT|7RCR|8LIT|aDMG
18	24223 35213	7	   	280.17	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|345DUR|45BPWR|7DMSP|8DMG|9RCR|aLIT
19	24263 62213	6	   	280.07	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|357DUR|5BPWR|8DMG|9RCR|aLIT
20	24223 33652	9	   	279.85	DCR|5VULN|3DUR	18ZMB|24568VULN|345DUR|458BPWR|78LWND|9LIT|aRCR
21	24223 31652	9	   	279.65	DCR|5VULN|3DUR	18ZMB|24568VULN|345DUR|458BPWR|78DUST|9LIT|aRCR
22	62632 13213	7	 * 	279.51	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	1ASPD|29aDMG|3CDMG|4LWND|59aVULN|6DUR|7RCR|89aFEWX|9aBPWR
