0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54331 13113	2	 * 	284.17	DCR|5VULN|3DMG|2AART	136DMG|2378aVULN|3BPWR|45AART|9RCR
2	11216 16431	1	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	138VULN|2LWND|4RMIN|5AART|68DUR|78DMG|8BPWR|9TLV|aRCR
3	54335 11113	2	   	276.39	DCR|5VULN|3DMG|1AART	136DMG|2358aVULN|3BPWR|4AART|7RCVC|9RCR
4	54362 12312	10	 * 	275.70	ACR|5VULN|3DMG|1TLV|2LIT	14aDMG|2489aVULN|3RCR|4aBPWR|5CGEN|6TLV|7aLIT
5	12341 11325	10	 * 	275.57	DCR|3VULN|2TLV|2DUR|2CDMG|2ASPD	18aVULN|28CDMG|3aCGEN|45TLV|6RCR|78ASPD|8aBPWR|9aDUR
6	13153 51161	2	 * 	275.43	DCR|4VULN|2DMG|2TLV	1368VULN|2MLV|4BELT|58TLV|78DMG|8BPWR|9RCR|aLIT
7	12111 46325	10	   	275.37	DCR|3VULN|2TLV|2DUR|2CDMG|2ASPD	18aVULN|28CDMG|3aASPD|45TLV|6RCR|78ERES|8aBPWR|9aDUR
8	15133 21264	3	 * 	272.34	DCR|3VULN|3DUR|2TLV|1DMG	168VULN|28TLV|3LEGI|4MBVNT|578DUR|8BPWR|9RCR|aDMG
9	15433 21264	2	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	168VULN|28TLV|3LEGI|4MBVNT|578DUR|8BPWR|9RCR|aDMG
10	53211 11525	5	   	269.71	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	1DMG|24TLV|34aDUR|4BPWR|57VULN|6LIT|8CDMG|9RCR
11	53221 23542	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|2TLV|38DUR|4RCVC|568VULN|7BELT|8BPWR|9RMIN|aRCR
12	53221 23552	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|2TLV|38DUR|4RCVC|568VULN|7BELT|8BPWR|9CGEN|aRCR
13	56211 13132	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|2RMIN|34DUR|4BPWR|579VULN|6TLV|8BELT|aRCR
14	53123 12236	2	   	268.60	DCR|4VULN|2DMG|1TLV|1AART	19DMG|2TLV|3AART|4TBNT|589aVULN|69BEXP|7RCR|9BPWR
