0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62631 41123	9	 * 	287.40	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	1467VULN|29DMG|3ASPD|56LIT|6BPWR|8DUR|aRCR
2	62663 33224	6	 * 	287.13	DCR|4VULN|2DMG|2DUR|1ASPD	156aVULN|2aDMG|3ASPD|4MBVNT|7RCR|8LWND|9aDUR|aBPWR
3	62611 12322	10	 * 	285.23	DCR|4VULN|2ASPD|2TLV|1DMG|1DUR	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aDUR
4	62611 12325	9	   	285.23	DCR|4VULN|2ASPD|2TLV|1DMG|1DUR	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aDUR
5	62611 12326	10	   	282.63	DCR|4VULN|2ASPD|2TLV|1DMG|1CDMG	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aCDMG
6	22122 53535	2	 * 	281.22	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|3BBNT|457DUR|6789VULN|7BPWR|aRCR
7	62631 51123	9	   	280.75	DCR|4VULN|2DMG|1DUR|1ASPD	1467VULN|29DMG|3ASPD|5LIT|8DUR|aRCR
8	61121 41522	1	 * 	275.84	DCR|2VULN|3DMG|3ASPD|2TLV|1CDMG	18VULN|259DMG|358ASPD|4TBNT|58BPWR|6RCR|78TLV|aCDMG
9	61131 41522	1	   	275.84	DCR|2VULN|3DMG|3ASPD|2TLV|1CDMG	18VULN|259DMG|358ASPD|4BBNT|58BPWR|6RCR|78TLV|aCDMG
10	62121 41522	2	   	275.84	DCR|2VULN|3DMG|3ASPD|2TLV|1CDMG	18VULN|259DMG|358ASPD|4TBNT|58BPWR|6RCR|78TLV|aCDMG
11	62131 41522	2	   	275.84	DCR|2VULN|3DMG|3ASPD|2TLV|1CDMG	18VULN|259DMG|358ASPD|4BBNT|58BPWR|6RCR|78TLV|aCDMG
12	61323 43361	1	   	273.63	DCR|4VULN|2DMG|2AART|1ASPD	158aVULN|24DMG|36AART|7ASPD|9RCR
13	62323 43361	2	   	273.63	DCR|4VULN|2DMG|2AART|1ASPD	158aVULN|24DMG|36AART|7ASPD|9RCR
14	62523 25221	8	 * 	272.34	DCR|3VULN|2DMG|2TLV|2CDMG|1AART	178VULN|27DMG|34TLV|5CGEN|67CDMG|7BPWR|9AART|aRCR
15	62612 15132	10	 * 	271.95	DCR|2VULN|3DMG|2DUR|2ASPD	18VULN|258DMG|35ASPD|4BELT|58BPWR|6LIT|78DUR|9FEWX|aRCR
16	62631 41311	9	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	1467VULN|28DMG|3ASPD|56LIT|6BPWR|9RCR|aFEWX
17	62631 41311	10	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	1467VULN|28DMG|3ASPD|56LIT|6BPWR|9RCR|aRMIN
18	62631 41312	10	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	1467VULN|28DMG|3ASPD|56LIT|6BPWR|9RCR|aFEWX
19	62631 41313	9	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	1467VULN|28DMG|3ASPD|56LIT|6BPWR|9RCR|aRMIN
20	62631 41313	10	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	1467VULN|28DMG|3ASPD|56LIT|6BPWR|9RCR|aCGEN
21	62631 41312	9	   	271.05	DCR|4VULN|2DMG|2LIT|1ASPD	1467VULN|28DMG|3ASPD|56LIT|6BPWR|9RCR|aBBNT
22	63323 51335	9	 * 	270.71	DCR|4VULN|3DMG|1AART	157aVULN|27DUST|3AART|4DMSP|67aDMG|7aBPWR|8aLHND|9RCR
23	22333 46126	1	 * 	270.33	DCR|3VULN|3DUR|2ASPD|2TLV	19ASPD|29aVULN|34TLV|5BEXP|6RCR|789DUR|9BPWR
24	22331 46126	1	   	270.23	DCR|3VULN|3DUR|2ASPD|2TLV	19ASPD|29aVULN|34TLV|5DUST|6RCR|789DUR|9BPWR
25	62631 41223	6	   	269.81	DCR|4VULN|1DMG|1DUR|2LIT|1ASPD	1469VULN|2DMG|3ASPD|56LIT|6BPWR|7DUR|8BEXP|aRCR
26	62631 42323	8	   	269.81	DCR|4VULN|1DMG|1DUR|2LIT|1ASPD	1469VULN|2DMG|3ASPD|56LIT|6BPWR|7BEXP|8DUR|aRCR
27	62611 12321	9	   	268.98	DCR|4VULN|2ASPD|2TLV|1DMG	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aFEWX
28	62611 12322	9	   	268.98	DCR|4VULN|2ASPD|2TLV|1DMG	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aCGEN
29	62611 12323	9	   	268.98	DCR|4VULN|2ASPD|2TLV|1DMG	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aBEXP
30	62611 12324	9	   	268.98	DCR|4VULN|2ASPD|2TLV|1DMG	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aZMB
31	62611 12312	10	   	268.88	DCR|4VULN|2ASPD|2TLV|1DMG	167aVULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9MBVNT
32	62611 12323	10	   	268.88	DCR|4VULN|2ASPD|2TLV|1DMG	1679VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|aDUST
33	62611 12324	10	 * 	268.88	DCR|4VULN|2ASPD|3TLV|1DMG	1679VULN|2DMG|37ASPD|4BELT|57aTLV|7BPWR|8RCR
34	62611 12332	10	   	268.88	DCR|4VULN|2ASPD|2TLV|1DMG	167aVULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9DUST
35	62633 32223	9	 * 	268.32	DCR|3VULN|2DMG|2ASPD|1DUR	146VULN|29DMG|37ASPD|5DUR|8LIT|aRCR
36	62223 53243	4	 * 	268.28	DCR|2VULN|3DUR|3CDMG|2TLV|1DMG	19VULN|2DMG|369DUR|478CDMG|59TLV|9BPWR|aRCR
37	61323 51334	1	   	267.77	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	157VULN|24DMG|3AART|6LIT|8ASPD|9DUR|aRCR
38	62323 51334	2	   	267.77	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	157VULN|24DMG|3AART|6LIT|8ASPD|9DUR|aRCR
39	62253 42323	4	 * 	266.71	DCR|3VULN|3DUR|2DMG	179VULN|29DMG|35aDUR|4ERES|6RCR|89FEWX|9BPWR
40	62253 42123	4	   	266.51	DCR|3VULN|3DUR|2DMG	179VULN|29DMG|35aDUR|4ERES|6RCR|89DUST|9BPWR
41	62614 12322	10	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	1679VULN|2DMG|37ASPD|4BELT|57CGEN|7BPWR|8RCR|aDUR
42	61611 12332	10	   	265.16	DCR|4VULN|2ASPD|2TLV|1DUR	1679VULN|2CGEN|37ASPD|4BELT|57TLV|7BPWR|8RCR|aDUR
43	61611 12335	9	   	265.16	DCR|4VULN|2ASPD|2TLV|1DUR	1679VULN|2CGEN|37ASPD|4BELT|57TLV|7BPWR|8RCR|aDUR
44	65611 12332	10	   	265.06	DCR|4VULN|2ASPD|2TLV|1DUR	1679VULN|2ERES|37ASPD|4BELT|57TLV|7BPWR|8RCR|aDUR
45	62631 43123	9	   	264.76	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	146VULN|29DMG|3ASPD|56LIT|6BPWR|7DMSP|8DUR|aRCR
