0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35113 52215	1	 * 	272.42	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1aASPD|24DMG|34aVULN|4aBPWR|5BEXP|6CDMG|7BBNT|8RCR|9aDUR
2	46312 12422	4	 * 	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1aCGEN|2aDUR|3TLV|4DMG|567aVULN|8BBNT|9RCR|aBPWR
3	32351 35212	7	 * 	270.91	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8DUR|9RCR|aTLV
4	32351 35612	8	   	270.91	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8DUR|9RCR|aTLV
5	32351 31442	10	 * 	269.40	DCR|3VULN|3DMG|2ASPD|1DUR|1AART	18ASPD|2ERES|358DMG|4AART|678VULN|8BPWR|9DUR|aRCR
6	34321 23156	1	   	269.06	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9DUR|aTLV
7	32525 12222	1	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1aASPD|2TBNT|357aVULN|4CGEN|6TLV|8aDUR|9RCR|aBPWR
8	36342 12422	4	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1aASPD|2aDUR|3CGEN|4TLV|567aVULN|8BBNT|9RCR|aBPWR
9	36352 61113	9	 * 	268.18	DCR|3VULN|3DUR|1TLV|3ASPD	19aASPD|29aDUR|3CGEN|4RPLT|5RMIN|6TLV|79aVULN|8RCR|9aBPWR
10	34321 21223	1	 * 	267.07	DCR|5VULN|1DMG|2AART|2ASPD	17ASPD|24567VULN|38AART|7BPWR|9DMG|aRCR
11	31432 12421	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567aVULN|8BBNT|9RCR
12	34432 12421	2	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567aVULN|8BBNT|9RCR
13	36432 12421	2	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3DMG|4TLV|567aVULN|8BBNT|9RCR
14	36512 12421	4	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3TLV|4DMG|567aVULN|8BBNT|9RCR
15	34321 21563	1	 * 	265.44	DCR|5VULN|1TLV|2ASPD|1AART	17ASPD|24567VULN|3AART|7BPWR|8BEXP|9TLV|aRCR
