0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44151 23313	2	 * 	284.85	DCR|4VULN|2DMG|1DUR|1CDMG|1AART	1CDMG|245aVULN|34DMG|4BPWR|6LHND|7AART|8RCR|9DUR
2	44153 13331	2	 * 	283.21	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	16CDMG|24aVULN|34DMG|46BPWR|56DUR|7AART|8RCR|9DMSP
3	44151 13313	2	 * 	277.86	DCR|3VULN|3DMG|1DUR|1CDMG|1AART	1CDMG|245VULN|34aDMG|4BPWR|6FEWX|7AART|8RCR|9DUR
4	44153 13313	2	 * 	277.83	DCR|2VULN|3DUR|2DMG|2CDMG|1AART	16CDMG|24VULN|34DMG|46BPWR|569DUR|7AART|8RCR|aLIT
5	44153 23311	2	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1CDMG|24aVULN|34DMG|4BPWR|59DUR|6RCVC|7AART|8RCR
6	44153 13312	2	 * 	275.57	DCR|2VULN|3DUR|2DMG|3CDMG|1AART	16aCDMG|24VULN|34DMG|46BPWR|569DUR|7AART|8RCR
7	12342 33512	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1DMSP|2aCDMG|36VULN|4aDMG|5TLV|7ASPD|8RCR|9aDUR|aBPWR
8	12342 33632	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1DMSP|2aCDMG|36VULN|4aDMG|5TLV|7ASPD|8aDUR|9RCR|aBPWR
9	32342 33512	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1RCVC|2aCDMG|36VULN|4aDMG|5TLV|7ASPD|8RCR|9aDUR|aBPWR
10	32342 33632	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1RCVC|2aCDMG|36VULN|4aDMG|5TLV|7ASPD|8aDUR|9RCR|aBPWR
11	12342 43512	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1DMSP|2aCDMG|37VULN|4aDMG|5TLV|6ASPD|8RCR|9aDUR|aBPWR
12	12342 43632	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1DMSP|2aCDMG|37VULN|4aDMG|5TLV|6ASPD|8aDUR|9RCR|aBPWR
13	32342 43512	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1RCVC|2aCDMG|37VULN|4aDMG|5TLV|6ASPD|8RCR|9aDUR|aBPWR
14	32342 43632	10	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1RCVC|2aCDMG|37VULN|4aDMG|5TLV|6ASPD|8aDUR|9RCR|aBPWR
15	44323 33231	4	 * 	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1CDMG|28aVULN|3CGEN|4ERES|58DMG|6DUR|78ASPD|8BPWR|9RCR
16	12333 16463	6	 * 	273.31	DCR|3VULN|2DMG|3CDMG|1DUR	1DMSP|24aCDMG|39aVULN|5DUR|6LIT|7RCR|8aDMG|aBPWR
17	32333 16463	6	   	273.31	DCR|3VULN|2DMG|3CDMG|1DUR	1RCVC|24aCDMG|39aVULN|5DUR|6LIT|7RCR|8aDMG|aBPWR
18	44151 13333	2	   	272.62	DCR|3VULN|3DMG|1CDMG|1ASPD|1AART	1CDMG|245VULN|34aDMG|4BPWR|6FEWX|7AART|8RCR|9ASPD
19	44151 23333	2	   	272.62	DCR|3VULN|3DMG|1CDMG|1ASPD|1AART	1CDMG|245VULN|34aDMG|4BPWR|6LHND|7AART|8RCR|9ASPD
20	44153 13311	2	   	269.43	DCR|2VULN|3DUR|2DMG|2CDMG|1AART	16CDMG|24VULN|34DMG|46BPWR|569DUR|7AART|8RCR|aERES
21	12342 33215	10	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1DMSP|2CDMG|3689VULN|4DMG|5TLV|7ASPD|aRCR
22	32342 33215	10	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1RCVC|2CDMG|3689VULN|4DMG|5TLV|7ASPD|aRCR
23	12342 43215	10	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1DMSP|2CDMG|3789VULN|4DMG|5TLV|6ASPD|aRCR
24	32342 43215	10	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1RCVC|2CDMG|3789VULN|4DMG|5TLV|6ASPD|aRCR
25	44151 23323	2	   	268.50	DCR|4VULN|2DMG|1CDMG|1AART	1CDMG|245aVULN|34DMG|4BPWR|6LHND|7AART|8RCR|9TBNT
26	44141 23313	2	   	267.16	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1CDMG|245aVULN|3DMG|6LHND|7AART|8RCR|9DUR
27	44324 23231	4	 * 	266.94	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	1CDMG|28aVULN|3CGEN|4ERES|58DUR|6TLV|78ASPD|8BPWR|9RCR
28	44143 13331	2	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	16CDMG|24aVULN|3DMG|56DUR|6BPWR|7AART|8RCR|9DMSP
29	12343 51115	10	 * 	265.35	DCR|4VULN|2DMG|2CDMG	1DMSP|27CDMG|3679VULN|47DMG|5RCVC|7BPWR|8LWND|aRCR
30	32343 51115	10	   	265.35	DCR|4VULN|2DMG|2CDMG	15RCVC|27CDMG|3679VULN|47DMG|7BPWR|8LWND|aRCR
