0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11622 12131	1	 * 	288.98	DCR|4VULN|2DMG|2TLV|1CDMG	19DUST|2489VULN|34TLV|49BPWR|5ASPD|69DMG|7RCR|aCDMG
2	22643 45136	7	 * 	285.25	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|28aDUR|38aVULN|4CDMG|5MLV|68aDMG|7RCR|8aBPWR|9RMIN
3	22644 45136	7	   	285.15	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|28aDUR|38aVULN|4CDMG|5ERES|68aDMG|7RCR|8aBPWR|9RMIN
4	22726 12148	1	 * 	283.92	DCR|5VULN|2TLV|1DMG|1DUR	1MBVNT|2458aVULN|34TLV|4BPWR|6DUR|7RCR|9DMG
5	31123 64121	2	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678aVULN|8BPWR|9RCR
6	31123 64121	1	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678aVULN|8BPWR|9RCR
7	31121 64121	2	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5ERES|678aVULN|8BPWR|9RCR
8	31121 64121	1	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5ERES|678aVULN|8BPWR|9RCR
9	44332 32314	1	 * 	281.95	DCR|3VULN|3DUR|2DMG|1TLV	124DUR|34DMG|4BPWR|5TLV|6BELT|789VULN|aRCR
10	41626 12111	1	 * 	281.17	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19DUR|248VULN|34TLV|4BPWR|5DMG|6ASPD|7RCR|aCDMG
11	11662 12131	1	   	280.80	DCR|4VULN|2DMG|1TLV|1CDMG	19DUST|2489VULN|3TLV|5ASPD|69DMG|7RCR|9BPWR|aCDMG
12	22726 12448	1	 * 	280.17	DCR|4VULN|2TLV|2DUR|1DMG	1MBVNT|245aVULN|34TLV|4BPWR|68DUR|7RCR|9DMG
13	51626 12131	1	   	279.43	DCR|4VULN|2TLV|1DMG|2ASPD|1CDMG	19FEWX|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aCDMG
14	61626 12131	1	   	279.43	DCR|4VULN|2TLV|1DMG|2ASPD|1CDMG	19BEXP|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aCDMG
15	11626 12131	1	   	279.23	DCR|4VULN|2TLV|1DMG|2ASPD|1CDMG	19DUST|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aCDMG
16	22437 34431	10	   	277.93	DCR|4VULN|2DUR|1TLV|2ASPD|1AART	1MBVNT|29DUR|3TLV|469aVULN|59ASPD|7AART|8RCR|9BPWR
17	22437 34431	9	   	277.93	DCR|4VULN|2DUR|1TLV|2ASPD|1AART	1MBVNT|29DUR|3TLV|469aVULN|59ASPD|7AART|8RCR|9BPWR
18	22437 34451	8	   	277.93	DCR|4VULN|2DUR|1TLV|2ASPD|1AART	1MBVNT|29DUR|3TLV|469aVULN|59ASPD|7AART|8RCR|9BPWR
19	22285 44114	3	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28DUR|3RPLT|4TLV|568VULN|78DMG|8BPWR|9ASPD|aRCR
20	22433 74114	5	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28DUR|3TLV|458VULN|6RPLT|78DMG|8BPWR|9ASPD|aRCR
21	22437 34432	10	   	276.95	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD|1AART	1MBVNT|29DUR|3TLV|469VULN|59ASPD|7AART|8RCR|9BPWR|aDMG
22	31121 64125	2	   	275.87	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1BELT|28TLV|38DMG|4DUR|5ERES|678VULN|8BPWR|9RCR|aCDMG
23	31121 64125	1	   	275.87	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1BELT|28TLV|38DMG|4DUR|5ERES|678VULN|8BPWR|9RCR|aCDMG
24	22436 18338	4	 * 	275.82	ACR|5VULN|2DMG|2DUR|1TLV	1MBVNT|28DUR|3TLV|4789aVULN|5RCR|68DMG|8BPWR
25	51236 23324	1	 * 	275.76	DCR|5VULN|3DUR|1AART	179FEWX|24789VULN|379DUR|5AART|6RCR|79BPWR|aLIT
26	11622 12133	1	   	275.33	DCR|4VULN|2DMG|2TLV	19DUST|2489VULN|34TLV|49BPWR|5ASPD|69DMG|7RCR|aCGEN
27	11622 12136	1	   	275.33	DCR|4VULN|2DMG|2TLV	19DUST|2489VULN|34TLV|49BPWR|5ASPD|69DMG|7RCR|aFEWX
28	11622 12145	1	   	275.33	DCR|4VULN|2DMG|2TLV	1aDUST|248aVULN|34TLV|4aBPWR|5ASPD|6aDMG|7RCR|9RPLT
29	11622 12134	1	   	275.23	DCR|4VULN|2DMG|2TLV	19DUST|2489VULN|34TLV|49BPWR|5ASPD|69DMG|7RCR|aERES
30	11622 12431	1	   	275.23	DCR|4VULN|2DMG|2TLV	189DUST|249aVULN|34TLV|49BPWR|5ASPD|69DMG|7RCR
31	22726 12111	1	   	273.75	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|2458VULN|34TLV|4BPWR|69DUR|7RCR|aCDMG
32	22411 45612	3	 * 	273.64	DCR|2VULN|3DUR|2DMG|2TLV	1MBVNT|279DUR|3aTLV|4LIT|5aVULN|6RCR|8aDMG|aBPWR
33	22726 12411	1	 * 	273.33	DCR|4VULN|3DUR|2TLV	1MBVNT|245aVULN|34TLV|4BPWR|689DUR|7RCR
34	22433 24416	9	 * 	272.54	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|27aDUR|3aTLV|457VULN|67LWND|7aBPWR|8aCDMG|9RCR
35	11666 12131	1	   	271.05	DCR|4VULN|1TLV|1DMG|2ASPD|1CDMG	19DUST|2489VULN|3TLV|5DMG|69ASPD|7RCR|9BPWR|aCDMG
36	41626 12223	1	   	270.91	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1DUR|249VULN|34TLV|4BPWR|5DMG|6ASPD|7RCR|8AART|aLIT
37	22311 57162	2	   	270.80	DCR|3VULN|3DUR|2DMG|2LIT	1MBVNT|267DUR|3aDMG|47LIT|57aVULN|7aBPWR|8RCR|9aCGEN
38	51236 23621	1	   	270.19	DCR|4VULN|2DUR|1TLV|1AART	17FEWX|2479VULN|37DUR|5AART|6RCR|7BPWR|8ASPD|aTLV
39	51236 23353	1	   	270.19	DCR|4VULN|2DUR|1TLV|1AART	17FEWX|2478VULN|37DUR|5AART|6RCR|7BPWR|9TLV|aLIT
40	22437 34434	9	   	270.11	DCR|3VULN|3DUR|1TLV|2ASPD|1AART	1MBVNT|29aDUR|3TLV|469VULN|59ASPD|7AART|8RCR|9BPWR
41	22437 34454	8	   	270.11	DCR|3VULN|3DUR|1TLV|2ASPD|1AART	1MBVNT|29aDUR|3TLV|469VULN|59ASPD|7AART|8RCR|9BPWR
42	51236 23351	1	   	269.96	DCR|4VULN|2TLV|2DUR|1AART	17FEWX|2478VULN|37DUR|5AART|6RCR|7BPWR|9aTLV
43	22236 18338	1	 * 	269.32	ACR|5VULN|2DMG|2TLV|1DUR	1MBVNT|2789aVULN|3DUR|48TLV|5RCR|68DMG|8BPWR
44	34223 66121	1	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1BELT|2RCVC|38DUR|48aVULN|5CGEN|6TLV|78DMG|8BPWR|9RCR
45	34221 66121	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1BELT|2RCVC|38DUR|48aVULN|5ERES|6TLV|78DMG|8BPWR|9RCR
46	27714 24113	1	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	1MBVNT|2AART|3BBNT|47aDMG|57DUR|67aVULN|7aBPWR|8RCR|9aCGEN
47	31113 26332	2	 * 	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1BELT|29TLV|347DMG|59DUR|69VULN|8MBVNT|9BPWR|aRCR
48	31113 26332	1	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1BELT|29TLV|347DMG|59DUR|69VULN|8MBVNT|9BPWR|aRCR
49	31135 41623	3	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	1BELT|27TLV|37aVULN|4DMG|5LHND|67DUR|7BPWR|8ASPD|9RCR
50	22433 13357	1	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1MBVNT|278VULN|38DUST|4TLV|5DUR|68DMG|8BPWR|9RCR|aCDMG
51	41626 12113	1	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|248VULN|34TLV|4BPWR|5DMG|6ASPD|7RCR|aCGEN
52	43536 23322	3	   	267.45	DCR|5VULN|3DUR|1AART	179DUR|279FEWX|34789VULN|5AART|6RCR|79BPWR|aDMSP
53	43331 23324	5	   	267.45	DCR|5VULN|3DUR|1AART	179DUR|279FEWX|3RCVC|4789aVULN|5AART|6RCR|79BPWR
54	43336 23324	4	   	267.45	DCR|5VULN|3DUR|1AART	179DUR|279FEWX|3RCVC|4789aVULN|5AART|6RCR|79BPWR
55	51236 23322	1	   	267.45	DCR|5VULN|3DUR|1AART	179FEWX|24789VULN|379DUR|5AART|6RCR|79BPWR|aDMSP
56	51236 23325	1	   	267.45	DCR|5VULN|3DUR|1AART	179FEWX|24789VULN|379DUR|5AART|6RCR|79BPWR|aRPLT
57	51236 23326	1	   	267.45	DCR|5VULN|3DUR|1AART	179FEWX|24789VULN|379DUR|5AART|6RCR|79BPWR|aBELT
58	22643 45116	7	 * 	267.37	DCR|2VULN|3DUR|2DMG|2CDMG|2ASPD	1MBVNT|28aDUR|38VULN|4aCDMG|5MLV|68DMG|7RCR|8aBPWR|9aASPD
59	43536 23321	3	   	267.35	DCR|5VULN|3DUR|1AART	179DUR|279FEWX|34789VULN|5AART|6RCR|79BPWR|aDUST
60	43536 23323	3	   	267.35	DCR|5VULN|3DUR|1AART	179DUR|279FEWX|34789VULN|5AART|6RCR|79BPWR|aERES
61	51236 23321	1	   	267.35	DCR|5VULN|3DUR|1AART	179FEWX|24789VULN|379DUR|5AART|6RCR|79BPWR|aDUST
62	51236 23323	1	   	267.35	DCR|5VULN|3DUR|1AART	179FEWX|24789VULN|379DUR|5AART|6RCR|79BPWR|aERES
63	22644 45116	7	   	267.27	DCR|2VULN|3DUR|2DMG|2CDMG|2ASPD	1MBVNT|28aDUR|38VULN|4aCDMG|5ERES|68DMG|7RCR|8aBPWR|9aASPD
64	21633 11538	8	   	267.25	DCR|5VULN|3DUR|1AART	1MBVNT|2aBEXP|3589aVULN|45aDUR|5aBPWR|6AART|7RCR
65	26633 34438	8	   	267.25	DCR|5VULN|3DUR|1AART	1MBVNT|2aLHND|3569aVULN|45aDUR|5aBPWR|7AART|8RCR
66	27633 34438	8	   	267.25	DCR|5VULN|3DUR|1AART	1MBVNT|2aFEWX|3569aVULN|45aDUR|5aBPWR|7AART|8RCR
67	22384 24144	2	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1MBVNT|27DUR|37DMG|47VULN|5AART|6BBNT|7BPWR|8RCR|9CDMG|aTLV
68	22473 24144	2	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1MBVNT|27DUR|3BBNT|47DMG|5AART|67VULN|7BPWR|8RCR|9CDMG|aTLV
69	27713 54144	1	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1MBVNT|2AART|3BBNT|47DMG|57VULN|67DUR|7BPWR|8RCR|9CDMG|aTLV
70	27714 24144	1	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1MBVNT|2AART|3BBNT|47DMG|57DUR|67VULN|7BPWR|8RCR|9CDMG|aTLV
71	51236 21631	1	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1FEWX|249aVULN|3DUR|5AART|6RCR|7TLV|8DMG
72	11662 12133	1	   	267.15	DCR|4VULN|2DMG|1TLV	19DUST|2489VULN|3TLV|5ASPD|69DMG|7RCR|9BPWR|aCGEN
73	11662 12136	1	   	267.15	DCR|4VULN|2DMG|1TLV	19DUST|2489VULN|3TLV|5ASPD|69DMG|7RCR|9BPWR|aFEWX
74	31131 66121	4	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|358aVULN|45LHND|58BPWR|6ERES|78DMG|9RCR
75	31133 16121	6	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|368aVULN|4LHND|5MLV|78DMG|8BPWR|9RCR
76	31133 24121	4	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4LHND|5CGEN|68DMG|8BPWR|9RCR
77	31161 66121	3	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|358aVULN|45LHND|58BPWR|6ERES|78DMG|9RCR
78	31161 66121	4	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|358aVULN|45BEXP|58BPWR|6ERES|78DMG|9RCR
