0	Index      	 *	Score 	Summary	Detail	
1	66211 43221	 * 	289.58	紫橙3易伤1伤害1矿等2时间	128易伤2序列升级37核45时间6矿等9雷电a伤害
2	66211 43213	 * 	285.03	紫橙3易伤2矿等2时间	128易伤2序列升级37核45时间6a矿等9挖尘
3	66211 43121	 * 	283.05	紫橙2易伤2矿等1伤害2时间	12易伤2序列升级37核45时间68矿等9雷电a伤害
4	66211 43231	   	282.93	紫橙3易伤1矿等2时间1攻速1策反	128易伤2序列升级37核45时间6矿等9策反a攻速
5	32234 52523	 * 	281.49	橙橙2易伤1伤害1矿等	149金币生成2赏金塔349掉矿49序列升级5伤害6矿等7a核89易伤
6	66211 43113	 * 	276.96	紫橙2易伤3矿等2时间	12易伤2序列升级37核45时间68a矿等9挖尘
7	66214 13121	   	276.52	紫橙3易伤1矿等1攻速	129易伤2序列升级37核4时间5掉矿6双倍矿8矿等a攻速
8	66211 43131	   	276.40	紫橙2易伤2矿等2时间1攻速1策反	12易伤2序列升级37核45时间68矿等9策反a攻速
9	61113 75344	 * 	270.04	橙3易伤2伤害2攻速2时间1暴击	17a易伤2加一38时间47攻速57伤害6核7序列升级9暴击
10	66234 23113	   	270.03	紫橙3易伤2矿等1策反	125易伤25序列升级37核4随机矿6基地爆炸8a矿等9策反
11	66234 33113	   	269.93	紫橙3易伤2矿等1策反	125易伤25序列升级37核4随机矿6挖尘8a矿等9策反
12	66234 23221	 * 	269.85	紫橙4易伤1攻速	1259易伤25序列升级37核4随机矿6基地爆炸8掉矿a攻速
13	66234 33221	   	269.75	紫橙4易伤1攻速	1259易伤25序列升级37核4随机矿6挖尘8掉矿a攻速
14	66211 43222	   	269.52	紫橙3易伤1矿等2时间	128易伤2序列升级37核45时间6矿等9雷电a技能
15	66211 43223	   	269.52	紫橙3易伤1矿等2时间	128易伤2序列升级37核45时间6矿等9雷电a随机矿
16	66214 13123	   	269.42	紫橙3易伤1矿等2时间	129易伤2序列升级37核4a时间5掉矿6双倍矿8矿等
17	66211 43211	   	269.32	紫橙3易伤1矿等2时间	128易伤2序列升级37核45时间6矿等9挖尘a掉矿
18	66211 43212	   	269.32	紫橙3易伤1矿等2时间	128易伤2序列升级37核45时间6矿等9挖尘a技能点
19	66211 43232	   	269.32	紫橙3易伤1矿等2时间1策反	128易伤2序列升级37核45时间6矿等9策反a掉矿
20	66211 43233	   	269.32	紫橙3易伤1矿等2时间1策反	128易伤2序列升级37核45时间6矿等9策反a双倍秒伤
21	63133 61123	   	269.17	橙橙1易伤1伤害1暴击1平台	1易伤2平台3暴击4时间5伤害6a核7技能点8赏金邻近9双倍秒伤
22	63133 63123	   	269.17	橙橙1易伤1伤害1暴击1平台	1易伤2平台3暴击4时间5伤害6a核7掉矿8赏金邻近9双倍秒伤
23	66252 13121	   	268.21	紫橙3易伤1矿等1攻速	129易伤2序列升级37核4挖尘5金币生成6双倍矿8矿等a攻速
24	66234 23223	   	264.50	紫橙4易伤	1259易伤25序列升级37核4随机矿6基地爆炸8掉矿a时间
25	66234 33223	   	264.40	紫橙4易伤	1259易伤25序列升级37核4随机矿6挖尘8掉矿a时间
26	66234 23133	   	264.32	紫橙3易伤1矿等1全技能	125易伤25序列升级37核4随机矿6基地爆炸8矿等9敌人爆炸a全技能
27	66234 33133	   	264.22	紫橙3易伤1矿等1全技能	125易伤25序列升级37核4随机矿6挖尘8矿等9敌人爆炸a全技能
28	62522 31413	 * 	263.90	橙4易伤3伤害1暴击	1456易伤2双倍秒伤346伤害46序列升级7低血量敌人8最后敌人9核a暴击
29	62522 32513	   	263.90	橙4易伤3伤害1暴击	1456易伤2双倍秒伤346伤害46序列升级7最后敌人8低血量敌人9核a暴击
30	52362 22226	 * 	263.66	橙橙2易伤3时间	1基地爆炸2双倍秒伤349时间56易伤7a核8赏金邻近
31	42362 22226	   	263.56	橙橙2易伤3时间	1挖尘2双倍秒伤349时间56易伤7a核8赏金邻近
32	61113 75341	 * 	263.56	橙2易伤3伤害2攻速2时间1暴击	17易伤2加一38时间47攻速57a伤害6核7序列升级9暴击
33	61113 75244	   	263.49	橙3易伤2伤害2攻速1暴击	17a易伤2加一3时间47攻速57伤害6核7序列升级8立即金币9暴击
34	66211 43122	   	262.99	紫橙2易伤2矿等2时间	12易伤2序列升级37核45时间68矿等9雷电a技能
35	66211 43123	   	262.99	紫橙2易伤2矿等2时间	12易伤2序列升级37核45时间68矿等9雷电a随机矿
36	66211 43111	   	262.79	紫橙2易伤2矿等2时间	12易伤2序列升级37核45时间68矿等9挖尘a掉矿
37	66211 43112	   	262.79	紫橙2易伤2矿等2时间	12易伤2序列升级37核45时间68矿等9挖尘a技能点
38	66211 43132	   	262.79	紫橙2易伤2矿等2时间1策反	12易伤2序列升级37核45时间68矿等9策反a掉矿
39	66211 43133	   	262.79	紫橙2易伤2矿等2时间1策反	12易伤2序列升级37核45时间68矿等9策反a双倍秒伤
40	66214 13122	   	262.77	紫橙3易伤1矿等	129易伤2序列升级37核4时间5a掉矿6双倍矿8矿等
41	13412 24263	   	260.97	橙橙1易伤1伤害1暴击1平台	1最后敌人2平台3双倍秒伤4暴击5伤害6易伤7赏金塔8等级9a核
42	13412 36263	   	260.97	橙橙1易伤1伤害1暴击1平台	1最后敌人2平台3双倍秒伤4暴击5伤害6赏金邻近7易伤8等级9a核
43	63143 61123	   	260.87	橙橙1易伤1伤害1暴击1平台	1易伤2平台3暴击4基地爆炸5伤害6a核7技能点8赏金邻近9双倍秒伤
44	63143 63123	   	260.87	橙橙1易伤1伤害1暴击1平台	1易伤2平台3暴击4基地爆炸5伤害6a核7掉矿8赏金邻近9双倍秒伤
45	62522 31411	   	259.91	橙4易伤3伤害1平台	1456易伤2双倍秒伤346伤害46序列升级7低血量敌人8最后敌人9核a平台
46	62522 32511	   	259.91	橙4易伤3伤害1平台	1456易伤2双倍秒伤346伤害46序列升级7最后敌人8低血量敌人9核a平台
47	62522 32611	   	259.91	橙4易伤3伤害1平台	1456易伤2双倍秒伤346伤害46序列升级7最后敌人8敌人爆炸9核a平台
48	62522 33411	   	259.91	橙4易伤3伤害1平台	1456易伤2双倍秒伤346伤害46序列升级7敌人爆炸8最后敌人9核a平台
