0	Index      	 *	Score 	Summary	Detail	
1	42122 43352	 * 	299.96	橙橙4易伤2时间	1挖青239a易伤4a时间5赏金邻近6双倍秒伤78核a序列升级
2	42122 43335	   	287.79	橙橙3易伤1暴击	1挖青23a易伤4时间5赏金邻近6双倍秒伤78核9暴击
3	42122 43342	 * 	285.80	橙橙3易伤3时间	1挖青23a易伤49a时间5赏金邻近6双倍秒伤78核a序列升级
4	42122 43334	 * 	285.72	橙橙2易伤1伤害1暴击	1挖青23易伤4时间5赏金邻近6双倍秒伤78核9暴击a伤害
5	33526 43313	   	284.30	橙橙2易伤1矿等1暴击1卖塔	1平台2双倍秒伤38易伤4暴击5挖尘6a核7矿等9卖塔
6	24125 23335	   	279.59	橙橙3易伤1暴击	1敌人爆炸2双倍秒伤3低血量敌人4赏金邻近56a易伤78核9暴击
7	24225 13335	   	279.59	橙橙3易伤1暴击	1敌人爆炸2双倍秒伤35a易伤4赏金邻近6低血量敌人78核9暴击
8	11441 31421	   	278.60	橙橙1易伤1伤害1矿等1攻速	12最后敌人3攻速4伤害5立即金币68核7易伤9矿等a平台
9	13441 31421	   	278.60	橙橙1易伤1伤害1矿等1攻速	1最后敌人2双倍矿3攻速4伤害5立即金币68核7易伤9矿等a平台
10	62141 31421	   	278.50	橙橙1易伤1伤害1矿等1攻速	1攻速2激光减费3最后敌人4伤害5立即金币68核7易伤9矿等a平台
11	11534 31421	   	278.36	橙橙1易伤1伤害1矿等1暴击1卖塔	12最后敌人3卖塔4暴击5伤害68核7易伤9矿等a平台
12	13534 31421	   	278.36	橙橙1易伤1伤害1矿等1暴击1卖塔	1最后敌人2双倍矿3卖塔4暴击5伤害68核7易伤9矿等a平台
13	24125 23334	   	277.51	橙橙2易伤1伤害1暴击	1敌人爆炸2双倍秒伤3低血量敌人4赏金邻近56易伤78核9暴击a伤害
14	24225 13334	   	277.51	橙橙2易伤1伤害1暴击	1敌人爆炸2双倍秒伤35易伤4赏金邻近6低血量敌人78核9暴击a伤害
15	11226 53143	   	275.70	橙橙3易伤	12最后敌人3双倍矿4平台58a易伤69核7金币生成
16	11326 53143	   	275.70	橙橙3易伤	12最后敌人3立即金币4平台58a易伤69核7金币生成
17	13226 53143	   	275.70	橙橙3易伤	1最后敌人23双倍矿4平台58a易伤69核7金币生成
18	13326 53143	   	275.70	橙橙3易伤	1最后敌人2双倍矿3立即金币4平台58a易伤69核7金币生成
19	11226 51143	   	275.60	橙橙3易伤	12最后敌人3双倍矿4平台58a易伤69核7掉矿
20	11326 51143	   	275.60	橙橙3易伤	12最后敌人3立即金币4平台58a易伤69核7掉矿
21	13226 51143	   	275.60	橙橙3易伤	1最后敌人23双倍矿4平台58a易伤69核7掉矿
22	13326 51143	   	275.60	橙橙3易伤	1最后敌人2双倍矿3立即金币4平台58a易伤69核7掉矿
23	24225 63311	   	274.24	橙橙3易伤	1敌人爆炸2双倍秒伤35a易伤4赏金邻近6时间78核9赏金塔
24	42122 43311	   	274.14	橙橙3易伤	1挖青23a易伤4时间5赏金邻近6双倍秒伤78核9赏金塔
25	42122 43351	   	274.14	橙橙3易伤	1挖青239易伤4时间5赏金邻近6双倍秒伤78核a额外掉落
26	42122 43353	   	274.14	橙橙3易伤	1挖青239易伤4时间5赏金邻近6双倍秒伤78核a敌人爆炸
27	63412 33431	 * 	273.42	橙橙1易伤2攻速1伤害	13攻速2核弹47基地爆炸5易伤68核9伤害a平台
28	63431 31431	   	273.42	橙橙1易伤2攻速1伤害	13攻速2核弹4立即金币5低血量敌人68核7易伤9伤害a平台
29	63432 32431	   	273.42	橙橙1易伤2攻速1伤害	13攻速2核弹4立即金币5易伤68核7基地爆炸9伤害a平台
30	63432 33431	   	273.42	橙橙1易伤2攻速1伤害	13攻速2核弹4立即金币5易伤68核7敌人爆炸9伤害a平台
31	32536 62313	   	273.32	橙橙2易伤1伤害	1平台25挖尘3基地爆炸46易伤7a核8伤害9掉矿
32	63412 33421	   	270.89	橙橙1易伤2攻速1矿等	13攻速2核弹47基地爆炸5易伤68核9矿等a平台
33	63431 31421	   	270.89	橙橙1易伤2攻速1矿等	13攻速2核弹4立即金币5低血量敌人68核7易伤9矿等a平台
34	63432 32421	   	270.89	橙橙1易伤2攻速1矿等	13攻速2核弹4立即金币5易伤68核7基地爆炸9矿等a平台
35	63432 33421	   	270.89	橙橙1易伤2攻速1矿等	13攻速2核弹4立即金币5易伤68核7敌人爆炸9矿等a平台
