0	Index      	 *	Score 	Summary	Detail	
1	33252 24324	 * 	288.41	紫橙2易伤2伤害3暴击1平台	158暴击28易伤3a核4双倍秒伤68伤害7平台8序列升级9敌人爆炸
2	33242 13433	 * 	283.60	紫橙4易伤1暴击1攻速	1暴击2489易伤3a核5低血量敌人6攻速7雷电
3	33245 13433	   	283.60	紫橙4易伤1暴击1攻速	1暴击2489易伤3a核5最后敌人6攻速7雷电
4	33246 13433	   	283.60	紫橙4易伤1暴击1攻速	1暴击2489易伤3a核5攻速6最后敌人7雷电
5	33246 33433	   	283.60	紫橙4易伤1暴击1攻速	1暴击2489易伤3a核5攻速6基地爆炸7雷电
6	33243 13433	   	283.50	紫橙4易伤1暴击1攻速	1暴击2489易伤3a核5挖尘6攻速7雷电
7	33242 13423	 * 	276.88	紫橙3易伤2攻速1暴击	1暴击248易伤3a核5低血量敌人69攻速7雷电
8	33245 13423	   	276.88	紫橙3易伤2攻速1暴击	1暴击248易伤3a核5最后敌人69攻速7雷电
9	33246 13423	   	276.88	紫橙3易伤2攻速1暴击	1暴击248易伤3a核59攻速6最后敌人7雷电
10	33246 33423	   	276.88	紫橙3易伤2攻速1暴击	1暴击248易伤3a核59攻速6基地爆炸7雷电
11	33243 13423	   	276.78	紫橙3易伤2攻速1暴击	1暴击248易伤3a核5挖尘69攻速7雷电
12	33352 15431	 * 	274.72	橙橙1易伤1伤害1暴击1攻速1全技能	1暴击2易伤3敌人爆炸4攻速58低血量敌人6a核7伤害9全技能
13	33262 31661	   	272.02	紫橙2易伤1伤害1暴击1攻速1全技能	1暴击28易伤3a核4低血量敌人5攻速6全技能7伤害9基地爆炸
14	31242 31661	   	271.92	紫橙2易伤1伤害1暴击1攻速1全技能	1暴击2挖青3a核48易伤5攻速6全技能7伤害9基地爆炸
15	33231 14443	 * 	270.84	紫橙3易伤1伤害1暴击	1暴击258易伤3a核4雷电6伤害7低血量敌人9立即金币
16	33231 24115	   	269.95	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7最后敌人9敌人爆炸
17	33231 25123	   	269.95	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7敌人爆炸9金币生成
18	33231 25135	   	269.95	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7敌人爆炸9基地爆炸
19	33231 24126	   	269.85	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7最后敌人9加一
20	33231 24133	   	269.85	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7最后敌人9技能点
21	33231 24155	   	269.85	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7最后敌人9挖尘
22	33231 24162	   	269.85	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7最后敌人9基础对甲
23	33231 25143	   	269.85	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7敌人爆炸9技能点
24	33231 25155	   	269.85	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7敌人爆炸9挖尘
25	33231 25162	   	269.85	紫橙4易伤1暴击	1暴击256a易伤38核4雷电7敌人爆炸9基础对甲
26	33231 25111	   	268.31	紫橙3易伤1矿等1暴击	1暴击256易伤38核4雷电79敌人爆炸a矿等
27	33231 23243	   	264.43	紫橙3易伤1暴击1攻速	1暴击256易伤3a核4雷电7等级8金币生成9攻速
28	33231 24243	   	264.43	紫橙3易伤1暴击1攻速	1暴击256易伤3a核4雷电7最后敌人8立即金币9攻速
29	33231 24443	   	264.43	紫橙3易伤1暴击1攻速	1暴击256易伤3a核4雷电78最后敌人9攻速
30	33231 25243	   	264.43	紫橙3易伤1暴击1攻速	1暴击256易伤3a核4雷电7敌人爆炸8立即金币9攻速
31	33242 13443	   	264.43	紫橙3易伤1暴击1攻速	1暴击248易伤3a核5低血量敌人6攻速7雷电9立即金币
32	33232 15433	   	264.43	紫橙3易伤1暴击1攻速	1暴击289易伤3a核4雷电5敌人爆炸6攻速7立即金币
33	33232 65433	   	264.43	紫橙3易伤1暴击1攻速	1暴击289易伤3a核4雷电5敌人爆炸6立即金币7攻速
34	33236 15433	   	264.43	紫橙3易伤1暴击1攻速	1暴击289易伤3a核4雷电5基地爆炸6攻速7立即金币
35	36242 33433	   	264.43	紫橙3易伤1暴击1攻速	1暴击2基地爆炸3a核489易伤5攻速6双倍矿7雷电
36	36243 13433	   	264.43	紫橙3易伤1暴击1攻速	1暴击2基地爆炸3a核489易伤5双倍矿6攻速7雷电
37	33332 15431	   	260.82	橙橙1易伤1伤害1暴击1全技能1策反	1暴击2易伤3敌人爆炸4策反58低血量敌人6a核7伤害9全技能
38	33231 24113	   	260.44	紫橙3易伤1暴击1全技能	1暴击256易伤38核4雷电7最后敌人9敌人爆炸a全技能
39	33231 24123	   	260.34	紫橙3易伤1暴击1全技能	1暴击256易伤38核4雷电7最后敌人9加一a全技能
40	33231 24153	   	260.34	紫橙3易伤1暴击1全技能	1暴击256易伤38核4雷电7最后敌人9挖尘a全技能
41	33231 25133	   	259.09	紫橙3易伤1暴击	1暴击256易伤38核4雷电7敌人爆炸9基地爆炸a时间
42	33231 24163	   	258.99	紫橙3易伤1暴击	1暴击256易伤38核4雷电7最后敌人9基础对甲a时间
43	33231 25163	   	258.99	紫橙3易伤1暴击	1暴击256易伤38核4雷电7敌人爆炸9基础对甲a时间
44	31613 14242	   	258.77	橙橙1易伤1暴击1全技能1平台	1暴击2挖青3时间4掉矿5易伤6a核7平台8雷电9全技能
45	33612 14242	   	258.77	橙橙1易伤1暴击1全技能1平台	1暴击2易伤3时间4掉矿5挖青6a核7平台8雷电9全技能
