0	Index      	 *	Score 	Summary	Detail	
1	22164 13334	 * 	285.95	橙橙3易伤1伤害1策反	15最后敌人2伤害3基地爆炸459易伤5序列升级6a核7策反8赏金邻近
2	62331 12334	 * 	277.41	橙橙2易伤1伤害1攻速	18易伤2伤害3低血量敌人4掉矿5攻速6a核7技能点9赏金邻近
3	32164 12234	   	263.96	橙橙2易伤1伤害	1技能24易伤3基地爆炸57最后敌人6a核8伤害9赏金邻近
4	32364 11234	   	263.96	橙橙2易伤1伤害	1技能24易伤37低血量敌人5最后敌人6a核8伤害9赏金邻近
5	32364 13234	   	263.96	橙橙2易伤1伤害	1技能24易伤3低血量敌人57最后敌人6a核8伤害9赏金邻近
6	22364 11124	   	263.82	橙橙2易伤1伤害1策反	15最后敌人2伤害37低血量敌人45易伤5序列升级6a核8赏金塔9策反
7	22364 11324	   	263.82	橙橙2易伤1伤害1策反	15最后敌人2伤害37低血量敌人45易伤5序列升级6a核8赏金邻近9策反
8	62324 11124	   	263.82	橙橙2易伤1伤害1策反	15易伤2伤害37低血量敌人45敌人爆炸5序列升级6a核8赏金塔9策反
9	62324 11324	   	263.82	橙橙2易伤1伤害1策反	15易伤2伤害37低血量敌人45敌人爆炸5序列升级6a核8赏金邻近9策反
10	32334 25234	   	263.76	橙橙2易伤1伤害	1技能25易伤3低血量敌人4掉矿6技能点7a核8伤害9赏金邻近
11	22166 13334	   	263.72	橙橙2易伤1伤害1策反	15最后敌人2伤害3基地爆炸49易伤6a核7策反8赏金邻近
12	62134 13334	   	263.72	橙橙2易伤1伤害1策反	19易伤2伤害3基地爆炸4立即金币5最后敌人6a核7策反8赏金邻近
13	62331 12534	 * 	263.66	橙橙1易伤2攻速1伤害	1易伤2伤害3低血量敌人4掉矿59攻速6a核7技能点8赏金塔
14	42111 31161	   	262.33	橙橙1易伤1矿等3策反1攻速	123策反4矿等5攻速6金币生成79核8立即金币a易伤
15	12231 13336	   	260.97	橙橙1易伤1伤害1暴击1平台	1金币生成2双倍秒伤3平台4易伤5暴击6基地爆炸7伤害8额外掉落9a核
16	13651 12334	   	257.45	橙橙2易伤1攻速	1金币生成2低血量敌人3技能48易伤5攻速6a核7技能点9赏金邻近
17	35162 31124	   	257.45	橙橙1易伤2攻速1暴击	1技能2低血量敌人3基地爆炸4易伤5暴击6a核79攻速8随机矿
18	35162 31324	   	257.45	橙橙1易伤2攻速1暴击	1技能2低血量敌人3基地爆炸4易伤5暴击6a核79攻速8等级
19	32331 12334	   	257.35	橙橙2易伤1攻速	1技能28易伤3低血量敌人4掉矿5攻速6a核7技能点9赏金邻近
20	32334 25134	   	257.35	橙橙2易伤1攻速	1技能25易伤3低血量敌人4掉矿6技能点7a核8赏金塔9攻速
21	43162 31124	   	257.20	橙橙1易伤2攻速1暴击1策反	1策反2低血量敌人3基地爆炸4易伤5暴击6a核79攻速8随机矿
22	43162 31324	   	257.20	橙橙1易伤2攻速1暴击1策反	1策反2低血量敌人3基地爆炸4易伤5暴击6a核79攻速8等级
