0	Index      	 *	Score 	Summary	Detail	
1	31123 41343	 * 	269.27	橙橙1易伤1伤害1攻速1平台	1时间2攻速3爆破对壮4额外掉落5赏金邻近6易伤7平台8a核9伤害
2	42331 52212	 * 	263.76	橙橙2易伤2暴击	1敌人爆炸2赏金邻近39易伤45暴击6a核7双倍秒伤8等级
3	62331 52212	   	263.76	橙橙2易伤2暴击	1最后敌人2赏金邻近39易伤45暴击6a核7双倍秒伤8等级
4	42331 52412	   	263.66	橙橙2易伤2暴击	1敌人爆炸2赏金邻近39易伤45暴击6a核7双倍秒伤8技能点
5	62331 52412	   	263.66	橙橙2易伤2暴击	1最后敌人2赏金邻近39易伤45暴击6a核7双倍秒伤8技能点
6	32211 41232	   	259.64	橙橙1易伤1矿等2时间1平台	13时间2赏金邻近4易伤5挖青6低血量敌人7a核8平台9矿等
7	62335 52212	   	257.45	橙橙2易伤1暴击	1最后敌人2赏金邻近39易伤4暴击5双倍矿6a核7双倍秒伤8等级
8	16315 52212	   	257.35	橙橙2易伤1暴击	1技能点2暴击39易伤4赏金塔5金币生成6a核7双倍秒伤8等级
9	16335 52212	   	257.35	橙橙2易伤1暴击	1技能点2暴击39易伤4赏金邻近5金币生成6a核7双倍秒伤8等级
10	42364 11322	   	257.18	橙橙1易伤1矿等1暴击	1敌人爆炸2赏金邻近3易伤4等级5时间6金币生成7a核8暴击9矿等
11	62245 11322	   	257.18	橙橙1易伤1矿等1暴击	1最后敌人2赏金邻近3时间4易伤5随机矿6金币生成7a核8暴击9矿等
12	14625 11322	   	257.08	橙橙1易伤1矿等1暴击	1技能点2赏金塔3最后敌人4时间5易伤6金币生成7a核8暴击9矿等
13	42354 11322	   	257.08	橙橙1易伤1矿等1暴击	1敌人爆炸2赏金邻近3易伤4掉矿5时间6金币生成7a核8暴击9矿等
14	14525 11322	   	256.98	橙橙1易伤1矿等1暴击	1技能点2赏金塔3挖青4时间5易伤6金币生成7a核8暴击9矿等
15	33123 41343	   	255.38	橙橙1易伤1伤害1平台1策反	1时间2策反3爆破对壮4额外掉落5赏金邻近6易伤7平台8a核9伤害
16	42331 55222	   	255.19	橙橙1易伤2暴击1矿等	1敌人爆炸2赏金邻近3易伤45暴击6a核7基地爆炸8低血量敌人9矿等
17	42331 55322	   	255.19	橙橙1易伤2暴击1矿等	1敌人爆炸2赏金邻近3易伤45暴击6a核7基地爆炸8最后敌人9矿等
18	62331 55222	   	255.19	橙橙1易伤2暴击1矿等	1最后敌人2赏金邻近3易伤45暴击6a核7基地爆炸8低血量敌人9矿等
19	62331 55322	   	255.09	橙橙1易伤2暴击1矿等	1最后敌人2赏金邻近3易伤45暴击6a核7基地爆炸8挖青9矿等
20	42341 41232	   	253.46	橙橙2易伤1平台	1敌人爆炸2赏金邻近34易伤5挖青6低血量敌人7a核8平台9金币生成
21	42341 41332	   	253.46	橙橙2易伤1平台	1敌人爆炸2赏金邻近34易伤5挖青6低血量敌人7a核8随机矿9平台
22	62242 61232	   	253.09	橙橙1易伤1矿等1平台	1最后敌人2赏金邻近3时间4易伤5低血量敌人6激光减费7a核8平台9矿等
