0	Index      	 *	Score 	Summary	Detail	
1	61443 12221	 * 	305.19	橙橙2易伤1等级1雷电	14易伤2技能点3敌人爆炸5等级6a核7平台8雷电9掉矿
2	31631 22472	   	292.54	橙橙1等级1易伤1雷电1攻速	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电a攻速
3	31631 22315	   	288.55	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8赏金邻近9雷电a易伤
4	31631 22476	   	288.55	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电a赏金邻近
5	31631 22487	   	288.55	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9时间a雷电
6	31631 22468	 * 	288.37	橙橙2易伤1等级1矿等	1挖尘2等级3加一4全技能5喷火对愈67核8a易伤9矿等
7	15236 61111	 * 	283.53	紫橙2易伤1等级1雷电1矿等	1掉矿2矿等3a核49易伤5平台6雷电7等级8挖青
8	51131 22478	   	282.66	橙橙2易伤1等级	1加一2时间3掉矿4全技能5喷火对愈67核8a易伤9等级
9	31631 22441	   	281.31	橙橙2易伤1等级	1挖尘2等级3加一4全技能5喷火对愈67核8a易伤9平台
10	31631 22437	   	278.89	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9基地爆炸a雷电
11	31631 22471	   	278.89	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电a立即金币
12	31631 22477	   	278.89	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电a低血量敌人
13	31631 22478	   	278.89	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电a基地爆炸
14	31631 22473	   	278.79	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电a防空对直升
15	31631 22474	   	278.79	橙橙1等级1易伤1雷电	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电a双倍秒伤
16	31631 22475	   	278.79	橙橙1等级1易伤1雷电	1a挖尘2等级3加一4全技能5喷火对愈67核8易伤9雷电
17	31353 21134	 * 	278.38	橙2易伤2雷电1等级2时间1暴击1攻速	1挖尘2等级3a雷电4a易伤5攻速6a时间7最后敌人8暴击9核a序列升级
18	54322 26611	 * 	278.11	橙橙3易伤1雷电1暴击	1加一2双倍秒伤3暴击4雷电5随机矿689易伤7a核
19	31542 12261	 * 	277.20	橙橙2等级1雷电	1挖尘24等级34金币生成4序列升级5时间6a核7技能点8平台9雷电
20	31631 22462	 * 	275.20	橙橙2矿等1等级1易伤	1挖尘2等级3加一4全技能5喷火对愈67核8易伤9a矿等
