0	Index      	 *	Score 	Summary	Detail	
1	32131 14116	 * 	313.49	ACR|DCR|3VULN|1TLV|1CDMG	12AEFRZ|2BPWR|3aRCR|459VULN|6TLV|7LHND|8CDMG
2	11313 32116	 * 	308.96	DCR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1AEBURN|29VULN|3LWND|4AME|5TLV|6aRCR|7ERES|8CDMG
3	11433 32116	   	308.96	DCR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1AEBURN|29VULN|3MLV|4LWND|5TLV|6aRCR|7ERES|8CDMG
4	32131 15116	   	298.19	ACR|DCR|3VULN|1TLV|1CDMG|1MSE	12AEFRZ|2BPWR|3aRCR|459VULN|6TLV|7MSE|8CDMG
5	11313 31213	 * 	297.19	DCR|2TLV|2VULN|2AEBURN|1DMG|1ASPD|1CDMG	17AEBURN|27VULN|3LWND|4AME|57TLV|6RCR|7BPWR|8ASPD|9CDMG|aDMG
6	11433 31213	   	297.19	DCR|2TLV|2VULN|2AEBURN|1DMG|1ASPD|1CDMG	17AEBURN|27VULN|3MLV|4LWND|57TLV|6RCR|7BPWR|8ASPD|9CDMG|aDMG
7	11133 31425	 * 	295.47	DCR|4VULN|2TLV|2AEBURN	17AEBURN|278aVULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9RPLT
8	11133 31414	   	295.37	DCR|4VULN|2TLV|2AEBURN	17AEBURN|278aVULN|39ERES|4LWND|57TLV|6RCR|7BPWR
9	11313 31451	   	294.48	DCR|3VULN|2TLV|1DMG|2AEBURN	17AEBURN|278VULN|3LWND|4AME|57TLV|6RCR|7BPWR|9DUST|aDMG
10	11433 31451	   	294.48	DCR|3VULN|2TLV|1DMG|2AEBURN	17AEBURN|278VULN|3MLV|4LWND|57TLV|6RCR|7BPWR|9DUST|aDMG
11	11133 31461	   	294.38	DCR|3VULN|2TLV|1DMG|2AEBURN	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9MBVNT|aDMG
