0	Index      	 *	Score 	Summary	Detail	
1	34112 51334	 * 	289.05	DCR|4VULN|2TLV|1ASPD	1aERES|2LHND|358aVULN|4BEXP|6RCR|7ASPD|9aTLV|aBPWR
2	32636 52332	 * 	281.26	DCR|3VULN|2TLV|2AEFBLL	19ERES|2AME|39TLV|479VULN|58AEFBLL|6RCR|9BPWR|aFRZICY
3	32636 52333	   	281.26	DCR|3VULN|2TLV|2AEFBLL	19ERES|2AME|39TLV|479VULN|58AEFBLL|6RCR|9BPWR|aRAT
4	12361 52125	   	277.56	DCR|4VULN|1TLV|2DUR|1NUKE	13DUR|2CGEN|4578VULN|6RCR|9TLV|aNUKE
5	12361 52325	   	276.58	DCR|3VULN|1TLV|1AEFBLL|2DUR|1NUKE	13DUR|2CGEN|457VULN|6RCR|8AEFBLL|9TLV|aNUKE
6	22246 31832	 * 	276.46	DCR|DCR|1TLV|1VULN|1AEPOI|1AART	12AME|3BEXP|4AEPOI|5MBVNT|6VULN|78RCR|9AART|aTLV
7	23246 31832	   	276.46	DCR|DCR|1TLV|1VULN|1AEPOI|1AART	1AME|2RCVC|3BEXP|4AEPOI|5MBVNT|6VULN|78RCR|9AART|aTLV
8	24112 51234	 * 	276.03	DCR|2TLV|2VULN|2ASPD|1AEBURN	1AME|2aLHND|35VULN|4BEXP|6RCR|7aASPD|8AEBURN|9aTLV|aBPWR
9	22246 31811	   	275.11	DCR|DCR|1TLV|1VULN|1AEPOI|1DUR	12AME|3BEXP|4AEPOI|5MBVNT|6VULN|78RCR|9DUR|aTLV
10	23246 31811	   	275.11	DCR|DCR|1TLV|1VULN|1AEPOI|1DUR	1AME|2RCVC|3BEXP|4AEPOI|5MBVNT|6VULN|78RCR|9DUR|aTLV
11	32636 52331	   	274.32	DCR|3VULN|2TLV|2AEFBLL	19ERES|2AME|39TLV|479VULN|58AEFBLL|6RCR|9BPWR|aLHND
12	33314 63262	 * 	274.22	DCR|3VULN|2TLV|2CDMG	1ERES|23CDMG|459VULN|6RCR|7aTLV|8CGEN
13	12361 55233	 * 	273.86	DCR|3VULN|1TLV|1DMG|2DUR	13DUR|2CGEN|458VULN|6RCR|7DMG|9TLV|aRAT
14	11624 61122	   	271.28	DCR|3VULN|1TLV|1DMG|1ASPD|1DUR|1SELL	1DUR|2LHND|3SELL|4TLV|569VULN|7ASPD|8DMG|aRCR
15	12361 55333	 * 	269.23	DCR|2VULN|1TLV|1DMG|1AEBURN|2DUR	13DUR|2CGEN|45VULN|6RCR|7DMG|8AEBURN|9TLV|aRAT
16	31225 24423	   	268.95	DCR|2TLV|2VULN|2DUR|1CDMG	1ERES|29DUR|3CDMG|4MDPS|5RAT|69VULN|7FEWX|89TLV|9BPWR|aRCR
17	31112 51254	 * 	268.33	DCR|2VULN|1TLV|2ASPD|2AEPOI|2DUR	1ERES|2aDUR|35VULN|4BEXP|6RCR|7aASPD|8TLV|9aAEPOI|aBPWR
18	45112 33352	 * 	268.28	DCR|3VULN|1TLV|1DMG|1AEPOI	1FEWX|2RPLT|3TLV|4BEXP|579VULN|6RCR|8AEPOI|aDMG
19	32613 62162	 * 	268.08	DCR|3VULN|1TLV|2CDMG|1AEBURN	1ERES|2AME|3TLV|45CDMG|6RCR|789VULN|aAEBURN
20	33314 63162	   	268.08	DCR|3VULN|1TLV|1AEBURN|2CDMG	1ERES|23CDMG|459VULN|6RCR|7TLV|8AAC|aAEBURN
