0	Index      	 *	Score 	Summary	Detail	
1	62351 11633	 * 	195.32	DCR|3DMG|2VULN|1AART|1CDMG	1AART|29MLV|3BEXP|49VULN|5CGEN|6CDMG|7RCR|89aDMG|9BPWR
2	62122 34623	 * 	190.81	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2MLV|3ASPD|459VULN|6RCR|7RPLT|8aDMG
3	32254 62231	 * 	190.41	DCR|3VULN|2AART|2DMG	1MLV|23aVULN|46DMG|59AART|7RCR|8DUST
4	32254 62233	 * 	190.41	DCR|3DMG|2AART|2VULN	1MLV|23VULN|46aDMG|59AART|7RCR|8DUST
5	32254 62321	   	190.41	DCR|3VULN|2AART|2DMG	1MLV|23aVULN|46DMG|59AART|7RCR|8ERES
6	32254 62323	 * 	188.41	DCR|2AART|2VULN|2DMG|1CDMG	1MLV|23VULN|46DMG|59AART|7RCR|8ERES|aCDMG
7	64221 11123	 * 	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3BEXP|459VULN|6CDMG|7RCR|8RMIN|aDMG
8	64221 11323	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3BEXP|459VULN|6CDMG|7RCR|8CGEN|aDMG
9	64221 11523	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3BEXP|459VULN|6CDMG|7RCR|8MLV|aDMG
10	62113 13623	 * 	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2MLV|3ASPD|4BEXP|5RCR|6CDMG|79VULN|8aDMG
11	64213 15223	   	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2DUR|34BEXP|5RCR|6CDMG|7aDMG|89VULN
12	64221 11423	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3BEXP|459VULN|6CDMG|7RCR|8ERES|aDMG
13	62122 34622	   	184.22	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2MLV|3ASPD|459VULN|6RCR|7RPLT|8DMG|aZMB
