0	Index      	 *	Score 	Summary	Detail	
1	34312 11142	 * 	204.40	DCR|2AART|2VULN|2DMG|2ASPD|1CDMG|1DUR	14AART|29VULN|39DMG|5RPLT|6DUR|7CDMG|89ASPD|9BPWR|aRCR
2	34312 31142	   	197.46	DCR|2AART|2DMG|2VULN|2ASPD|1CDMG	14AART|29VULN|39DMG|5RPLT|6LHND|7CDMG|89ASPD|9BPWR|aRCR
3	34314 31342	   	194.91	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	14AART|29VULN|39DMG|5ZMB|6CDMG|7RPLT|89FEWX|9BPWR|aRCR
4	34322 51633	   	193.57	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	18AART|2VULN|39DMG|4DUR|5DUST|6RCR|7ZMB|aCDMG
5	34342 11142	   	192.95	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG|1DUR	1AART|29VULN|39DMG|4RCVC|5RPLT|6DUR|7CDMG|89ASPD|9BPWR|aRCR
6	36342 11142	   	192.95	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG|1DUR	1AART|29DMG|3DMSP|49VULN|5RPLT|6DUR|7CDMG|89ASPD|9BPWR|aRCR
7	34312 11342	   	190.85	DCR|2AART|2DMG|2VULN|1CDMG|1DUR	14AART|29VULN|39DMG|5RPLT|6DUR|7CDMG|89CGEN|9BPWR|aRCR
8	34421 63221	 * 	190.81	DCR|3VULN|2DMG|1AART|1DUR	1AART|235VULN|3BPWR|4RPLT|6RCR|7aDMG|8DUR|9FEWX
9	34331 52511	 * 	189.10	DCR|3DMG|2VULN|1AART|2DUR	1AART|28VULN|358DMG|4FEWX|6BEXP|78DUR|8BPWR|9RCR|aLWND
10	34331 52512	   	189.10	DCR|3DMG|2VULN|1AART|2DUR	1AART|28VULN|358DMG|4FEWX|6BEXP|78DUR|8BPWR|9RCR|aCGEN
11	34331 52513	   	189.10	DCR|3DMG|2VULN|1AART|2DUR	1AART|28VULN|358DMG|4FEWX|6BEXP|78DUR|8BPWR|9RCR|aRMIN
12	34322 55111	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3aDMG|4DUR|5DUST|6RCR|7CDMG|8LWND
13	34322 55211	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3aDMG|4DUR|5DUST|6RCR|7CDMG|8FEWX
14	34361 16223	 * 	187.82	DCR|3DMG|2VULN|1AART|1CDMG	1AART|29VULN|357DMG|4LHND|6BASHEA|8CDMG|aRCR
15	34332 51633	   	186.63	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	18AART|2VULN|39DMG|4FEWX|5DUST|6RCR|7ZMB|aCDMG
16	42423 12623	 * 	186.34	DCR|5VULN|2DMG|2ASPD	18ASPD|2CGEN|34568VULN|78DMG|8BPWR|9LWND|aRCR
17	34325 61311	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3aDMG|4DUR|5BEXP|6MBVNT|7RCR|8CDMG
18	34326 61311	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3aDMG|4DUR|5LWND|6MBVNT|7RCR|8CDMG
19	34252 61311	   	186.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3DUR|4aDMG|5DUST|6MBVNT|7RCR|8CDMG
20	34322 61311	   	186.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3aDMG|4DUR|5DUST|6MBVNT|7RCR|8CDMG
21	34342 31142	   	186.01	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1AART|29VULN|39DMG|4RCVC|5RPLT|6LHND|7CDMG|89ASPD|9BPWR|aRCR
22	36342 31142	   	186.01	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1AART|29DMG|3DMSP|49VULN|5RPLT|6LHND|7CDMG|89ASPD|9BPWR|aRCR
23	34211 34142	   	185.01	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	1AART|29VULN|39DUR|46ERES|5DMG|7RCR|89ASPD|9BPWR|aZMB
24	34521 23512	 * 	184.96	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1ASPD	1AART|2VULN|3ASPD|49DUR|57DMG|6aCDMG|8RCR
25	34312 11642	 * 	184.87	DCR|2AART|2VULN|1DMG|2CDMG|2DUR	14AART|29VULN|3DMG|5RPLT|69DUR|79CDMG|8RMIN|9BPWR|aRCR
26	34421 63231	 * 	184.67	DCR|3VULN|2AART|1DMG|1DUR	19AART|235VULN|3BPWR|4RPLT|6RCR|7DMG|8DUR|aLWND
27	34421 63232	   	184.57	DCR|3VULN|2AART|1DMG|1DUR	19AART|235VULN|3BPWR|4RPLT|6RCR|7DMG|8DUR|aDUST
28	34421 63233	   	184.57	DCR|3VULN|2AART|1DMG|1DUR	19AART|235VULN|3BPWR|4RPLT|6RCR|7DMG|8DUR|aLEGI
29	34521 23521	   	184.36	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1AART|2VULN|3ASPD|4DUR|57DMG|6CDMG|8RCR|9ZMB|aLWND
30	34521 23522	   	184.26	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1AART|2VULN|3ASPD|4DUR|57DMG|6CDMG|8RCR|9ZMB|aDUST
31	34521 23523	   	184.26	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1AART|2VULN|3ASPD|4DUR|57DMG|6CDMG|8RCR|9ZMB|aLEGI
32	34421 63111	   	184.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|235VULN|3BPWR|4RPLT|6RCR|7DMG|8ZMB|9DUR|aLHND
33	34421 63112	   	184.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|235VULN|3BPWR|4RPLT|6RCR|7DMG|8ZMB|9DUR|aLWND
34	34421 63113	   	184.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|235VULN|3BPWR|4RPLT|6RCR|7DMG|8ZMB|9DUR|aLIT
35	34322 51631	 * 	184.19	DCR|3AART|2DMG|1VULN|1ZMB|1DUR	18aAART|2VULN|39DMG|4DUR|5DUST|6RCR|7ZMB
36	34325 61123	   	184.10	DCR|2AART|2VULN|2DMG|1DUR	19AART|2aVULN|3aDMG|4DUR|5BEXP|6MBVNT|7RCR|8aTLV|aBPWR
37	34322 61123	   	184.00	DCR|2AART|2VULN|2DMG|1DUR	19AART|2aVULN|3aDMG|4DUR|5DUST|6MBVNT|7RCR|8aTLV|aBPWR
38	34312 31342	   	183.91	DCR|2AART|2DMG|2VULN|1CDMG	14AART|29VULN|39DMG|5RPLT|6LHND|7CDMG|89CGEN|9BPWR|aRCR
39	13311 23412	 * 	183.89	ACR|3VULN|3DMG|2ZMB	19BEXP|256DMG|3SNIHEL|4RCR|79ZMB|89aVULN|9BPWR
40	23311 23412	   	183.89	ACR|3VULN|3DMG|2ZMB	19LHND|256DMG|3SNIHEL|4RCR|79ZMB|89aVULN|9BPWR
41	34321 51511	   	183.81	DCR|3DMG|2VULN|1AART|1DUR	1AART|28VULN|358DMG|4DUR|6BEXP|78FEWX|8BPWR|9RCR|aLWND
42	34321 51512	   	183.81	DCR|3DMG|2VULN|1AART|1DUR	1AART|28VULN|358DMG|4DUR|6BEXP|78FEWX|8BPWR|9RCR|aCGEN
43	34321 51513	   	183.81	DCR|3DMG|2VULN|1AART|1DUR	1AART|28VULN|358DMG|4DUR|6BEXP|78FEWX|8BPWR|9RCR|aRMIN
44	34326 61232	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|29VULN|38DMG|4DUR|5LWND|6MBVNT|7RCR|aZMB
45	36412 32342	   	183.36	DCR|3VULN|2DMG|1AART|1DUR|1SELL	1AART|2aDMG|3LIT|467VULN|5SELL|8DUR|9RCR
46	13311 24112	 * 	182.59	ACR|3VULN|3DMG|2ASPD	19BEXP|256DMG|3SNIHEL|4RCR|79aVULN|89ASPD|9BPWR
47	23311 24112	   	182.59	ACR|3VULN|3DMG|2ASPD	19LHND|256DMG|3SNIHEL|4RCR|79aVULN|89ASPD|9BPWR
48	63311 24112	   	182.39	ACR|3VULN|3DMG|2ASPD	19DUST|256DMG|3SNIHEL|4RCR|79aVULN|89ASPD|9BPWR
