0	Index      	 *	Score 	Summary	Detail	
1	42356 32123	 * 	204.98	DCR|3VULN|3DMG|1AART|2ZMB	18aVULN|24RMIN|378DMG|5AART|68ZMB|8BPWR|9RCR
2	52353 35123	 * 	203.07	DCR|3VULN|3DMG|1AART|2ASPD	18ASPD|28aVULN|378DMG|4RMIN|5RCVC|6AART|8BPWR|9RCR
3	42314 61342	 * 	199.49	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	19aVULN|2RMIN|39DMG|4SELL|5MBVNT|6RCR|79CDMG|8AART|9BPWR
4	52363 34318	   	198.66	DCR|3VULN|3DMG|1AART|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9FEWX|aAART
5	52363 34382	 * 	196.37	DCR|4VULN|3DMG|2ASPD	1aASPD|268aVULN|346DMG|5MBVNT|6aBPWR|7RCR|9aCGEN
6	52363 34372	   	196.27	DCR|4VULN|3DMG|2ASPD	1aASPD|268aVULN|346DMG|5MBVNT|6aBPWR|7RCR|9RMIN
7	52363 34342	   	196.17	DCR|4VULN|3DMG|2ASPD	1aASPD|268aVULN|346DMG|5MBVNT|6aBPWR|7RCR|9aERES
8	52363 34362	   	196.17	DCR|4VULN|3DMG|2ASPD	1aASPD|268aVULN|346DMG|5MBVNT|6aBPWR|7RCR|9aTLV
9	51315 63123	 * 	196.13	DCR|3VULN|2DMG|1AART|3ASPD	168ASPD|2AART|3RMIN|4RCVC|58DMG|78aVULN|8BPWR|9RCR
10	42314 61341	 * 	194.84	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	19VULN|2RMIN|39DMG|4SELL|5MBVNT|6RCR|79CDMG|8AART|9BPWR|aZMB
11	52363 32173	 * 	191.25	DCR|3VULN|3DMG|1FLTHEA|1DUR|1ASPD	1ASPD|267VULN|346DMG|5MBVNT|6BPWR|8DUR|9RCR|aFLTHEA
12	44336 31121	   	189.97	DCR|3VULN|2DMG|1AART|1ZMB	19aVULN|23DMG|4ERES|5AART|6ZMB|7RCR|8RCVC
13	52363 34345	   	189.46	DCR|4VULN|3DMG|1ASPD	1ASPD|268aVULN|346DMG|5MBVNT|6BPWR|7RCR|9ERES
14	42356 32121	   	189.32	DCR|3DMG|2VULN|1AART|2ZMB	18VULN|24RMIN|378DMG|5AART|68ZMB|8BPWR|9RCR|aLHND
15	42356 32122	   	189.22	DCR|3DMG|2VULN|1AART|2ZMB	18VULN|24RMIN|378DMG|5AART|68ZMB|8BPWR|9RCR|aDUST
16	52363 34328	 * 	189.11	DCR|3VULN|3DMG|1CDMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LIT|aCDMG
17	53311 53413	 * 	189.09	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aASPD|2LIT|3RCR|4aVULN|5ZMB|6LEGI|7LSRICY|8AART|9aDMG|aBPWR
18	44336 32323	   	189.02	DCR|3DMG|2VULN|1AART|2ZMB	1aVULN|237DMG|4ERES|5AART|68ZMB|9RCR
19	52262 23423	 * 	187.63	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|23aVULN|4RCR|5LIT|6DUR|7DMG|8AART|9CDMG
20	52353 35121	   	187.42	DCR|3DMG|2VULN|1AART|2ASPD	18ASPD|28VULN|378DMG|4RMIN|5RCVC|6AART|8BPWR|9RCR|aLHND
21	52353 35122	   	187.32	DCR|3DMG|2VULN|1AART|2ASPD	18ASPD|28VULN|378DMG|4RMIN|5RCVC|6AART|8BPWR|9RCR|aDUST
22	44236 31121	 * 	186.48	DCR|4VULN|1AART|1DMG|1ZMB	139aVULN|2DMG|4ERES|5AART|6ZMB|7RCR|8RCVC
23	52363 34338	   	186.46	DCR|3VULN|3DMG|1ZMB|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LWND|aZMB
24	41613 32334	   	186.17	DCR|3VULN|3DMG|1CDMG|1ZMB	148VULN|28BEXP|3ZMB|5RCVC|6CDMG|789DMG|8BPWR|aRCR
25	44331 21152	   	185.87	DCR|3VULN|3DMG|2ZMB	179VULN|239DMG|4ERES|5CGEN|6RCR|89ZMB|9BPWR|aLWND
26	44331 21153	   	185.87	DCR|3VULN|3DMG|2ZMB	179VULN|239DMG|4ERES|5CGEN|6RCR|89ZMB|9BPWR|aRMIN
27	44331 21151	   	185.77	DCR|3VULN|3DMG|2ZMB	179VULN|239DMG|4aERES|5CGEN|6RCR|89ZMB|9BPWR
28	45124 13212	 * 	184.94	ACR|4VULN|2DMG|2ZMB	145aVULN|25LIT|3RCR|5aBPWR|6RCVC|7aZMB|8RMIN|9aDMG
29	32143 61413	   	184.86	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aBASHEA|2LEGI|3AART|4LIT|5aVULN|6RCR|7ASPD|8ZMB|9aDMG|aBPWR
