0	Index      	 *	Score 	Summary	Detail	
1	16112 51314	 * 	188.11	DCR|3VULN|2AART|2DMG	1RCVC|2LIT|36DMG|49aVULN|57AART|8RCR
2	16112 61314	 * 	184.63	DCR|4VULN|2AART|1DMG	1RCVC|2LIT|3DMG|469aVULN|57AART|8RCR
3	24323 14531	 * 	184.16	DCR|3VULN|3DMG|1ZMB|1DUR	13LHND|239DMG|3BPWR|46aVULN|5ZMB|7DUR|8RCR
4	34323 14531	   	183.96	DCR|3VULN|3DMG|1ZMB|1DUR	13DUST|239DMG|3BPWR|46aVULN|5ZMB|7DUR|8RCR
5	21211 25415	 * 	182.92	DCR|4VULN|3DMG	1368LHND|2389VULN|38BPWR|48aDMG|5RCVC|7RCR
6	61162 43232	 * 	182.34	ACR|4VULN|1AART|1DMG|1ASPD	1MLV|2789VULN|3LIT|4RCR|5DMG|6AART|aASPD
7	21213 14531	 * 	182.16	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	13LHND|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aCDMG
8	31213 14531	   	181.96	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	13DUST|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aCDMG
9	51535 13332	   	178.84	ACR|4VULN|1AART|1DMG|1ASPD	13CGEN|2369VULN|3BPWR|4DMG|5RCR|7LIT|8AART|aASPD
10	61535 13332	   	178.84	ACR|4VULN|1AART|1DMG|1ASPD	13MLV|2369VULN|3BPWR|4DMG|5RCR|7LIT|8AART|aASPD
11	21213 14551	 * 	178.67	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	13LHND|2369VULN|3BPWR|4DMG|5ZMB|7DUR|8RCR|aCDMG
12	31213 14551	   	178.47	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	13DUST|2369VULN|3BPWR|4DMG|5ZMB|7DUR|8RCR|aCDMG
13	21211 25411	   	178.27	DCR|4VULN|2DMG|1ZMB	1368LHND|2389VULN|38BPWR|48DMG|5RCVC|7RCR|aZMB
14	22646 33544	 * 	177.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2CDMG|3MBVNT|467VULN|5AART|8DUR|9RCR|aDMG
15	21221 43453	   	175.77	DCR|3VULN|2DMG|1AART	139LHND|23aVULN|39BPWR|49MLV|5BELT|69DMG|7AART|8RCR
16	16112 51333	 * 	175.46	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1RCVC|2LIT|36DMG|4VULN|57AART|8RCR|9DUR|aCDMG
17	16112 61333	 * 	175.46	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1RCVC|2LIT|3DMG|46VULN|57AART|8RCR|9DUR|aCDMG
18	61162 43233	   	175.40	ACR|4VULN|1AART|1DMG	1MLV|2789VULN|3LIT|4RCR|5DMG|6AART|aCGEN
19	24323 12551	   	175.22	DCR|3VULN|2DMG|1CDMG|1ZMB	13LHND|23DMG|3BPWR|469VULN|5ZMB|7FEWX|8RCR|aCDMG
20	51313 61153	   	174.31	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|289VULN|3LHND|4AART|56DUR|7RCR|aDMG
21	21211 25416	   	174.20	DCR|4VULN|2DMG|1ASPD	1368LHND|2389VULN|38BPWR|48DMG|5RCVC|7RCR|aASPD
22	21213 14536	   	173.80	DCR|3VULN|2DMG|2DUR|1ZMB	13LHND|236VULN|3BPWR|49DMG|5ZMB|7aDUR|8RCR
23	24323 14532	   	173.80	DCR|3DMG|2VULN|2DUR|1ZMB	13LHND|239DMG|3BPWR|46VULN|5ZMB|7aDUR|8RCR
24	21233 64534	 * 	173.78	ACR|2VULN|2DMG|1AART|1CDMG	13LHND|23VULN|3BPWR|4ERES|5RCR|6CDMG|7AART|8MBVNT|9aDMG
25	34323 14532	   	173.60	DCR|3DMG|2VULN|2DUR|1ZMB	13DUST|239DMG|3BPWR|46VULN|5ZMB|7aDUR|8RCR
26	24336 33321	 * 	173.49	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	137LHND|237DMG|37BPWR|4CDMG|5ASPD|67VULN|8DUR|9FEWX|aRCR
27	24336 33351	   	173.49	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	137LHND|237DMG|37BPWR|4CDMG|5ASPD|67VULN|8DUR|9LWND|aRCR
28	24336 33341	   	173.39	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	137LHND|237DMG|37BPWR|4CDMG|5ASPD|67VULN|8DUR|9DUST|aRCR
29	22646 13644	   	172.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LHND|2CDMG|3MBVNT|48VULN|57AART|6DUR|9RCR|aDMG
30	24331 22452	 * 	172.53	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	13LHND|23DMG|3BPWR|4CDMG|5ERES|6RCR|7BEXP|8VULN|9FLTHEA|aAART
31	22214 22452	   	172.43	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	1LHND|2CDMG|3ERES|45DMG|6RCR|7BEXP|8VULN|9FLTHEA|aAART
32	16112 51311	   	172.36	DCR|2AART|2VULN|2DMG	1RCVC|2LIT|36DMG|49VULN|57AART|8RCR|aTLV
33	16112 51312	   	172.36	DCR|2VULN|2DMG|2AART	1RCVC|2LIT|36DMG|49VULN|57AART|8RCR|aERES
34	16112 51316	   	172.36	DCR|2VULN|2AART|2DMG	1RCVC|2LIT|36DMG|49VULN|57AART|8RCR|aDUST
35	16112 51323	   	172.36	DCR|2AART|2VULN|2DMG	1RCVC|2LIT|36DMG|4aVULN|57AART|8RCR|9AIRHEA
36	16112 51353	   	172.36	DCR|2AART|2VULN|2DMG	1RCVC|2LIT|36DMG|4aVULN|57AART|8RCR|9AIRHEL
37	24336 25231	 * 	172.23	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	137LHND|23DMG|3BPWR|49CDMG|5ASPD|6RCR|8VULN|aAART
38	21233 64361	 * 	171.95	ACR|3VULN|1AART|1DMG|1CDMG	13aLHND|238VULN|3BPWR|4ERES|5RCR|6CDMG|7AART|9DMG
39	21233 64362	   	171.95	ACR|3VULN|1AART|1DMG|1CDMG	13LHND|238VULN|3BPWR|4ERES|5RCR|6CDMG|7AART|9DMG|aRMIN
40	51535 13333	   	171.90	ACR|4VULN|1AART|1DMG	13aCGEN|2369VULN|3BPWR|4DMG|5RCR|7LIT|8AART
41	61535 13333	   	171.90	ACR|4VULN|1AART|1DMG	13MLV|2369VULN|3BPWR|4DMG|5RCR|7LIT|8AART|aCGEN
42	24323 14521	   	171.80	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	13LHND|23DMG|3BPWR|46VULN|5ZMB|79DUR|8RCR|aCDMG
43	21213 12551	   	171.73	DCR|4VULN|1DMG|1CDMG|1ZMB	13LHND|2369VULN|3BPWR|4DMG|5ZMB|7FEWX|8RCR|aCDMG
44	21233 64363	   	171.70	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	13LHND|238VULN|3BPWR|4ERES|5RCR|6CDMG|7AART|9DMG|aSELL
45	34323 14521	   	171.60	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	13DUST|23DMG|3BPWR|46VULN|5ZMB|79DUR|8RCR|aCDMG
46	23521 53631	   	171.43	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	17LHND|27CGEN|3FLTHEA|4AART|5VULN|67DMG|7BPWR|8RCR|9CDMG|aTLV
47	23521 53632	   	171.43	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	17LHND|27CGEN|3FLTHEA|4AART|5VULN|67DMG|7BPWR|8RCR|9CDMG|aERES
48	23521 53633	   	171.43	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	17LHND|27CGEN|3FLTHEA|4AART|5VULN|67DMG|7BPWR|8RCR|9CDMG|aAIRHEA
49	16112 11314	   	170.53	DCR|3VULN|2AART|1DMG	16RCVC|2LIT|3DMG|49aVULN|57AART|8RCR
50	16112 31314	   	170.53	DCR|3VULN|2AART|1DMG	1RCVC|26LIT|3DMG|49aVULN|57AART|8RCR
51	62231 53263	   	170.51	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|2DUR|1ASPD	1MLV|2FLTHEA|38DUR|4AART|5VULN|6DMG|7ASPD|9RCR|aCDMG
52	16112 61311	   	170.43	DCR|3VULN|2AART|1DMG	1RCVC|2LIT|3DMG|469VULN|57AART|8RCR|aTLV
53	16112 61312	   	170.43	DCR|3VULN|2AART|1DMG	1RCVC|2LIT|3DMG|469VULN|57AART|8RCR|aERES
54	16112 61316	   	170.43	DCR|3VULN|2AART|1DMG	1RCVC|2LIT|3DMG|469VULN|57AART|8RCR|aDUST
55	16112 61323	   	170.43	DCR|3VULN|2AART|1DMG	1RCVC|2LIT|3DMG|46aVULN|57AART|8RCR|9AIRHEA
56	16112 61353	   	170.43	DCR|3VULN|2AART|1DMG	1RCVC|2LIT|3DMG|46aVULN|57AART|8RCR|9AIRHEL
57	22646 33244	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|3MBVNT|467VULN|5AART|8DUST|9RCR|aDMG
58	34531 22325	   	170.12	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|27DMG|3MGNSTR|4AART|5aVULN|6RCVC|8ZMB|9RCR
59	51535 13313	   	170.03	ACR|3VULN|1AART|1DMG|2DUR	13CGEN|236VULN|3BPWR|4DMG|5RCR|7LIT|8AART|9aDUR
60	21213 14521	   	169.86	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	13LHND|236VULN|3BPWR|4DMG|5ZMB|79DUR|8RCR|aCDMG
61	32214 25226	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|3ERES|45DMG|6RCR|7MLV|8VULN|9ZMB|aAART
62	34331 25226	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	13DUST|23DMG|3BPWR|4CDMG|5ERES|6RCR|7MLV|8VULN|9ZMB|aAART
63	31213 14521	   	169.66	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	13DUST|236VULN|3BPWR|4DMG|5ZMB|79DUR|8RCR|aCDMG
64	21223 53811	   	169.30	ACR|3VULN|1AART|1DMG|1ZMB	13LHND|239VULN|3BPWR|4MLV|5RCR|6MBVNT|7AART|8ZMB|aDMG
65	24336 24221	   	169.27	DCR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	13LHND|23aDMG|3BPWR|4CDMG|5ASPD|6RCR|7ERES|8VULN|9ZMB
66	51535 32211	 * 	169.25	ACR|3VULN|2AART|1DMG	13CGEN|237VULN|3BPWR|4DMG|5RCR|6MLV|8aAART|9LWND
67	24323 12532	   	169.12	DCR|2VULN|2DMG|1AART|1ZMB	13LHND|23DMG|3BPWR|46VULN|5ZMB|7FEWX|8RCR|9BELT|aAART
68	34336 24221	   	169.07	DCR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	13DUST|23aDMG|3BPWR|4CDMG|5ASPD|6RCR|7ERES|8VULN|9ZMB
69	61313 51153	   	169.02	DCR|3VULN|1AART|1DMG|1DUR	16MLV|289VULN|3LHND|4AART|5DUR|7RCR|aDMG
70	24321 25412	   	168.82	DCR|3VULN|3DMG	1368LHND|238DMG|38BPWR|489VULN|5RCVC|7RCR|aMLV
71	24321 25413	   	168.82	DCR|3VULN|3DMG	1368LHND|238DMG|38BPWR|489VULN|5aRCVC|7RCR
72	24321 25422	   	168.82	DCR|3VULN|3DMG	1368aLHND|238DMG|38aBPWR|48aVULN|5RCVC|7RCR|9aERES
73	24321 25411	   	168.72	DCR|3VULN|3DMG	1368LHND|238DMG|38BPWR|489VULN|5RCVC|7RCR|aDUST
74	24321 25423	   	168.72	DCR|3VULN|3DMG	1368LHND|238DMG|38BPWR|48aVULN|5RCVC|7RCR|9ERES
75	16112 51343	   	168.52	DCR|2AART|2DMG|1VULN|1CDMG	1RCVC|2LIT|36DMG|4VULN|57AART|8RCR|9LWND|aCDMG
76	16112 61343	   	168.52	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|3DMG|46VULN|57AART|8RCR|9LWND|aCDMG
77	24112 61313	   	168.52	DCR|2AART|2DMG|1VULN|1CDMG	14LHND|26DMG|3LIT|57AART|8RCR|9VULN|aCDMG
78	21213 14532	   	168.51	DCR|3VULN|2DMG|1ZMB|1DUR	13LHND|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aRCVC
79	21213 14534	   	168.51	DCR|3VULN|2DMG|1ZMB|1DUR	13aLHND|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR
80	21213 14535	   	168.51	DCR|3VULN|2DMG|1ZMB|1DUR	13LHND|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aRPLT
