0	Index      	 *	Score 	Summary	Detail	
1	24433 14323	 * 	191.29	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	19MLV|25DMG|359VULN|4SELL|59BPWR|6AART|79CDMG|8RPLT|aRCR
2	42231 62361	 * 	190.74	ACR|3VULN|2DMG|1AART|2ZMB	1LIT|24aVULN|36ZMB|5RCR|7AART|89DMG
3	42231 62363	 * 	190.74	ACR|3DMG|2VULN|1AART|2ZMB	1LIT|24VULN|36ZMB|5RCR|7AART|89aDMG
4	41212 24411	 * 	190.25	ACR|4VULN|1AART|1DMG|1CDMG	1LIT|2RPLT|3RCR|456aVULN|7DMG|8AART|9CDMG
5	42433 51213	 * 	189.73	DCR|4VULN|2DMG|2CDMG	179LIT|249aVULN|37DMG|57CGEN|6RCR|79BPWR|89CDMG
6	42231 62362	 * 	188.74	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1LIT|24VULN|36ZMB|5RCR|7AART|89DMG|aCDMG
7	41212 24431	   	187.03	ACR|3VULN|2DMG|1AART|1ASPD	1LIT|2RPLT|3RCR|456VULN|7aDMG|8AART|9ASPD
8	42431 63311	   	186.29	ACR|3VULN|2DMG|1AART|1ZMB	1LIT|24aVULN|39DMG|5RCR|6ZMB|7LWND|8AART
9	42311 26163	 * 	185.61	DCR|3VULN|2DMG|1AART|1DUR	19LIT|289VULN|3FEWX|4LHND|59DMG|6AART|7RCR|9BPWR|aDUR
10	42212 22662	 * 	185.19	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	1LIT|26aVULN|35ZMB|4CDMG|7DMG|8RCR|9AART
11	42233 51432	 * 	184.62	DCR|4VULN|2DMG|2ZMB	17aLIT|248aVULN|37ZMB|57CGEN|6RCR|7aBPWR|9aDMG
12	42431 63313	   	184.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|24VULN|39DMG|5RCR|6ZMB|7LWND|8AART|aCDMG
13	41212 24262	 * 	182.79	ACR|3VULN|2DMG|2CDMG|1DUR	19LIT|2RPLT|3RCR|456VULN|79DMG|89CDMG|9BPWR|aDUR
14	42433 51211	   	182.57	DCR|3VULN|2DMG|2CDMG|1DUR	179LIT|249VULN|37DMG|57CGEN|6RCR|79BPWR|89CDMG|aDUR
15	42131 61432	 * 	180.04	ACR|4VULN|2DMG|2ZMB	17aLIT|248aVULN|37TLV|5RCR|67ZMB|7aBPWR|9aDMG
16	41212 24311	 * 	178.68	ACR|5VULN|1DMG|1CDMG	1LIT|2RPLT|3RCR|45689VULN|7DMG|aCDMG
