0	Index      	 *	Score 	Summary	Detail	
1	41261 33231	 * 	209.44	DCR|5VULN|2DMG|1AART|1DUR	1LHND|2568aVULN|3AART|46DMG|6BPWR|7DUR|9RCR
2	41263 33231	 * 	208.06	DCR|4VULN|2AART|2DMG|1DUR	1LHND|268aVULN|35AART|46DMG|6BPWR|7DUR|9RCR
3	52352 25321	 * 	206.73	DCR|4VULN|2DMG|1AART|2CDMG	137aVULN|27CDMG|4LIT|5CGEN|67DMG|7BPWR|8AART|9RCR
4	41261 34231	   	202.50	DCR|5VULN|2DMG|1AART	1LHND|2568aVULN|3AART|46DMG|6BPWR|7BEXP|9RCR
5	11213 63125	 * 	202.27	ACR|3VULN|2AART|2DMG|2DUR	14aLWND|249VULN|38AART|4aBPWR|5RCR|6aDMG|7aDUR
6	41263 34231	   	201.12	DCR|4VULN|2AART|2DMG	1LHND|268aVULN|35AART|46DMG|6BPWR|7BEXP|9RCR
7	41266 33231	   	199.41	DCR|4VULN|2DMG|1AART|1DUR	1LHND|268aVULN|3AART|46DMG|5RCVC|6BPWR|7DUR|9RCR
8	41261 33162	 * 	198.16	DCR|3VULN|3DMG|1AART|1DUR	1LHND|256VULN|3AART|46aDMG|6BPWR|7DUR|8MLV|9RCR
9	41261 33362	   	198.06	DCR|3VULN|3DMG|1AART|1DUR	1LHND|256VULN|3AART|46aDMG|6BPWR|7DUR|8ERES|9RCR
10	41213 23131	   	196.97	ACR|3VULN|2AART|2DMG|1ASPD	14aLHND|24aVULN|38AART|4aBPWR|5RCR|6BEXP|7ASPD|9aDMG
11	55213 23131	   	196.97	ACR|3VULN|2AART|2DMG|1ASPD	14aVULN|24aLHND|38AART|4aBPWR|5RCR|6BEXP|7ASPD|9aDMG
12	41261 33232	   	196.61	DCR|4VULN|2DMG|1AART|1DUR	1LHND|2568VULN|3AART|46DMG|6BPWR|7DUR|9RCR|aCGEN
13	41261 33233	   	196.61	DCR|4VULN|2DMG|1AART|1DUR	1LHND|2568VULN|3AART|46DMG|6BPWR|7DUR|9RCR|aLWND
14	41261 33234	   	196.61	DCR|4VULN|2DMG|1AART|1DUR	1aLHND|2568VULN|3AART|46DMG|6BPWR|7DUR|9RCR
15	41261 31331	   	196.61	DCR|4VULN|2DMG|1AART|1DUR	17LHND|256aVULN|3AART|46DMG|6BPWR|8DUR|9RCR
16	41261 33631	   	196.61	DCR|4VULN|2DMG|1AART|1DUR	18LHND|256aVULN|3AART|46DMG|6BPWR|7DUR|9RCR
17	55261 33231	   	196.61	DCR|4VULN|2DMG|1AART|1DUR	158aVULN|26LHND|3AART|46DMG|6BPWR|7DUR|9RCR
18	41261 33235	   	196.51	DCR|4VULN|2DMG|1AART|1DUR	1LHND|2568VULN|3AART|46DMG|6BPWR|7DUR|9RCR|aMBVNT
19	41261 33236	   	196.51	DCR|4VULN|2DMG|1AART|1DUR	1LHND|2568VULN|3AART|46DMG|6BPWR|7DUR|9RCR|aERES
20	52122 65321	   	196.47	DCR|3VULN|2DMG|2AART|1CDMG	179VULN|2CDMG|37CGEN|4DLOT|57DMG|68AART|7BPWR|aRCR
21	41262 33324	   	195.76	DCR|3VULN|3DMG|1AART|1ASPD	1LHND|267VULN|3AART|456DMG|6BPWR|8ASPD|9CGEN|aRCR
22	41261 33223	   	194.11	DCR|4VULN|2DMG|1AART|1DUR	1LHND|2568VULN|3AART|46DMG|6BPWR|7DUR|9CANHEL|aRCR
23	41263 33232	   	193.95	DCR|3VULN|2AART|2DMG|1DUR	1LHND|268VULN|35AART|46DMG|6BPWR|7DUR|9RCR|aCGEN
24	41263 33233	   	193.95	DCR|3VULN|2AART|2DMG|1DUR	1LHND|268VULN|35AART|46DMG|6BPWR|7DUR|9RCR|aLWND
25	41263 33234	   	193.95	DCR|3VULN|2AART|2DMG|1DUR	1aLHND|268VULN|35AART|46DMG|6BPWR|7DUR|9RCR
26	41263 31331	   	193.95	DCR|3VULN|2AART|2DMG|1DUR	17LHND|26aVULN|35AART|46DMG|6BPWR|8DUR|9RCR
27	41263 33162	 * 	193.95	DCR|3DMG|2AART|2VULN|1DUR	1LHND|26VULN|35AART|46aDMG|6BPWR|7DUR|8MLV|9RCR
28	41263 33631	   	193.95	DCR|3VULN|2AART|2DMG|1DUR	18LHND|26aVULN|35AART|46DMG|6BPWR|7DUR|9RCR
29	55263 33231	   	193.95	DCR|3VULN|2AART|2DMG|1DUR	18aVULN|26LHND|35AART|46DMG|6BPWR|7DUR|9RCR
30	41263 33235	   	193.85	DCR|3VULN|2AART|2DMG|1DUR	1LHND|268VULN|35AART|46DMG|6BPWR|7DUR|9RCR|aMBVNT
31	41263 33236	   	193.85	DCR|3VULN|2AART|2DMG|1DUR	1LHND|268VULN|35AART|46DMG|6BPWR|7DUR|9RCR|aERES
32	41263 33362	   	193.85	DCR|3DMG|2AART|2VULN|1DUR	1LHND|26VULN|35AART|46aDMG|6BPWR|7DUR|8ERES|9RCR
33	11213 63121	 * 	193.29	ACR|4VULN|2AART|1DMG|1DUR	14LWND|249aVULN|38AART|4BPWR|5RCR|6DMG|7DUR
34	41213 63121	   	193.29	ACR|4VULN|2AART|1DMG|1DUR	14LHND|249aVULN|38AART|4BPWR|5RCR|6DMG|7DUR
35	55213 63121	   	193.29	ACR|4VULN|2AART|1DMG|1DUR	149aVULN|24LHND|38AART|4BPWR|5RCR|6DMG|7DUR
36	52352 25322	   	192.53	DCR|3VULN|2DMG|1AART|2CDMG	137VULN|27CDMG|4LIT|5CGEN|67DMG|7BPWR|8AART|9RCR|aERES
37	41213 23331	   	192.14	ACR|3VULN|2DMG|1AART|2ASPD	14aLHND|24aVULN|3AART|4aBPWR|5RCR|6BEXP|78ASPD|9aDMG
38	55213 23331	   	192.14	ACR|3VULN|2DMG|1AART|2ASPD	14aVULN|24aLHND|3AART|4aBPWR|5RCR|6BEXP|78ASPD|9aDMG
39	11216 63235	 * 	191.82	DCR|3VULN|2DMG|1AART|3DUR	14aLWND|248VULN|3AART|4aBPWR|57aDUR|6aDMG|9RCR
40	21311 61432	   	191.71	DCR|3VULN|3DMG|1CDMG|1DUR	1aBEXP|24aVULN|3BELT|5DUR|6RCR|7CDMG|89aDMG|aBPWR
41	11215 61124	   	191.47	DCR|3VULN|2DMG|1AART|1ZMB	14LWND|246VULN|3AART|46BPWR|56LIT|7RCR|8ZMB|9aDMG
42	41263 33223	   	191.45	DCR|3VULN|2AART|2DMG|1DUR	1LHND|268VULN|35AART|46DMG|6BPWR|7DUR|9CANHEL|aRCR
43	41261 32362	   	191.12	DCR|3VULN|3DMG|1AART	1LHND|256VULN|3AART|46aDMG|6BPWR|7CGEN|8DUST|9RCR
44	21146 33431	   	190.61	DCR|3VULN|2DMG|1AART|1ZMB|1ASPD	1aBEXP|27aVULN|3ASPD|4ZMB|5aDMG|6RMIN|8AART|9RCR|aBPWR
45	11216 65231	   	190.47	DCR|4VULN|2AART|1DMG|1DUR	14LWND|248aVULN|37AART|4BPWR|5DUR|6DMG|9RCR
46	53216 61131	   	190.41	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1aVULN|25DUR|3DMSP|4RPLT|6AART|7aDMG|8aCDMG|9RCR|aBPWR
47	12253 63225	   	190.12	ACR|3VULN|2DMG|1AART|2DUR	1aLWND|27DUR|3DMSP|4AART|5RCR|6aDMG|89aVULN|aBPWR
48	11213 65224	   	189.73	ACR|3VULN|2AART|2DMG	14LWND|248VULN|37AART|4BPWR|5RCR|6aDMG|9CANHEL
49	41261 34232	   	189.67	DCR|4VULN|2DMG|1AART	1LHND|2568VULN|3AART|46DMG|6BPWR|7BEXP|9RCR|aCGEN
50	41261 34233	   	189.67	DCR|4VULN|2DMG|1AART	1LHND|2568VULN|3AART|46DMG|6BPWR|7BEXP|9RCR|aLWND
51	41261 31431	   	189.67	DCR|4VULN|2DMG|1AART	17LHND|256aVULN|3AART|46DMG|6BPWR|8LWND|9RCR
52	41261 32231	   	189.57	DCR|4VULN|2DMG|1AART	1LHND|256aVULN|3AART|46DMG|6BPWR|7CGEN|8ERES|9RCR
53	41261 32631	   	189.57	DCR|4VULN|2DMG|1AART	1LHND|256aVULN|3AART|46DMG|6BPWR|7CGEN|8TLV|9RCR
54	41261 35131	   	189.57	DCR|4VULN|2DMG|1AART	1LHND|256aVULN|3AART|46DMG|6BPWR|7ERES|8CGEN|9RCR
55	41262 33225	   	188.82	DCR|3VULN|3DMG|1AART	1LHND|267VULN|3AART|456DMG|6BPWR|8MGNSTR|9LWND|aRCR
56	11213 66333	   	188.55	ACR|4VULN|1AART|1DMG|1CDMG	14LWND|249aVULN|3AART|4BPWR|5RCR|6DMG|7MLV|8CDMG
57	41213 66333	   	188.55	ACR|4VULN|1AART|1DMG|1CDMG	14LHND|249aVULN|3AART|4BPWR|5RCR|6DMG|7MLV|8CDMG
58	11252 32264	   	187.80	DCR|3VULN|2DMG|1AART|2DUR	17LWND|278VULN|3AART|4TLV|5aDMG|67DUR|7BPWR|9RCR
59	41261 34223	   	187.17	DCR|4VULN|2DMG|1AART	1LHND|2568VULN|3AART|46DMG|6BPWR|7BEXP|9CANHEL|aRCR
60	11261 35235	   	187.11	DCR|3VULN|2AART|2DMG	1aLWND|258VULN|37AART|4aDMG|6aFEWX|9RCR|aBPWR
61	11262 35235	   	187.11	DCR|3DMG|2AART|2VULN	1aLWND|28VULN|37AART|45aDMG|6aFEWX|9RCR|aBPWR
62	11212 65235	   	187.01	DCR|3VULN|2AART|2DMG	14aLWND|248VULN|37AART|4aBPWR|5aDUST|6aDMG|9RCR
63	41263 34232	   	187.01	DCR|3VULN|2AART|2DMG	1LHND|268VULN|35AART|46DMG|6BPWR|7BEXP|9RCR|aCGEN
64	41263 34233	   	187.01	DCR|3VULN|2AART|2DMG	1LHND|268VULN|35AART|46DMG|6BPWR|7BEXP|9RCR|aLWND
65	41263 31431	   	187.01	DCR|3VULN|2AART|2DMG	17LHND|26aVULN|35AART|46DMG|6BPWR|8LWND|9RCR
66	52352 31632	 * 	187.00	DCR|5VULN|3CDMG|3DUR	1389aVULN|289CDMG|4LIT|5CGEN|6RCR|789DUR|89BPWR
67	52122 65221	   	186.92	DCR|3VULN|2DMG|1AART|1CDMG	179VULN|2CDMG|37CGEN|4DLOT|57DMG|6AART|7BPWR|8RCVC|aRCR
68	11261 35631	   	186.91	DCR|3VULN|2AART|2DMG	1LWND|25aVULN|37AART|48DMG|6FEWX|9RCR
69	11262 35231	   	186.91	DCR|3VULN|2AART|2DMG	1LWND|28aVULN|37AART|45DMG|6FEWX|9RCR
70	41263 32231	   	186.91	DCR|3VULN|2AART|2DMG	1LHND|26aVULN|35AART|46DMG|6BPWR|7CGEN|8ERES|9RCR
71	41263 32362	   	186.91	DCR|3DMG|2AART|2VULN	1LHND|26VULN|35AART|46aDMG|6BPWR|7CGEN|8DUST|9RCR
72	41263 32631	   	186.91	DCR|3VULN|2AART|2DMG	1LHND|26aVULN|35AART|46DMG|6BPWR|7CGEN|8TLV|9RCR
73	41263 35131	   	186.91	DCR|3VULN|2AART|2DMG	1LHND|26aVULN|35AART|46DMG|6BPWR|7ERES|8CGEN|9RCR
74	11213 63361	   	186.78	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	14aLWND|24aVULN|3AART|4aBPWR|5RCR|6DMG|79DUR|8aASPD
75	41213 63361	   	186.78	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	14aLHND|24aVULN|3AART|4aBPWR|5RCR|6DMG|79DUR|8aASPD
76	11262 61161	   	186.47	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|27aVULN|3AART|45DMG|6ZMB|8CGEN|9RCR
77	11213 65232	   	186.35	ACR|4VULN|2AART|1DMG	14LWND|248aVULN|37AART|4BPWR|5RCR|6DMG|9RMIN
78	11213 65251	   	186.35	ACR|4VULN|2AART|1DMG	14LWND|248aVULN|37AART|4BPWR|5RCR|6DMG|9FEWX
79	11213 65621	   	186.35	ACR|4VULN|2AART|1DMG	14LWND|249aVULN|37AART|4BPWR|5RCR|6DMG|8LHND
80	41213 65232	   	186.35	ACR|4VULN|2AART|1DMG	14LHND|248aVULN|37AART|4BPWR|5RCR|6DMG|9RMIN
81	12253 63235	   	185.91	ACR|2AART|2DMG|2VULN|2DUR	1aLWND|27DUR|3DMSP|49AART|5RCR|6aDMG|8aVULN|aBPWR
82	11213 62313	   	185.90	ACR|3VULN|2AART|1DMG|1CDMG	14LWND|24aVULN|39AART|4BPWR|5RCR|6DMG|7CGEN|8CDMG
83	11213 66313	   	185.90	ACR|3VULN|2AART|1DMG|1CDMG	14LWND|24aVULN|39AART|4BPWR|5RCR|6DMG|7MLV|8CDMG
84	11213 66331	   	185.90	ACR|3VULN|2AART|1DMG|1CDMG	14LWND|249VULN|3aAART|4BPWR|5RCR|6DMG|7MLV|8CDMG
85	41213 62313	   	185.90	ACR|3VULN|2AART|1DMG|1CDMG	14LHND|24aVULN|39AART|4BPWR|5RCR|6DMG|7CGEN|8CDMG
86	41213 66313	   	185.90	ACR|3VULN|2AART|1DMG|1CDMG	14LHND|24aVULN|39AART|4BPWR|5RCR|6DMG|7MLV|8CDMG
87	41213 66331	   	185.90	ACR|3VULN|2AART|1DMG|1CDMG	14LHND|249VULN|3aAART|4BPWR|5RCR|6DMG|7MLV|8CDMG
88	55213 62313	   	185.90	ACR|3VULN|2AART|1DMG|1CDMG	14aVULN|24LHND|39AART|4BPWR|5RCR|6DMG|7CGEN|8CDMG
89	11213 61313	   	185.80	ACR|3VULN|2AART|1DMG|1CDMG	14LWND|24aVULN|39AART|4BPWR|5RCR|6DMG|7ERES|8CDMG
90	41213 61313	   	185.80	ACR|3VULN|2AART|1DMG|1CDMG	14LHND|24aVULN|39AART|4BPWR|5RCR|6DMG|7ERES|8CDMG
91	55213 61313	   	185.80	ACR|3VULN|2AART|1DMG|1CDMG	14aVULN|24LHND|39AART|4BPWR|5RCR|6DMG|7ERES|8CDMG
92	11213 66332	   	185.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14LWND|249VULN|3AART|4BPWR|5RCR|6DMG|7MLV|8CDMG|aZMB
93	41213 66332	   	185.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14LHND|249VULN|3AART|4BPWR|5RCR|6DMG|7MLV|8CDMG|aZMB
94	41266 33232	   	185.31	DCR|3VULN|2DMG|1AART|1DUR	1LHND|268VULN|3AART|46DMG|5RCVC|6BPWR|7DUR|9RCR|aCGEN
95	41266 33233	   	185.31	DCR|3VULN|2DMG|1AART|1DUR	1LHND|268VULN|3AART|46DMG|5RCVC|6BPWR|7DUR|9RCR|aLWND
96	41266 31331	   	185.31	DCR|3VULN|2DMG|1AART|1DUR	17LHND|26aVULN|3AART|46DMG|5RCVC|6BPWR|8DUR|9RCR
97	52352 31633	   	185.17	DCR|4VULN|3CDMG|3DUR|1ZMB	1389VULN|289CDMG|4LIT|5CGEN|6RCR|789DUR|89BPWR|aZMB
98	51233 34711	 * 	184.92	DCR|4VULN|3DMG	128aVULN|3LHND|4MBVNT|5aDUST|6RCR|79aDMG|aBPWR
99	53237 23531	   	184.80	DCR|3VULN|2DMG|1AART|2DUR	17aVULN|2aDUR|3DMSP|4MBVNT|5aDMG|6RMIN|8AART|9RCR|aBPWR
100	21315 61432	   	184.77	DCR|3VULN|3DMG|1CDMG	1aBEXP|24aVULN|3BELT|5FEWX|6RCR|7CDMG|89aDMG|aBPWR
101	53234 73531	   	184.70	DCR|3VULN|2DMG|1AART|2DUR	17aVULN|2aDUR|3DMSP|4MBVNT|5NUKE|6aDMG|8AART|9RCR|aBPWR
102	41261 35312	   	184.51	DCR|3VULN|2AART|2DMG	1LHND|256VULN|39AART|46DMG|6BPWR|7ERES|8RPLT|aRCR
103	41263 34223	   	184.51	DCR|3VULN|2AART|2DMG	1LHND|268VULN|35AART|46DMG|6BPWR|7BEXP|9CANHEL|aRCR
104	11216 63231	   	184.31	DCR|4VULN|1AART|1DMG|2DUR	14LWND|248aVULN|3AART|4BPWR|57DUR|6DMG|9RCR
105	41216 63231	   	184.31	DCR|4VULN|1AART|1DMG|2DUR	14LHND|248aVULN|3AART|4BPWR|57DUR|6DMG|9RCR
106	52352 31621	   	184.17	DCR|4VULN|1DMG|2CDMG|2DUR	138aVULN|28CDMG|4LIT|5CGEN|6RCR|78DUR|8BPWR|9DMG
107	21311 61416	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|24VULN|3BELT|5DUR|6RCR|7CDMG|8aDMG|9AART
108	55231 35231	   	183.95	DCR|4VULN|2AART|2ASPD|1DUR	168aVULN|2LHND|37AART|4DUR|56ASPD|6BPWR|9RCR
109	11212 65231	   	183.43	DCR|4VULN|2AART|1DMG	14LWND|248aVULN|37AART|4BPWR|5DUST|6DMG|9RCR
110	11261 35231	   	183.43	DCR|4VULN|2AART|1DMG	1LWND|258aVULN|37AART|4DMG|6FEWX|9RCR
111	41212 65231	   	183.43	DCR|4VULN|2AART|1DMG	14LHND|248aVULN|37AART|4BPWR|5DUST|6DMG|9RCR
