0	Index      	 *	Score 	Summary	Detail	
1	46332 14212	 * 	222.89	ACR|3VULN|2AART|2DMG|1CDMG|1ZMB	17AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|8ZMB|9CDMG
2	46332 11612	 * 	214.54	ACR|4VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|468aVULN|5RPLT|6BPWR|7CGEN|9CDMG
3	46332 13612	   	214.44	ACR|4VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|468aVULN|5RPLT|6BPWR|7ERES|9CDMG
4	46331 35122	 * 	212.44	ACR|4VULN|2AART|2DMG	16AART|2RCR|37DMG|479aVULN|57BEXP|7BPWR|8LHND
5	46332 14312	   	211.78	ACR|3VULN|2AART|2DMG|1CDMG	17AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|8TLV|9CDMG
6	46332 16312	   	211.44	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7ZMB|8RCVC|9CDMG
7	46332 14211	   	207.23	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9CDMG|aMLV
8	46332 14213	   	207.23	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9CDMG|aFEWX
9	46332 15221	 * 	202.34	ACR|3VULN|3DMG|1AART	1AART|2RCR|368DMG|469VULN|5RPLT|69BPWR|79DUST|aCGEN
10	46332 15223	   	202.34	ACR|3VULN|3DMG|1AART	1AART|2RCR|368DMG|469VULN|5RPLT|69BPWR|79DUST|aRCVC
11	46332 15222	   	202.24	ACR|3VULN|3DMG|1AART	1AART|2RCR|368DMG|469VULN|5RPLT|69BPWR|79DUST|aTLV
