0	Index      	 *	Score 	Summary	Detail	
1	51232 61162	 * 	200.34	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD|1ZMB	1aDMG|2RPLT|3CDMG|4AART|5RCR|6aVULN|7ZMB|8TLV|9aASPD|aBPWR
2	51232 41125	 * 	200.14	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	19DMG|2RPLT|39CDMG|4AART|5RCR|6BEXP|7ZMB|89VULN|9BPWR|aDUR
3	51232 11342	 * 	195.17	ACR|2VULN|2DMG|1AART|3CDMG|1DUR	1aDMG|2RPLT|36aCDMG|4AART|5RCR|7CGEN|8DUR|9aVULN|aBPWR
4	51232 41121	   	193.20	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6aBEXP|7ZMB|89VULN|9BPWR
5	51232 41123	   	193.20	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6BEXP|7ZMB|89VULN|9BPWR|aLIT
6	51232 41124	   	193.10	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6BEXP|7ZMB|89VULN|9BPWR|aERES
7	51232 45313	 * 	191.34	ACR|3DMG|2VULN|1AART|1CDMG	18aDMG|2RPLT|3CDMG|4AART|5RCR|6BEXP|79VULN
8	51232 55313	   	191.34	ACR|3DMG|2VULN|1AART|1CDMG	18aDMG|2RPLT|3CDMG|4AART|5RCR|6LHND|79VULN
9	51232 66313	   	191.34	ACR|3DMG|2VULN|1AART|1CDMG	18aDMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7BEXP
10	51232 31342	   	189.13	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1aDMG|2RPLT|3aCDMG|4AART|5RCR|67CGEN|8DUR|9aVULN|aBPWR
11	51232 11242	   	188.24	ACR|2VULN|2DMG|1AART|3CDMG	1aDMG|2RPLT|36aCDMG|4AART|5RCR|7CGEN|8LWND|9aVULN|aBPWR
12	51232 13142	   	188.24	ACR|2VULN|2DMG|1AART|3CDMG	1aDMG|2RPLT|36aCDMG|4AART|5RCR|7FEWX|8MLV|9aVULN|aBPWR
13	51232 33642	   	188.24	ACR|2VULN|2DMG|1AART|3CDMG	1aDMG|2RPLT|38aCDMG|4AART|5RCR|6CGEN|7FEWX|9aVULN|aBPWR
14	51232 53142	   	188.24	ACR|2VULN|2DMG|1AART|3CDMG	1aDMG|2RPLT|37aCDMG|4AART|5RCR|6LHND|8MLV|9aVULN|aBPWR
15	55431 23212	 * 	188.20	ACR|3DMG|2VULN|2CDMG|2ZMB	179DMG|27CDMG|3ERES|4RCR|5LWND|67ZMB|7BPWR|8aVULN
16	21445 12122	 * 	186.70	ACR|3VULN|3DMG|3ASPD	1DLOT|247ASPD|39aDMG|5RCR|69aMLV|89aVULN|9aBPWR
17	51232 45311	   	186.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2RPLT|3CDMG|4AART|5RCR|6BEXP|79VULN|aZMB
18	51232 55311	   	186.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2RPLT|3CDMG|4AART|5RCR|6LHND|79VULN|aZMB
19	51232 66311	   	186.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7BEXP|aZMB
20	51232 34222	 * 	186.50	ACR|3DMG|1AART|3CDMG|1VULN	19aDMG|2RPLT|39aCDMG|4AART|5RCR|6CGEN|7VULN|89aFEWX|9aBPWR
21	51232 62222	   	186.50	ACR|3DMG|1AART|3CDMG|1VULN	19aDMG|2RPLT|39aCDMG|4AART|5RCR|6VULN|7CGEN|89aFEWX|9aBPWR
22	51232 34522	   	186.20	ACR|3DMG|1AART|3CDMG|1VULN	19aDMG|2RPLT|39aCDMG|4AART|5RCR|6CGEN|7VULN|89aDUST|9aBPWR
23	51232 62522	   	186.20	ACR|3DMG|1AART|3CDMG|1VULN	19aDMG|2RPLT|39aCDMG|4AART|5RCR|6VULN|7CGEN|89aDUST|9aBPWR
24	33223 34441	 * 	185.62	DCR|3DMG|2VULN|1AART|2ASPD	1DMSP|28VULN|34BEXP|5AART|68ASPD|789DMG|8BPWR|aRCR
25	51622 11125	 * 	184.73	ACR|3VULN|2DMG|1AART|1DUR	1aDMG|2RPLT|3LEGI|4RCR|5DUR|6aMLV|79aVULN|8AART|aBPWR
26	51622 31125	   	184.73	ACR|3VULN|2DMG|1AART|1DUR	1aDMG|2RPLT|3LEGI|4RCR|5DUR|6aCGEN|79aVULN|8AART|aBPWR
27	21122 43262	 * 	184.50	ACR|2VULN|2DMG|1AART|3ASPD	1DLOT|25aASPD|3RCR|45LIT|5aBPWR|6DMSP|7aVULN|8AART|9aDMG
28	51421 31232	   	183.93	ACR|3VULN|2DMG|1AART|1DUR	1aDMG|2RPLT|3DUR|4RCR|567VULN|8ERES|9AART
29	23512 64222	 * 	183.80	ACR|4VULN|1AART|1DMG|1ZMB	1DLOT|2569VULN|36ERES|4RCR|6BPWR|7DMG|8ZMB|aAART
30	51232 11132	   	182.88	ACR|2DMG|1AART|3CDMG|1VULN|2DUR	1aDMG|2RPLT|36aCDMG|4AART|5RCR|7CGEN|8VULN|9aDUR|aBPWR
31	51232 34632	   	182.88	ACR|2DMG|1AART|3CDMG|1VULN|2DUR	1aDMG|2RPLT|38aCDMG|4AART|5RCR|6CGEN|7VULN|9aDUR|aBPWR
32	51232 62632	   	182.88	ACR|2DMG|1AART|3CDMG|1VULN|2DUR	1aDMG|2RPLT|38aCDMG|4AART|5RCR|6VULN|7CGEN|9aDUR|aBPWR
33	41112 13536	 * 	182.86	DCR|3VULN|2DMG|2CDMG|2DUR	1aDUR|257VULN|3aDMG|4LHND|6MLV|8RCR|9aCDMG|aBPWR
34	41111 33536	   	182.76	DCR|3VULN|2DMG|2CDMG|2DUR	1aDUR|267VULN|3aDMG|4LHND|5ERES|8RCR|9aCDMG|aBPWR
35	51232 61225	   	182.55	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89FEWX|9BPWR|aDUR
36	51232 31242	   	182.20	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2RPLT|3aCDMG|4AART|5RCR|67CGEN|8LWND|9aVULN|aBPWR
37	51232 33242	   	182.20	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2RPLT|3aCDMG|4AART|5RCR|6CGEN|78FEWX|9aVULN|aBPWR
38	51232 33442	   	182.20	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2RPLT|3aCDMG|4AART|5RCR|6CGEN|7FEWX|8RCVC|9aVULN|aBPWR
39	51232 63513	   	182.00	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8BEXP
40	51232 63613	   	182.00	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8FEWX
41	51232 63313	   	181.90	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8LEGI
42	51232 63413	   	181.90	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8DUST
43	53225 31411	 * 	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2CANHEL|3CDMG|49VULN|5AART|7MLV|8RCR|aASPD
44	23222 63325	   	180.17	DCR|3DMG|2VULN|1AART	1DLOT|29VULN|3AART|46BELT|59DUST|7RCR|89aDMG|9BPWR
45	51232 63533	   	180.06	ACR|3DMG|1AART|1VULN|2CDMG	19aDMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8BEXP
46	51232 63633	   	180.06	ACR|3DMG|1AART|1VULN|2CDMG	19aDMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8FEWX
47	51426 33212	 * 	179.98	ACR|2VULN|2DMG|1AART|3DUR	19DMG|2RPLT|367DUR|4RCR|5AART|89VULN|9BPWR|aLHND
48	51426 33213	   	179.98	ACR|2VULN|2DMG|1AART|3DUR	19DMG|2RPLT|367DUR|4RCR|5AART|89VULN|9BPWR|aDMSP
49	51232 63333	   	179.96	ACR|3DMG|1AART|1VULN|2CDMG	19aDMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8LEGI
50	51232 63433	   	179.96	ACR|3DMG|1AART|1VULN|2CDMG	19aDMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8DUST
51	51426 33211	   	179.88	ACR|2VULN|2DMG|1AART|3DUR	19DMG|2RPLT|367DUR|4RCR|5AART|89VULN|9BPWR|aERES
52	53225 21411	 * 	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2CANHEL|3CDMG|469VULN|5AART|7MLV|8RCR|aASPD
53	51325 23232	   	179.07	DCR|3DMG|2VULN|1AART	15aDMG|2RPLT|3CGEN|47VULN|6RCR|8BEXP|9AART
54	55323 26121	 * 	178.88	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMG|24CDMG|348VULN|4BPWR|5DUR|6RMIN|7LIT|9AART|aRCR
55	55323 61121	   	178.88	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1DMG|24CDMG|348VULN|4BPWR|5DUR|6LIT|7MLV|9AART|aRCR
56	55323 15121	   	178.78	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1DMG|24CDMG|348VULN|4BPWR|5DUR|6TLV|7LIT|9AART|aRCR
57	21443 32411	 * 	177.86	DCR|3VULN|2DMG|3ASPD|2DUR	1DLOT|248ASPD|36DMG|589VULN|78DUR|8BPWR|aRCR
58	23512 63143	 * 	177.39	ACR|4VULN|1AART|1CDMG|1ZMB	1DLOT|2568VULN|36ERES|4RCR|6BPWR|7CDMG|9ZMB|aAART
59	51421 32321	   	177.26	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	19DMG|2RPLT|39DUR|4RCR|56VULN|7CDMG|89ASPD|9BPWR|aRMIN
60	51421 32322	   	177.26	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	19DMG|2RPLT|39DUR|4RCR|56VULN|7CDMG|89ASPD|9BPWR|aLWND
61	51421 32324	   	177.26	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	19DMG|2RPLT|39DUR|4RCR|56VULN|7CDMG|89ASPD|9BPWR|aLHND
62	51421 32323	   	177.16	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	19DMG|2RPLT|39DUR|4RCR|56VULN|7CDMG|89ASPD|9BPWR|aERES
63	23365 14743	 * 	177.06	DCR|2AART|2VULN|2DMG	1DLOT|28VULN|3MBVNT|48DMG|5aAART|6RCR|7RCVC|8BPWR|9ERES
64	51621 31232	   	176.89	ACR|3VULN|2DMG|1AART	1aDMG|2RPLT|3LEGI|4RCR|567VULN|8ERES|9AART
65	51232 31132	   	176.84	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1aDMG|2RPLT|3aCDMG|4AART|5RCR|67CGEN|8VULN|9aDUR|aBPWR
66	51232 34432	   	176.84	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1aDMG|2RPLT|3aCDMG|4AART|5RCR|6CGEN|7VULN|8RCVC|9aDUR|aBPWR
67	51232 62432	   	176.84	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1aDMG|2RPLT|3aCDMG|4AART|5RCR|6VULN|7CGEN|8RCVC|9aDUR|aBPWR
68	53225 35313	   	176.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2CANHEL|3CDMG|48VULN|5AART|7LWND|9ASPD|aRCR
69	51232 65132	   	176.64	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1aDMG|2RPLT|3aCDMG|4AART|5RCR|6VULN|78TLV|9aDUR|aBPWR
70	51232 21125	   	176.59	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR|1MSE	19DMG|2RPLT|39CDMG|4AART|5RCR|6MSE|7ZMB|89VULN|9BPWR|aDUR
71	21162 53632	   	176.27	ACR|3VULN|2DMG|2ASPD|1DUR	1DLOT|2aASPD|3RCR|4LHND|58aVULN|6DUR|7CGEN|9aDMG|aBPWR
72	52111 32251	   	176.26	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|234DUST|3BPWR|5CGEN|6AART|7RCR|8CDMG|9aVULN
73	51423 21133	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2RPLT|3DUR|4RCR|5ZMB|6LWND|7aVULN|8AART|9CDMG
74	51232 41113	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2RPLT|3CDMG|4AART|5RCR|6BEXP|7ZMB|8aVULN|9DUR
75	51232 61213	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2RPLT|3CDMG|4AART|5RCR|6aVULN|7ZMB|8FEWX|9DUR
76	51232 61115	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7ZMB|8TLV|aASPD
77	51232 61135	   	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	19DMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7ZMB|8TLV|aASPD
78	51232 61315	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7ZMB|8ERES|aASPD
79	51232 61335	   	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	19DMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7ZMB|8ERES|aASPD
80	51232 61143	   	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1aDMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7ZMB|8TLV|9DUR
81	51232 61343	   	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1aDMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7ZMB|8ERES|9DUR
